end,filed,form,Name,Ticker,CIK,Currency,AccountsPayable,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccruedLiabilitiesCurrent,AdditionalPaidInCapital,Assets,BeneficialInterest,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashPeriodIncreaseDecrease,CommitmentsAndContingencies,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CommonStockValueOutstanding,ComprehensiveIncomeNetOfTax,ConversionOfStockAmountIssued1,ConvertibleDebt,DebtConversionConvertedInstrumentAmount1,DebtInstrumentConvertibleBeneficialConversionFeature,DebtInstrumentUnamortizedDiscount,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsOther,DeferredTaxAssetsValuationAllowance,DepositLiabilitiesAccruedInterest,DueToOfficersOrStockholdersNoncurrent,DueToOtherRelatedPartiesNoncurrent,DueToRelatedPartiesCurrent,DueToRelatedPartiesNoncurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationOtherAdjustments,EmployeeBenefitsAndShareBasedCompensationNoncash,EquityIssuanceNumberOfEquitySecuritiesIssuedForNoncashConsiderations,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,IncomeTaxesPaid,IncomeTaxesPaidNet,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableTrade,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDueToOtherRelatedPartiesCurrent,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInOtherAccruedLiabilities,InterestExpense,InterestPaid,InterestPaidCapitalized,InterestPayableCurrent,IssuanceOfStockAndWarrantsForServicesOrClaims,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesNoncurrent,LineOfCredit,LoansPayable,LoansPayableCurrent,LongTermDebt,MarketingAndAdvertisingExpense,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossIncludingPortionAttributableToNonredeemableNoncontrollingInterest,NoncashContributionExpense,NonoperatingIncomeExpense,OperatingExpenses,OtherGeneralAndAdministrativeExpense,OtherIncome,OtherLongTermDebtNoncurrent,OtherMaterialNoncashItems,OtherNoncashExpense,OtherNonoperatingIncome,OtherNonoperatingIncomeExpense,OtherShortTermBorrowings,OtherSignificantNoncashTransactionValueOfConsiderationGiven1,OtherSignificantNoncashTransactionValueOfConsiderationReceived1,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,ProceedsFromIssuanceOfCommonStock,ProceedsFromLoans,ProceedsFromRelatedPartyDebt,ProfessionalFees,ProfitLoss,RelatedPartyTransactionDueFromToRelatedParty,RetainedEarningsAccumulatedDeficit,Revenues,SellingGeneralAndAdministrativeExpense,ShareBasedGoodsAndNonemployeeServicesTransactionExpense,SharesIssued,StockGrantedDuringPeriodValueSharebasedCompensation,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockholdersEquityOther,StockholdersEquityPeriodIncreaseDecrease,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesOther,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueShareBasedCompensation,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,WeightedAverageNumberOfSharesOutstandingBasicAndDiluted
2009-12-31,2010-04-06,10-K,ZHONG YA INTERNATIONAL LTD,ZYJT,CIK0001442101,USD,,,,,,,,2756.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20295.0,,,,,,,,,,,,,,,,,,,,,,,,-2095.0,,,,,,-245.0,,,-245.0,,-245.0,20050.0,,20000.0,,,,,
2010-06-30,2010-08-11,10-Q,ZHONG YA INTERNATIONAL LTD,ZYJT,CIK0001442101,USD,,,,,,,,2755.0,,,-2755.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2755.0,,,,,,,-479.0,,,,,,,,,,,,,,,,-2755.0,-90322.0,,,,89843.0,,,,,,,-479.0,,,,,,,,,,,,54681.0,,,,,35162.0,,,,,,,,,,,,,,,4255000.0
2010-12-31,2011-04-14,10-K,ZHONG YA INTERNATIONAL LTD,ZYJT,CIK0001442101,USD,251.0,,,90.0,56889.0,,-504.0,,,,-2756.0,,,,,,8505.0,,,,,,617.0,,,,,,90.0,10000.0,,,,,,,,,,6902.0,-0.01,,,-2749.0,,,,,,90.0,-203.0,,112.0,,,9837.0,,341.0,,,10000.0,,9496.0,,10000.0,,-12756.0,-49861.0,,,,49658.0,,-203.0,,39652.0,,,,,,,,,,,,,,10000.0,42756.0,-49861.0,,-75231.0,,,39652000.0,-9837.0,,-9837.0,-9837.0,,39652.0,,,,39652.0,,,5337877.0,
2011-03-31,2011-05-02,10-Q,ZHONG YA INTERNATIONAL LTD,ZYJT,CIK0001442101,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1930.0,-0.01,,,10430.0,,,,,,63.0,-138.0,,75.0,,,,,,,,,,,,,,,-10568.0,,,,10430.0,,-138.0,,,,,,,,,,,,,,,,,8500.0,,,,,,,,,,,,,,,,,,,5337877.0,
2011-06-30,2011-08-17,10-Q,ZHONG YA INTERNATIONAL LTD,ZYJT,CIK0001442101,USD,15065.0,,,216.0,56889.0,,,,,,,,,,,,8505.0,,,,,,,,,,,,,10000.0,,,,-0.01,,,,,40452.0,,,,,12066.0,,,217.0,,,,-479.0,,,,39652.0,9646.0,,15281.0,,,,,,,38125.0,,-38125.0,-90322.0,,,,89843.0,,,,,,,-479.0,,,,,,,,,28125.0,10000.0,,54681.0,,,-90321.0,,35162.0,,,,-24927.0,,,,,,,,,,,8505000.0
2011-09-30,2011-11-07,10-Q,ZHONG YA INTERNATIONAL LTD,ZYJT,CIK0001442101,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,960.0,-0.01,,,,,,,,,,-138.0,,,,,,,,,,,,,,,,,-4523.0,,,,4385.0,,-138.0,,,,,,,,,,,,,,,,,3425.0,,,,,,,,,,,,,,,,,,,5337877.0,
2011-12-31,2012-04-20,10-K,ZHONG YA INTERNATIONAL LTD,ZYJT,CIK0001442101,USD,25197.0,,,,56889.0,,-204.0,,,,,,,,,,8505.0,,,,,,,,,,,,341.0,,,,,,,,,,,4810.0,0.0,,,24946.0,,,,,,251.0,-551.0,,300.0,,,29450.0,,35334.0,,,10000.0,,9721.0,,,,,-25497.0,,,,24946.0,,-551.0,,,,,,,,,,,,,,,,,20136.0,-25497.0,,-100728.0,,,,-9837.0,,-35334.0,-35334.0,,-25497.0,,,,,,,8505000.0,
2012-03-31,2012-06-13,10-Q,ZHONG YA INTERNATIONAL LTD,ZYJT,CIK0001442101,USD,26996.0,,,,56889.0,,-128.0,,,,,,,,,,8505.0,,,,,,,,,,,,403.0,,,,,,,,,,,300.0,-0.01,,,1800.0,,,,,,63.0,-138.0,,75.0,,,,,37271.0,,,10000.0,,,,,,,-1938.0,,,,1800.0,,-138.0,,,,,,,,,,,,,,,,,1500.0,,,-102665.0,,,,,,-37271.0,,,,,,,,,,5337877.0,
2012-06-30,2012-08-13,10-Q,ZHONG YA INTERNATIONAL LTD,ZYJT,CIK0001442101,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.0,-0.01,,,,,,,,,,-138.0,,,,,,,,,,,,,,,,,-1938.0,,,,1800.0,,-138.0,,,,,,,,,,,,,,,,,1500.0,,,,,,,,,,,,,,,,,,,8505000.0,
2012-09-30,2012-11-14,10-Q,ZHONG YA INTERNATIONAL LTD,ZYJT,CIK0001442101,USD,29297.0,,,,56889.0,,,,,,,,,,,,8505.0,,,,,,,,,,,,528.0,,,,,,,,,,,,-0.01,,,,,,,,,,-116.0,,,,,,,39825.0,,,10000.0,,,,,,,-116.0,,,,500.0,,-116.0,,,,,,,,,,,,,,,,,500.0,,10000.0,-105218.0,,,,,,-39825.0,,,,,,,,,,8505000.0,
