end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsPayableRelatedPartiesCurrent,AccountsReceivableNetCurrent,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivableCurrent,AmortizationOfMortgageServicingRightsMSRs,Assets,AssetsCurrent,AssetsHeldInTrustCurrent,BridgeLoan,BusinessAcquisitionEquityInterestsIssuedOrIssuableNumberOfSharesIssued,Cash,CashAndCashEquivalentsAtCarryingValue,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,DefinedContributionPlanCostRecognized,Depreciation,DueToEmployeesCurrentAndNoncurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationTaxSettlements,EmployeeBenefitsAndShareBasedCompensationNoncash,EquityMethodInvestmentOwnershipPercentage,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExaminationInterestAccrued,IncomeTaxesPaid,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInOperatingAssets,InterestAndFeeIncomeOtherLoans,InterestIncomeExpenseNet,InterestPaidNet,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NonoperatingIncomeExpense,NotesAndLoansPayable,NotesPayableRelatedPartiesClassifiedCurrent,NotesPayableRelatedPartiesCurrentAndNoncurrent,OperatingExpenses,OperatingIncomeLoss,OtherAssets,OtherExpenses,OtherGeneralExpense,OtherLoansPayable,PaymentsToMinorityShareholders,PreferredStockNoParValue,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProfitLoss,PropertyPlantAndEquipmentNet,ReceivablesNetCurrent,RestrictedInvestmentsNoncurrent,RetainedEarningsAccumulatedDeficit,RetainedEarningsAppropriated,Revenues,SaleOfStockPricePerShare,ShareBasedCompensation,SharesIssued,SharesIssuedPricePerShare,ShortTermBankLoansAndNotesPayable,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueConversionOfUnits,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2020-06-30,2020-08-18,10-Q,"PhoneBrasil International, Inc.",ACRU,CIK0001407573,USD,,,,,,,,,,,,,,0.0,,,,30000000.0,11034000.0,11034000.0,,,,,0.0,,,,22465.0,,-22465.0,,,,,,,,,37682.0,,37682.0,,,,-22465.0,,,37682.0,,22465.0,-22465.0,,,,,,,,,,,,,,,-22465.0,,,,-37682.0,,,,,,,,-37682.0,,,,,,,11034000.0
2020-09-30,2020-10-08,10-Q,"PhoneBrasil International, Inc.",ACRU,CIK0001407573,USD,,,47435.0,,4982.0,,,,,,,,0.0,1627690.0,,,0.0,30000000.0,29034000.0,29034000.0,18.0,,6903.0,42435.0,0.02,,,,9753.0,,230351.0,,,,,,5000.0,406.0,,42435.0,,42435.0,,,,230351.0,0.0,,42435.0,,997074.0,229945.0,,,267231.0,,,,,,,,,,,,,,,,-47435.0,,1227019.0,0.0,,18000000.0,0.0326,,-42435.0,,18000000.0,,5000.0,5000.0,,14164435.0
2020-12-31,2021-03-16,10-K,"PhoneBrasil International, Inc.",ACRU,CIK0001407573,USD,,178574.0,,487239.0,91688.0,14300.0,,1637115.0,1492676.0,863812.0,,,0.0,863812.0,,789497.0,1e-06,1650000000.0,29034000.0,29034000.0,29.0,,,,-0.02,,221132.0,,264286.0,,-264286.0,,,,-7500.0,,,,,642652.0,1637115.0,178574.0,50654.0,,-50654.0,-264286.0,,464078.0,0.0,0.0,264286.0,-264286.0,1597986.0,,,464078.0,,1e-06,0.0,10000000.0,3094000.0,3094000.0,3.0,141625.0,50654.0,,,137861.0,487238.0,6578.0,902743.0,,,,,,,,994463.0,994463.0,,41229.0,5000.0,,,16345475.0
2021-03-31,2021-05-13,10-Q,"PhoneBrasil International, Inc.",ACRU,CIK0001407573,USD,,,,,277043.0,,,,,,,,0.0,,,,1e-06,300000000.0,29034000.0,29034000.0,18.0,,,,0.0,,,,13650.0,,-13650.0,,,,,,,,,13650.0,,13650.0,13650.0,,-13650.0,-13650.0,,,13650.0,13650.0,13650.0,-13650.0,,,,,,1e-06,,10000000.0,10000000.0,10000000.0,300.0,,13650.0,,-13650.0,,,,-291011.0,,,,,,,,-13650.0,,,,,,,29034000.0
2021-06-30,2021-08-11,10-Q,"PhoneBrasil International, Inc.",ACRU,CIK0001407573,USD,,,,,277043.0,,,,,,,,,,,0.0,1e-06,300000000.0,29034000.0,29034000.0,18.0,,,,0.0,,,,3900.0,,,,,,,,,,,17550.0,,17550.0,,,,-3900.0,,,17550.0,17550.0,3900.0,-3900.0,,,,,,1e-06,,10000000.0,10000000.0,10000000.0,300.0,,,,-3900.0,,,,-294911.0,,,,,,,,-17550.0,,,,,,,11034000.0
2021-09-30,2021-11-22,10-Q,"PhoneBrasil International, Inc.",ACRU,CIK0001407573,USD,,1406577.0,,826698.0,-208312.0,14300.0,,1429080.0,1316166.0,55025.0,480000.0,,,55025.0,,55025.0,1e-06,1650000000.0,29034000.0,29034000.0,29.0,,8315.0,,-0.03,,,,,,-910757.0,16035.0,,,,,,48.0,,2516690.0,1429080.0,2052612.0,,,,-910757.0,0.0,464078.0,646035.0,646035.0,1803753.0,-910805.0,1460175.0,,969936.0,464078.0,,1e-06,,10000000.0,3094000.0,3094000.0,3.0,434443.0,,,,112914.0,826698.0,0.0,-879330.0,,892948.0,,,,,150000.0,-1087610.0,-1087610.0,,,,,,29034000.0
