end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableFairValueDisclosure,AccruedLiabilitiesCurrent,Assets,AssetsFairValueDisclosure,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommitmentsAndContingencies,CostOfTrustAssetsSoldToPayExpenses,EarningsPerShareBasic,FairValueNetAssetLiability,FairValueOfAssetsAcquired,GainLossOnDispositionOfAssets,GainLossOnInvestments,GainLossOnSaleOfInvestments,GainLossOnSaleOfTrustAssetsToPayExpenses,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccruedLiabilities,InventoryValuationReserves,InventoryWriteDown,InvestmentInPhysicalCommoditiesFairValueDisclosure,InvestmentOwnedAtCost,InvestmentOwnedAtFairValue,InvestmentOwnedPercentOfNetAssets,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesFairValueDisclosure,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NonInvestmentAssetsLessNonInvestmentLiabilitiesPercentOfNetAssets,OperatingExpenses,OperatingIncomeLoss,OtherInventory,OtherSignificantNoncashTransactionValueOfConsiderationGiven1,PaymentsForFees,ProceedsFromSaleOfOtherAssets,ProceedsFromSaleOfTrustAssetsToPayExpenses,RealizedInvestmentGainsLosses,Revenues,SaleOfTrustAssetsToPayExpenses,SharesOutstanding,StockholdersEquity,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesPeriodIncreaseDecrease,StockRedeemedOrCalledDuringPeriodShares,StockRedeemedOrCalledDuringPeriodValue,TemporaryEquityCarryingAmountIncludingPortionAttributableToNoncontrollingInterests,TemporaryEquityIssuePeriodIncreaseOrDecrease,TemporaryEquityOtherChanges,TemporaryEquityParOrStatedValuePerShare,TemporaryEquityRedemptionPricePerShare,TemporaryEquityRedemptionValue,TemporaryEquitySharesIssued,TemporaryEquitySharesOutstanding,TemporaryEquityStockIssuedDuringPeriodValueNewIssues,UnrealizedGainLossOnInvestments,WeightedAverageNumberOfSharesOutstandingBasic
2008-12-31,2009-02-27,10-K,ISHARES GOLD TRUST,IAU,CIK0001278680,USD,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,75276000.0,,6965000.0,,,,,,,,,,,,,,,,,,,,,1896305000.0,,218000000.0,,,
2009-06-30,2009-08-06,10-Q,ISHARES GOLD TRUST,IAU,CIK0001278680,USD,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,-1519000.0,,2038000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-09-30,2009-11-06,10-Q,ISHARES GOLD TRUST,IAU,CIK0001278680,USD,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,-1705000.0,,2276000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-31,2010-02-26,10-K,ISHARES GOLD TRUST,IAU,CIK0001278680,USD,,,1914867000.0,,0.0,,,,,,,,2425000.0,,,,,417000.0,,,,,,,1006000.0,,,,60970000.0,,9097000.0,,,,-8680000.0,8680000.0,,,,,260000000.0,,,,,,,490821000.0,219965000.0,,,2792233000.0,,260000000.0,625072000.0,,
2010-03-31,2010-05-07,10-Q,ISHARES GOLD TRUST,IAU,CIK0001278680,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31941000.0,,2746000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,2010-08-06,10-Q,ISHARES GOLD TRUST,IAU,CIK0001278680,USD,,,2220070000.0,,0.0,,,,,,,,1005000.0,,,,,,,,,,,,1106000.0,,,,3838000.0,,3111000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-30,2010-11-08,10-Q,ISHARES GOLD TRUST,IAU,CIK0001278680,USD,,,2768240000.0,,0.0,,,,,,,,834000.0,,,,,,,,,,,,817000.0,,,,-1474000.0,,2308000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,2011-02-25,10-K,ISHARES GOLD TRUST,IAU,CIK0001278680,USD,,1067000.0,3568036000.0,,0.0,,,,7353000.0,0.11,,1748964000.0,3698000.0,,,3698000.0,,61000.0,,,,,,,1067000.0,3568036000.0,,,32297000.0,,11112000.0,,3546055000.0,88442000.0,11051000.0,11051000.0,11051000.0,,,11051000.0,386950000.0,,138950000.0,,-12000000.0,902906000.0,,-902906000.0,128153000.0,,,5315950000.0,386950000.0,386950000.0,1748964000.0,,295602603.0
2011-03-31,2011-05-09,10-Q,ISHARES GOLD TRUST,IAU,CIK0001278680,USD,,,4027277000.0,,,,,,2158000.0,0.25,,703922000.0,,,,956000.0,,120000.0,,,,,,,1187000.0,,,,96018000.0,,3234000.0,,,242523000.0,3114000.0,,3114000.0,,,3114000.0,,,,,,,,,,,,,,,,,387597778.0
2011-06-30,2011-08-08,10-Q,ISHARES GOLD TRUST,IAU,CIK0001278680,USD,,1426000.0,4978476000.0,,,,,,2667000.0,0.06,,,1209000.0,,,1209000.0,,,,,,,,,1426000.0,,,,28472000.0,,4115000.0,,4984763000.0,,,,,,,3876000.0,,,,,,,,,,,,,,,,,450335714.0
