end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccruedInsuranceCurrent,AccruedLiabilitiesCurrent,AccruedProfessionalFeesCurrent,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,AdjustmentsToAdditionalPaidInCapitalStockIssuedIssuanceCosts,AllocatedShareBasedCompensationExpense,AmortizationOfDebtDiscountPremium,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,AssetAcquisitionContingentConsiderationLiabilityNoncurrent,Assets,AssetsCurrent,CashAcquiredFromAcquisition,CashAndCashEquivalentsAtCarryingValue,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,ConvertibleNotesPayableCurrent,DebtConversionConvertedInstrumentAmount1,DebtInstrumentDecreaseForgiveness,DebtInstrumentUnamortizedDiscount,Depreciation,DepreciationDepletionAndAmortization,DerivativeLiabilitiesCurrent,EarningsPerShareBasic,EarningsPerShareDiluted,EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,EmployeeRelatedLiabilitiesCurrent,EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedStockOptions,ForeignCurrencyExchangeRateTranslation1,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,InterestIncomeExpenseNonoperatingNet,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansPayableCurrent,MembersEquity,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NumberOfOperatingSegments,OperatingIncomeLoss,OtherAccruedLiabilitiesCurrent,OtherAssetsCurrent,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToParent,OtherNonoperatingIncomeExpense,PaymentsForRepurchaseOfCommonStock,PaymentsToAcquireInProcessResearchAndDevelopment,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockConvertibleConversionRatio,PreferredStockDividendsPerShareDeclared,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseAndOtherAssetsCurrent,PrepaidInsurance,ProceedsFromIssuanceInitialPublicOffering,ProceedsFromIssuanceOfConvertiblePreferredStock,ProceedsFromStockOptionsExercised,PropertyPlantAndEquipmentNet,PurchaseObligation,PurchaseObligationDueInNextTwelveMonths,PurchaseObligationDueInSecondAndThirdYear,ResearchAndDevelopmentExpenseExcludingAcquiredInProcessCost,ResearchAndDevelopmentInProcess,RetainedEarningsAccumulatedDeficit,SaleOfStockConsiderationReceivedOnTransaction,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfSharesAuthorized,ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfSharesAvailableForGrant,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingIntrinsicValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsForfeituresInPeriodWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsExercisableIntrinsicValue1,StockholdersEquity,StockIssued1,StockIssuedDuringPeriodSharesStockOptionsExercised,StockIssuedDuringPeriodValueAcquisitions,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueStockOptionsExercised,StockRepurchasedAndRetiredDuringPeriodShares,StockRepurchasedAndRetiredDuringPeriodValue,TemporaryEquityCarryingAmountAttributableToParent,TemporaryEquityParOrStatedValuePerShare,TemporaryEquitySharesAuthorized,TemporaryEquitySharesIssued,TemporaryEquitySharesOutstanding,ValueAddedTaxReceivable,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfSharesOutstandingBasic,DeferredFinanceCostsNoncurrentNet,IncomeTaxExpenseBenefit,ProceedsFromRelatedPartyDebt,RepaymentsOfRelatedPartyDebt
2021-06-30,2021-08-16,10-Q,CENTESSA PHARMACEUTICALS PLC,CNTA,CIK0001847903,USD,7261000.0,8367000.0,16924000.0,3271000.0,3225000.0,866889000.0,3229000.0,8800000.0,3229000.0,0.0,,33930000.0,643757000.0,643682000.0,,613759000.0,613759000.0,,0.002,89899419.0,89899419.0,89899419.0,252000.0,-40357000.0,0.0,,,700000.0,5434.0,,0.0,-0.65,-0.65,,907000.0,41800000.0,0.73,0.0,11841000.0,,,,27000.0,58115000.0,643757000.0,24185000.0,0.0,,,,,-41451000.0,,-41287000.0,395000.0,444000.0,1094000.0,-191000.0,,,,1.0,,0.002,22840902.0,0.0,0.0,0.0,15984000.0,10234000.0,,,,74800.0,18900000.0,15800000.0,3100000.0,18134000.0,0.0,-284724000.0,344100000.0,,,8662500.0,518857.0,4.4,,,,160400000.0,10530410.0,6.98,,,,9200000.0,585642000.0,,,,,,,,,0.0,0.0001,0.0,0.0,0.0,1365000.0,63516656.0,63516656.0,,,,
2021-09-30,2021-11-15,10-Q,CENTESSA PHARMACEUTICALS PLC,CNTA,CIK0001847903,USD,18456000.0,,10688000.0,2324000.0,2738000.0,871022000.0,4133000.0,,4133000.0,0.0,11742566.0,33930000.0,612207000.0,611645000.0,,578815000.0,578815000.0,,0.002,89900425.0,89900425.0,89900425.0,252000.0,-40642000.0,0.0,,,700000.0,15744.0,,0.0,-0.45,-0.45,,2936000.0,43000000.0,0.74,0.0,12464000.0,,,,65000.0,63074000.0,612207000.0,29144000.0,0.0,,,,,-40155000.0,,-38314000.0,234000.0,1050000.0,-487000.0,-1906000.0,,,,1.0,,0.002,22840902.0,0.0,0.0,0.0,14219000.0,7995000.0,,,,114000.0,17100000.0,15900000.0,1200000.0,25850000.0,0.0,-324879000.0,,,,8437705.0,574267.0,4.66,,,,101900000.0,10755205.0,7.47,,,,7000000.0,549133000.0,,,,,,,,,0.0,0.0001,0.0,0.0,0.0,2945000.0,89899454.0,89899454.0,448000.0,0.0,,
