end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableRelatedPartiesCurrent,AccountsReceivableNetNoncurrent,Assets,AssetsNet,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommonStockNoParValue,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,EarningsPerShareBasic,FairValueOfAssetsAcquired,GainLossOnSaleOfTrustAssetsToPayExpenses,GrossProfit,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInOtherAccountsPayable,IncreaseDecreaseInReceivables,InvestmentInPhysicalCommodities,InvestmentOwnedAtCost,InvestmentOwnedAtFairValue,InvestmentOwnedBalanceOtherMeasure,InvestmentOwnedPercentOfNetAssets,InvestmentRelatedLiabilities,Liabilities,LiabilitiesAndStockholdersEquity,LiabilityForUncertainTaxPositionsNoncurrent,NetAssetValuePerShare,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NewAccountingPronouncementOrChangeInAccountingPrincipleEffectOfAdoptionQuantification,NewAccountingPronouncementOrChangeInAccountingPrincipleEffectOfChangeOnNetIncome,NonInvestmentAssetsLessNonInvestmentLiabilities,NonInvestmentAssetsLessNonInvestmentLiabilitiesPercentOfNetAssets,OperatingExpenses,OtherCostAndExpenseOperating,PaymentsForOperatingActivities,PaymentsForRepurchaseOfCommonStock,ProceedsFromCustomers,ProceedsFromIssuanceOfCommonStock,RealizedInvestmentGainsLosses,ReceivablesNetCurrent,RetainedEarningsAccumulatedDeficit,SharesOutstanding,SponsorFees,StockholdersEquity,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueNewIssues,StockRedeemedOrCalledDuringPeriodShares,StockRedeemedOrCalledDuringPeriodValue,StockRepurchasedDuringPeriodShares,StockRepurchasedDuringPeriodValue,WeightedAverageNumberOfSharesOutstandingBasic
2010-03-31,2010-05-17,10-Q,Aberdeen Standard Platinum ETF Trust,PPLT,CIK0001460235,USD,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,2010-08-13,10-Q,Aberdeen Standard Platinum ETF Trust,PPLT,CIK0001460235,USD,,,,,0.0,0.0,,,,,-4.87,91155904.0,,33206.0,-3245.0,22914167.0,16427775.0,,,,,,,,,,,0.0,-15974962.0,,,,,799697.0,,0.0,-102941597.0,0.0,74729188.0,,,,,799697.0,,,,,,,,3276923.0
2010-09-30,2010-11-12,10-Q,Aberdeen Standard Platinum ETF Trust,PPLT,CIK0001460235,USD,,,,,0.0,0.0,,,,,4.4,79213583.0,,-18705.0,-293.0,-22914167.0,0.0,,,,,,,,,,,0.0,13209483.0,,,,,706062.0,,0.0,-37852666.0,0.0,79214506.0,,,,,706062.0,,,,,,,,3004348.0
2010-12-31,2011-03-28,10-K,Aberdeen Standard Platinum ETF Trust,PPLT,CIK0001460235,USD,367658.0,,718356579.0,,0.0,0.0,0.0,4450000.0,4450000.0,765762000.0,-1.52,892214281.0,,40000.0,367000.0,,25813000.0,,,,,,,367658.0,718356579.0,,,0.0,-4659000.0,,,,,2982000.0,,0.0,195382000.0,0.0,918030000.0,,25813041.0,-47773000.0,,2981911.0,,5700000.0,918030000.0,,,1250000.0,195382000.0,3059589.0
2011-03-31,2011-05-13,10-Q,Aberdeen Standard Platinum ETF Trust,PPLT,CIK0001460235,USD,,,,,0.0,0.0,,,,,1.29,125652902.0,,97502.0,41164.0,17599518.0,-25813041.0,,,,,,,,,,,0.0,5800481.0,,,,,1189849.0,,0.0,114062976.0,0.0,99839861.0,,,,,1189849.0,,,,,,,,4502778.0
2011-06-30,2011-08-10,10-Q,Aberdeen Standard Platinum ETF Trust,PPLT,CIK0001460235,USD,370145.0,,717561709.0,,0.0,0.0,0.0,4250000.0,4250000.0,725374893.0,1.34,81522033.0,,107611.0,-38677.0,-531312.0,0.0,,,,,,,17438351.0,717561709.0,,,0.0,5930502.0,,,,,1162433.0,,0.0,96895464.0,0.0,81522033.0,,0.0,-25251535.0,,1162433.0,,,,,,,,4415385.0
2011-09-30,2011-11-09,10-Q,Aberdeen Standard Platinum ETF Trust,PPLT,CIK0001460235,USD,355497.0,,665791268.0,,0.0,0.0,,4400000.0,4400000.0,657958965.0,-16.97,153294200.0,,69541.0,-14648.0,-9591400.0,0.0,,,,,,,7832303.0,665791268.0,,,0.0,-77840020.0,,,,,1173726.0,,0.0,117618573.0,0.0,153294200.0,,0.0,0.0,,1173726.0,,,,,,,,4586413.0
2011-12-31,2012-02-29,10-K,Aberdeen Standard Platinum ETF Trust,PPLT,CIK0001460235,USD,304612.0,,607567000.0,,0.0,0.0,,4450000.0,4450000.0,607263000.0,-27.82,420961560.0,,240000.0,-63000.0,0.0,-25813000.0,607567000.0,,,439947.3,,,304000.0,607567000.0,,,0.0,-124547000.0,,,,,4597000.0,,0.0,381307000.0,0.0,395128000.0,,0.0,0.0,,4597378.0,,2250000.0,395128000.0,,,2250000.0,381307000.0,4477260.0
2012-03-31,2012-05-10,10-Q,Aberdeen Standard Platinum ETF Trust,PPLT,CIK0001460235,USD,419300.0,,696872221.0,,0.0,0.0,,4950000.0,4950000.0,800980802.0,0.75,118126933.0,,83000.0,115000.0,8091000.0,0.0,,,,,,,8510148.0,696872221.0,,,0.0,3633000.0,,,,,1151000.0,,0.0,40661000.0,0.0,118127000.0,,,-112618729.0,,1150921.0,,,,,,,,4873077.0
2012-06-30,2012-08-09,10-Q,Aberdeen Standard Platinum ETF Trust,PPLT,CIK0001460235,USD,336318.0,,682486541.0,,0.0,0.0,,4900000.0,4900000.0,689362276.0,0.47,,,119000.0,-83000.0,-8091000.0,0.0,,,,,,,336318.0,682486541.0,,,0.0,2263000.0,,,,,1076000.0,,0.0,29939000.0,0.0,21464000.0,,,-7212053.0,,1076102.0,,,,,,,,4856593.0
