end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccumulatedAmortizationOfCurrentDeferredFinanceCosts,AdditionalPaidInCapital,AmortizationOfDebtDiscountPremium,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,Assets,AssetsCurrent,BankOverdrafts,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,CommonStockParOrStatedValuePerShare,CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConversionOfStockSharesIssued1,ConvertibleDebtCurrent,DebtConversionConvertedInstrumentAmount1,DebtConversionConvertedInstrumentSharesIssued1,DebtInstrumentUnamortizedDiscount,DeconsolidationGainOrLossAmount,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DepositsAssetsNoncurrent,Depreciation,DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax,DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodNetOfTax,DividendsPayableCurrentAndNoncurrent,DividendsPreferredStock,DividendsPreferredStockStock,DueFromRelatedPartiesCurrent,DueToRelatedPartiesCurrent,DueToRelatedPartiesCurrentAndNoncurrent,EarningsPerShareBasicAndDiluted,FiniteLivedLicenseAgreementsGross,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare,IncomeLossFromOperationsBeforeExtraordinaryItemsPerBasicAndDilutedShare,IncomeTaxesPaid,IncomeTaxesPaidNet,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableTrade,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInOtherReceivables,IncreaseDecreaseInPrepaidExpense,IncrementalCommonSharesAttributableToCallOptionsAndWarrants,IncrementalCommonSharesAttributableToConversionOfDebtSecurities,IncrementalCommonSharesAttributableToConversionOfPreferredStock,IndefiniteLivedLicenseAgreements,InterestExpense,InterestIncomeExpenseNonoperatingNet,InterestPaid,InterestPaidNet,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,NonoperatingIncomeExpense,NotesPayableCurrent,OperatingCostsAndExpenses,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,PreferredStockDividendRatePercentage,PreferredStockDividendsIncomeStatementImpact,PreferredStockLiquidationPreference,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesOutstanding,PreferredStockSharesSubscribedButUnissuedSubscriptionsReceivable,PreferredStockValue,PrepaidExpenseAndOtherAssetsCurrent,PrepaidExpenseCurrent,ProceedsFromContributionsFromAffiliates,ProceedsFromIssuanceOfCommonStock,ProceedsFromNotesPayable,ProceedsFromRepaymentsOfBankOverdrafts,ProceedsFromStockOptionsExercised,ProfessionalFees,RelatedPartyTransactionDueFromToRelatedParty,RepaymentsOfNotesPayable,RetainedEarningsAccumulatedDeficit,Revenues,SalesRevenueNet,ShareBasedGoodsAndNonemployeeServicesTransactionExpense,ShortTermNonBankLoansAndNotesPayable,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesStockOptionsExercised,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,TemporaryEquityLiquidationPreference,UnrecognizedTaxBenefits,UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestAccrued,UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestExpense,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfSharesOutstandingBasic,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccruals,GainsLossesOnExtinguishmentOfDebt,IncreaseDecreaseInDepositOtherAssets,WeightedAverageNumberDilutedSharesOutstandingAdjustment
2009-12-31,2010-04-15,10-K,"WINDGEN ENERGY, INC",WGEI,CIK0000726037,USD,,,,,,,,,14118.0,,,,,,,,,,,,,,,,,,,,,,,,,64309.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95000.0,,,,,,,,,-547984.0,,,,15000000.0,,,,,,,,,,,,,
2010-06-30,2010-08-13,10-Q,"WINDGEN ENERGY, INC",WGEI,CIK0000726037,USD,,,,0.0,,,,,77.0,,,,,,,,,,,,,,,,,,,,,,,355000.0,,,1891.0,,,,,-0.01,,44729.0,-78057.0,,355000.0,,,,,,,,,,,,,,,-312.0,,,,,,,,,,276943.0,275052.0,-312.0,,77745.0,,-77745.0,,,,,,,,10000.0,,,,,,,,,2616.0,,,,,0.0,,,,,,,,,,,,,,,35570427.0,35538903.0,,,,
2010-09-30,2010-11-12,10-Q,"WINDGEN ENERGY, INC",WGEI,CIK0000726037,USD,,,,0.0,,,,,20835.0,,,,,,,10000.0,,,,,,,,,,,,,,,,355000.0,0.0,,1891.0,,,,,0.0,,25282.0,-82102.0,,,,,,,,,,,,,,,,,146.0,,,,,,,,,,-82102.0,-83993.0,146.0,,82248.0,,-82248.0,,,,,,,,,,,,,,,,,26966.0,,,,,0.0,,,,,,,,,,,,,,,36257602.0,36249721.0,,,,
2010-12-31,2011-03-31,10-K,"WINDGEN ENERGY, INC",WGEI,CIK0000726037,USD,3987.0,27273.0,9429263.0,13636.0,,294234.0,104234.0,,33278.0,,19160.0,,,7120.0,0.001,10000.0,100000000.0,,41238429.0,41238.0,246834.0,23451.0,,,,355000.0,,,,,,355000.0,343488.0,17969.0,6147.0,-6147.0,20355.0,,,,190000.0,158831.0,-363224.0,-0.01,,0.01,0.0,150.0,,-30701.0,,1225.0,433.0,3151.0,,,,190000.0,,-1225.0,5418.0,,170907.0,294234.0,170907.0,299841.0,0.0,-280681.0,-287801.0,-19736.0,-25883.0,-14861.0,,348363.0,,-348363.0,,0.08,,,4.5,10000000.0,5254.0,,23644.0,50601.0,,,316423.0,50000.0,,,59532.0,,11939.0,-9360818.0,,0.0,,0.0,123327.0,,,,,37487.0,,316423.0,41613.0,,,,38662311.0,37518066.0,,,,
2011-03-31,2011-05-16,10-Q,"WINDGEN ENERGY, INC",WGEI,CIK0000726037,USD,,,,20119.0,,,,,7960.0,,-25318.0,,,,,10000.0,,,,,,,,,,,,,,,,,,,473.0,,,,,0.0,,32651.0,-92020.0,,,,,150.0,,-2459.0,,986.0,-434.0,10390.0,,,,,,-986.0,0.0,,,,,35000.0,0.0,-60318.0,,-92020.0,-92493.0,-21105.0,,70915.0,,-70915.0,,,,,,,,,,,,0.0,35000.0,0.0,0.0,,8264.0,,,,,0.0,,,,,,,,,,,,,,,42449523.0,41305278.0,,,,
2011-06-30,2011-08-15,10-Q,"WINDGEN ENERGY, INC",WGEI,CIK0000726037,USD,29935.0,0.0,9539890.0,7153.0,,260239.0,70239.0,,22066.0,,,,,,0.001,10000.0,43411356.0,,43411356.0,43411.0,,10000.0,,,,,,,,,,355000.0,,,473.0,,24464.0,,,0.0,190000.0,44532.0,-107521.0,,0.0,,,,,,,,,,,,,,,-291.0,,,224599.0,260239.0,224599.0,,,,,-107521.0,-107994.0,-7444.0,,100077.0,,-100077.0,,,,,,10000000.0,,10000.0,23644.0,23709.0,,,,,,,25545.0,,,-9561305.0,,0.0,,25000.0,35640.0,,,,,,,,,,,,42977644.0,42576062.0,,,,
2011-09-30,2011-11-18,10-Q,"WINDGEN ENERGY, INC",WGEI,CIK0000726037,USD,42317.0,32943.0,9596292.0,13854.0,,235052.0,45052.0,,12621.0,,,,,,0.001,10000.0,100000000.0,,43805057.0,43805.0,,27619.0,,,,,,,,,,355000.0,0.0,,473.0,,24464.0,,,0.0,,49451.0,-110914.0,,,,,,,,,,,,,,,190000.0,,-1191.0,,,254003.0,235052.0,254003.0,,,,,-110914.0,-111387.0,-15045.0,,95869.0,,-95869.0,,,473.0,,,10000000.0,,,23644.0,7967.0,,,,,,,16418.0,,,-9672692.0,,0.0,0.0,25630.0,-18951.0,,,,,,,,,,,,43546144.0,43538263.0,,,,
2011-12-31,2012-04-13,10-K,"WINDGEN ENERGY, INC",WGEI,CIK0000726037,USD,38061.0,27273.0,9430409.0,61497.0,,26988.0,26988.0,0.0,22.0,,-33256.0,,,0.0,0.001,10000.0,100000000.0,,42188390.0,42188.0,,49412.0,52000.0,1622630.0,12572.0,0.0,,,,,,0.0,0.0,,1891.0,-1891.0,24464.0,0.0,0.0,,,144607.0,-392675.0,-0.01,,0.0,-0.01,150.0,,34074.0,,4309.0,4110.0,-48099.0,,,,0.0,,-4309.0,0.0,,296131.0,26988.0,,165800.0,0.0,-199056.0,-199056.0,-392675.0,-394566.0,-65806.0,,326869.0,,-326869.0,,0.08,,,4.5,10000000.0,5254.0,,23644.0,2502.0,,,80800.0,85000.0,,,62262.0,,0.0,-9755384.0,,0.0,,26048.0,-269143.0,,50000.0,1077331.0,,,,80800.0,43504.0,,,,44383027.0,42952975.0,,,,
2012-03-31,2012-05-15,10-Q,"WINDGEN ENERGY, INC",WGEI,CIK0000726037,USD,23417.0,15538.0,9551553.0,25368.0,,24664.0,,955.0,0.0,,-22.0,,,,0.001,10000.0,100000000.0,,44377815.0,44378.0,,44104.0,,,,,,,,,,,,,473.0,,24464.0,4199.0,,0.0,,20348.0,-139476.0,,,,,150.0,,-14644.0,,744.0,0.0,2302.0,,,,,,-774.0,0.0,,310422.0,24664.0,,47654.0,0.0,-47676.0,,-139476.0,-139949.0,-26142.0,,113334.0,,-113334.0,,,,,,10000000.0,,,23644.0,200.0,,4199.0,0.0,42500.0,955.0,,12986.0,,,-9895333.0,,0.0,,26664.0,-285758.0,,,,,,,,,,,,43604301.0,42422951.0,,,,
2012-06-30,2012-08-17,10-Q,"WINDGEN ENERGY, INC",WGEI,CIK0000726037,USD,50990.0,27784.0,9578144.0,14343.0,,37429.0,,,12765.0,,,,,,0.001,10000.0,100000000.0,,44377815.0,44378.0,,65351.0,,,,,,,,,,,,,473.0,,24464.0,,479.0,0.0,,7427.0,-63593.0,,,,,,,,,,,,,,,,,-1617.0,,,360664.0,37429.0,,,,,,-63593.0,-64066.0,-15960.0,,47633.0,,-47633.0,,,,,,10000000.0,,,23644.0,200.0,,,,,,,25206.0,-479.0,,-9959401.0,,0.0,,27288.0,-323235.0,,,,,,,,,0.0,,,47655898.0,44377815.0,,,,
