end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableRelatedPartiesCurrentAndNoncurrent,AdditionalPaidInCapital,Assets,AssetsNet,CommonStockOtherSharesOutstanding,CommonStockSharesHeldInEmployeeTrustShares,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,GainLossOnInvestments,IncreaseDecreaseInOperatingAssets,InvestmentCompanyExpenseRatioIncludingIncentiveFee,InvestmentCompanyGainLossOnInvestmentPerShare,InvestmentCompanyInvestmentIncomeLossFromOperationsPerShare,InvestmentCompanyInvestmentIncomeLossPerShare,InvestmentCompanyInvestmentIncomeLossRatio,InvestmentIncomeNet,InvestmentOwnedAtCost,InvestmentOwnedAtFairValue,InvestmentOwnedBalanceContracts,InvestmentOwnedPercentOfNetAssets,InvestmentOwnedUnrecognizedUnrealizedAppreciation,Liabilities,NetAssetValuePerShare,RealizedInvestmentGainsLosses,SharesOutstanding,SponsorFees,StockholdersEquityPeriodIncreaseDecrease,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesPeriodIncreaseDecrease,StockIssuedDuringPeriodValueNewIssues,UnrealizedGainLossOnInvestments
2021-09-30,2021-11-05,10-Q,GrayscaleÂ® Litecoin Trust (LTC),LTCN,CIK0001732406,USD,0.0,-149847000.0,238471000.0,238471000.0,17204700.0,1079673.0,0.21,16339000.0,14778000.0,0.025,0.92,0.83,-0.09,-0.025,-1561000.0,146969000.0,238471000.0,1572924.940108,1.0,91502000.0,0.0,13.86,639000.0,17204700.0,1561000.0,4659000.0,392700.0,392700.0,4659000.0,15700000.0
2021-12-31,2022-02-10,10-Q,GrayscaleÂ® Litecoin Trust (LTC),LTCN,CIK0001732406,USD,0.0,-149847000.0,225204000.0,225204000.0,17204700.0,990797.0,,-11407000.0,-13267000.0,0.025,-0.66,-0.77,-0.11,-0.025,-1860000.0,146046000.0,225204000.0,1563044.183754,1.0,79158000.0,0.0,13.09,937000.0,17204700.0,1860000.0,0.0,0.0,0.0,0.0,-12344000.0
