end,filed,form,Name,Ticker,CIK,Currency,AdditionalPaidInCapital,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CostsAndExpensesRelatedParty,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsOperatingLossCarryforwardsStateAndLocal,DeferredTaxAssetsValuationAllowance,DueToRelatedPartiesCurrent,DueToRelatedPartiesCurrentAndNoncurrent,DueToRelatedPartiesNoncurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,FederalIncomeTaxExpenseBenefitContinuingOperations,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,OperatingExpenses,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValueOutstanding,ProceedsFromIssuanceOfCommonStock,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProfessionalFees,ProfitLoss,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,SaleOfStockConsiderationReceivedOnTransaction,SaleOfStockNumberOfSharesIssuedInTransaction,SaleOfStockPricePerShare,StockholdersEquity,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,BusinessAcquisitionEquityInterestsIssuedOrIssuableNumberOfSharesIssued,CommonStockNoParValue,DeferredIncomeTaxExpenseBenefit,OperatingLossCarryforwards,StockIssuedDuringPeriodSharesNewIssues
2020-06-30,2021-01-28,10-Q,"CARRIAGE HOUSE EVENT CENTER, INC.",CRGH,CIK0001798458,USD,,6672.0,6672.0,6672.0,,6672.0,,0.001,50000000.0,4150000.0,4150000.0,4150.0,,,,,83500.0,92500.0,9000.0,0.0,,,300.0,-300.0,92500.0,6672.0,83500.0,,,-300.0,300.0,,5000000.0,,,,,,,,,,-89978.0,,,0.1,-85828.0,,,4150000.0,,,,,
2020-09-30,2021-01-28,10-Q,"CARRIAGE HOUSE EVENT CENTER, INC.",CRGH,CIK0001798458,USD,29700.0,19577.0,19577.0,19577.0,,19577.0,,0.001,45000000.0,4450000.0,4450000.0,4450.0,,,,,81500.0,81500.0,,0.0,,,6095.0,-6095.0,81500.0,19577.0,81500.0,,,-6095.0,6095.0,,5000000.0,,,,,,,,,,-96073.0,,,0.1,-61923.0,30000.0,30000.0,4335217.0,,,,,
2020-12-31,2021-03-26,10-K,"CARRIAGE HOUSE EVENT CENTER, INC.",CRGH,CIK0001798458,USD,29700.0,12250.0,12250.0,12250.0,12250.0,12250.0,-20438.0,0.001,45000000.0,4450000.0,4450000.0,4450.0,5000.0,21700.0,6000.0,21700.0,22000.0,81500.0,59500.0,-0.01,0.21,-6000.0,28438.0,-28438.0,81500.0,12250.0,22000.0,8000.0,-28438.0,-28438.0,28438.0,0.001,5000000.0,0.0,0.0,0.0,30000.0,,,,-28438.0,22000.0,-103400.0,30000.0,300000.0,0.1,-69250.0,30000.0,30000.0,4272301.0,,0.1,0.0,,300000.0
2021-03-31,2021-05-13,10-Q,"CARRIAGE HOUSE EVENT CENTER, INC.",CRGH,CIK0001798458,USD,29700.0,6426.0,6426.0,6426.0,,6426.0,-5824.0,0.001,50000000.0,4450000.0,4450000.0,4450.0,,,,,22000.0,81500.0,59500.0,0.0,,,5824.0,-5824.0,81500.0,6426.0,22000.0,,-5824.0,-5824.0,5824.0,,5000000.0,0.0,,,,,,0.0,,,-109224.0,,,,-75074.0,,,4450000.0,,,,,
2021-06-30,2021-08-11,10-Q,"CARRIAGE HOUSE EVENT CENTER, INC.",CRGH,CIK0001798458,USD,29700.0,2711.0,2711.0,,2711.0,2711.0,,0.001,45000000.0,4450000.0,4450000.0,4450.0,,,,,22000.0,81500.0,59500.0,0.0,,,3715.0,-3715.0,81500.0,2711.0,22000.0,,,-3715.0,3715.0,,5000000.0,0.0,0.0,,,,,,,,-112939.0,,,,-78789.0,,,4450000.0,,,,,
2021-09-30,2021-11-09,10-Q,"CARRIAGE HOUSE EVENT CENTER, INC.",CRGH,CIK0001798458,USD,29700.0,2467.0,2467.0,,2467.0,2467.0,,0.001,45000000.0,4450000.0,4450000.0,4450.0,,,,,22000.0,95500.0,73500.0,0.0,,,14244.0,-14244.0,95500.0,2467.0,22000.0,,,-14244.0,14244.0,,5000000.0,0.0,0.0,,,,,,,,-127183.0,,,,-93033.0,,,4450000.0,,,,,
