end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccruedSalariesCurrent,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,AdjustmentsToAdditionalPaidInCapitalOther,AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,AdvertisingExpense,AdvertisingRevenueCost,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CashPaidForCapitalizedInterest,CommonStockOtherValueOutstanding,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConversionOfStockAmountConverted1,ConvertibleDebt,CostOfGoodsSold,CostOfRevenue,CostsAndExpenses,DebtConversionConvertedInstrumentAmount1,DebtConversionConvertedInstrumentSharesIssued1,DebtConversionOriginalDebtAmount1,DebtInstrumentIncreaseAccruedInterest,DebtInstrumentIncreaseDecreaseOtherNet,DebtIssuanceCostsIncurredDuringNoncashOrPartialNoncashTransaction,DeferredTaxAssetsGross,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DisposalGroupIncludingDiscontinuedOperationRevenue,DueToOfficersOrStockholdersCurrent,DueToOtherRelatedPartiesCurrentAndNoncurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EquityIssuancePerShareAmount,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInInventories,IncreaseDecreaseInNotesPayableCurrent,IncreaseDecreaseInOperatingAssets,IncreaseDecreaseInOperatingCapital,IncreaseDecreaseInOperatingLiabilities,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,InterestExpense,InterestPaid,InterestPaidNet,InterestPayableCurrent,InterestPayableCurrentAndNoncurrent,InventoryNet,IssuanceOfStockAndWarrantsForServicesOrClaims,LegalFees,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesNoncurrent,LongTermLoansPayable,LongTermNotesPayable,ManagementFeeExpense,MarketingAndAdvertisingExpense,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NonoperatingIncomeExpense,NotesPayable,NotesPayableCurrent,NotesPayableRelatedPartiesCurrent,OfficersCompensation,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherAccountsPayableAndAccruedLiabilities,OtherAssets,OtherComprehensiveIncomeLossBeforeTax,OtherGeneralAndAdministrativeExpense,OtherNoncashExpense,OtherNonoperatingIncomeExpense,OtherOperatingIncome,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PrepaidExpenseCurrent,ProceedsFromContributedCapital,ProceedsFromContributionsFromParent,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfDebt,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfNotesPayable,ProceedsFromRepaymentsOfRelatedPartyDebt,ProceedsFromRepaymentsOfShortTermDebt,ProfessionalFees,ProfitLoss,ReceivableFromShareholdersOrAffiliatesForIssuanceOfCapitalStock,RepaymentsOfNotesPayable,RepaymentsOfRelatedPartyDebt,ResearchAndDevelopmentExpense,RetainedEarningsAccumulatedDeficit,Revenues,SalariesAndWages,SalariesWagesAndOfficersCompensation,SalesRevenueGoodsNet,SalesRevenueNet,SellingAndMarketingExpense,ShareBasedCompensation,SharesOutstanding,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssued1,StockIssuedDuringPeriodSharesIssuedForCash,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesOther,StockIssuedDuringPeriodSharesShareBasedCompensationForfeited,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueConversionOfUnits,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueShareBasedCompensation,StockIssuedDuringPeriodValueShareBasedCompensationForfeited,StockRepurchasedAndRetiredDuringPeriodShares,TreasuryStockSharesAcquired,TreasuryStockSharesRetired,TreasuryStockValue,UnrecognizedTaxBenefitsResultingInNetOperatingLossCarryforward,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesIssuedBasic,WeightedAverageNumberOfSharesOutstandingBasic
2012-07-31,2012-09-28,10-Q,"Puget Technologies, Inc.",PUGE,CIK0001540615,USD,,,11700.0,,,,,,,,10016.0,10016.0,3020.0,3020.0,-5022.0,,,,,0.001,110000000.0,3300000.0,3300000.0,3300.0,,,26301.0,26301.0,26301.0,,,,,,,,,,,9710.0,,,,,-0.002,0.0,,,,-4056.0,,,,,,,,-4926.0,,,,,,,,,,,6996.0,,,4726.0,10016.0,4726.0,,,,,,3960.0,,-8982.0,-4056.0,,4726.0,,,,,-4056.0,,,,,,,,,,,,,,12000.0,,,,,-8040.0,,,,-4056.0,,,,,,22245.0,,,22245.0,,,,,5290.0,,,,,,,,,,,,,,,,,,,,,,3300000.0
2012-10-31,2013-02-11,10-K,"Puget Technologies, Inc.",PUGE,CIK0001540615,USD,4733.0,,11700.0,11700.0,,,,,,,36.0,36.0,36.0,36.0,-5065.0,,,,,0.001,110000000.0,42500000.0,42500000.0,3300.0,,,63741.0,63741.0,63761.0,,,,,,,,,,,19697.0,,,,,0.0,0.0,,0.04,140.0,-4946.0,,-14176.0,,,,-4959.0,,2070.0,4959.0,,-17064.0,,,,,,,,,,1960.0,4733.0,36.0,4733.0,,,,,7130.0,12000.0,,-17065.0,-14176.0,,,4733.0,4733.0,,9230.0,-14176.0,,,,,140.0,,,9230.0,,,,,,12000.0,,,,,,,,,-14176.0,,,,,-19697.0,58815.0,,,58815.0,,7130.0,,3300000.0,-4697.0,-4697.0,,300000.0,,300000.0,,,,,12000.0,,12000.0,,,,,,,,,,3300000.0
2013-01-31,2013-03-15,10-Q,"Puget Technologies, Inc.",PUGE,CIK0001540615,USD,,,11700.0,,,,,,,,1601.0,1601.0,1601.0,1601.0,1565.0,,0.0,,,0.001,110000000.0,3300000.0,3300000.0,3300.0,,,27741.0,27741.0,27741.0,,,,,,,,,,,18457.0,,,,,0.0,0.0,,,230.0,4534.0,,1240.0,,,,,,,325.0,,,,,,,,,,,,3064.0,5058.0,1601.0,5058.0,,,,,,325.0,,1240.0,1240.0,,,5058.0,,,3294.0,1240.0,,,,,230.0,,,,,,,,,,,,,,,325.0,,,1240.0,,,,,,32275.0,,,32275.0,,,,,-3457.0,,,,,,,,,,,,,,,,,,,18457.0,,,3300000.0
2013-04-30,2013-06-21,10-Q,"Puget Technologies, Inc.",PUGE,CIK0001540615,USD,5023.0,,11700.0,,,,,,,,51.0,51.0,51.0,51.0,-1550.0,,0.0,,,0.001,110000000.0,3300000.0,3300000.0,3300.0,,,,,,,,,,,,,,,,33106.0,,,,,0.0,-0.004,,,2925.0,,-14649.0,-14649.0,,,,5023.0,,,,,,,,,,,,,,,7650.0,18157.0,51.0,18157.0,,,,,4074.0,8076.0,,-9626.0,-14649.0,,,13134.0,,,14649.0,-14649.0,,,,-14649.0,2925.0,,,,,,,,,,,,8076.0,,,,,,,,,,,,,,,,,4074.0,,,-18106.0,,,,,,,,,,,,,,,,,,,33106.0,,,3300000.0
2013-07-31,2013-09-12,10-Q,"Puget Technologies, Inc.",PUGE,CIK0001540615,USD,6000.0,,,-28350.0,,,,,,,11310.0,11310.0,,8810.0,8759.0,,,,,0.001,110000000.0,42500000.0,42500000.0,45800.0,,,,,,,,,,,,,,,,,,9960.0,35000.0,,0.0,,,,8102.0,,,-26602.0,,,,977.0,,,,,,,-2500.0,,,,,,,,18500.0,56018.0,11310.0,56018.0,,,,,,36884.0,,-28125.0,-26602.0,,,5058.0,,,26602.0,-26602.0,59708.0,,,,,,,,,,2500.0,,,,,,,,,36884.0,,,-26602.0,,,,,-59708.0,,,,,,,,,,-44708.0,,,,,,,,,,,,,,,,,-2450.0,,,,14608400.0
2013-10-31,2014-02-13,10-K,"Puget Technologies, Inc.",PUGE,CIK0001540615,USD,228.0,,,42500.0,0.0,100.0,228.0,,,,13572.0,13572.0,13572.0,13572.0,13536.0,,0.0,0.0,-15000.0,0.001,110000000.0,42500000.0,42500000.0,42500.0,,,,,,5058.0,,,,,,,0.0,,,-187107.0,,660.0,,,-0.01,,,,45438.0,0.0,-167410.0,-167410.0,,0.0,,228.0,,,,0.0,,228.0,,2400.0,,,,,,,96673.0,180621.0,13572.0,5621.0,175000.0,,175000.0,,16176.0,180718.0,,-167182.0,-167410.0,-21200.0,175000.0,,,,143810.0,-170133.0,,,,,19436.0,,-21200.0,170133.0,,,,5058.0,,5058.0,,,,,175000.0,660.0,175000.0,,-167410.0,-15000.0,,,17500.0,-187107.0,,,,,0.0,4099.0,0.0,42500000.0,-167049.0,-167049.0,,,,,41650000.0,,,,,,,,,-2450000.0,,,-2450.0,,,,113650685.0
2014-01-31,2014-03-17,10-Q,"Puget Technologies, Inc.",PUGE,CIK0001540615,USD,,,,,21300.0,,73254.0,,,,,,,,32976.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,57421.0,0.0,,-189802.0,,,,48155.0,,-46200.0,,,,51954.0,,5482.0,,,,7882.0,,21300.0,71790.0,,,,,325000.0,,,26957.0,149524.0,0.0,-116548.0,-189802.0,,,,,,189802.0,-184320.0,,,,,,,,,,,,,,,,,,,200000.0,-476.0,150000.0,52984.0,-189802.0,,,,7615.0,,,,,,0.0,47494.0,21300.0,,,,,,5000.0,,,,,,,6250.0,,,,,,,,,,,42500000.0
2014-04-30,2014-08-06,10-Q,"Puget Technologies, Inc.",PUGE,CIK0001540615,USD,44357.0,,,-1162.0,,,,,,,131961.0,131961.0,,49650.0,,,,,,0.001,110000000.0,42520000.0,42520000.0,42520.0,,,,,,,,,,,,,,,,,,817.0,,,-0.01,,,,31794.0,0.0,,-277662.0,,,,,,,,,,,,12855.0,,,,20737.0,46200.0,,69167.0,745174.0,131961.0,95174.0,650000.0,650000.0,650000.0,,163809.0,,,,-277662.0,,,50000.0,,,277662.0,-264807.0,,0.0,,,,,,,,,,,,,,,,,,,,69167.0,-277662.0,,,,37.0,-654571.0,,,,,0.0,163809.0,,,,-613213.0,,,,,,,,,,,,,,,,,,,,,42480652.0
2014-07-31,2014-09-08,10-Q,"Puget Technologies, Inc.",PUGE,CIK0001540615,USD,42220.0,,,-1162.0,,,,,,,49650.0,49650.0,,49650.0,,,,,,0.001,110000000.0,42520000.0,42520000.0,42520.0,,,46110.0,46110.0,,,,,,,,,,,,,,817.0,,,0.0,,,,16282.0,0.0,-60737.0,-205174.0,,,,,,,,,,,,21483.0,,,,42220.0,,,107993.0,868037.0,49650.0,93037.0,775000.0,775000.0,775000.0,,4567.0,,,,-205174.0,,,50000.0,,,60737.0,-183691.0,,,,,,,,,,,,,,,,,,,,,,34687.0,-205174.0,,,,,-859745.0,41930.0,0.0,,41930.0,0.0,55236.0,,,,-818387.0,,,,,,,,,,,,,,,,,,,,42520000.0,42520000.0
2014-10-31,2015-02-12,10-K,"Puget Technologies, Inc.",PUGE,CIK0001540615,USD,171268.0,,,42620.0,28971.0,,200239.0,,,,7879.0,7879.0,7879.0,,,,0.0,0.0,,,110000000.0,,,,,775000.0,,,,,,,,,,,0.0,,,-992379.0,,,,,,,,,,-17266.0,-805272.0,,,0.0,,,,,,0.0,,171268.0,,65700.0,,,,,0.0,,,951229.0,7879.0,951229.0,,,,,159093.0,599340.0,,-605033.0,-805272.0,,775000.0,,,,722306.0,,,,0.0,,97219.0,,,,,,,,,0.0,,,,,,,600000.0,,-805272.0,,,,,-992379.0,,,,,47930.0,,28971.0,,-943350.0,,,,,,,,,,,,,,,,,,,,,,42524548.0
