end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapitalCommonStock,AdministrativeFeesAmountPaid,AllocatedShareBasedCompensationExpense,AllowanceForLoanAndLeaseLossesProvisionForLossNet,AssetManagementFees,AssetManagementFees1,Assets,AssetsCurrent,CapitalExpendituresIncurredButNotYetPaid,CapitalizedCostsUnprovedProperties,Cash,CashAcquiredFromAcquisition,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashProvidedByUsedInFinancingActivitiesDiscontinuedOperations,CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,ContractRevenueCost,CustomerAdvancesCurrent,DeferredIncomeTaxExpenseBenefit,DeferredTaxAssetsGross,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsOperatingLossCarryforwardsForeign,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccruals,DeferredTaxAssetsValuationAllowance,DeferredTaxLiabilities,DeferredTaxLiabilitiesNoncurrent,DepositLiabilitiesReclassifiedAsLoansReceivable1,Deposits,DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax,DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodNetOfTax,DisposalGroupNotDiscontinuedOperationGainLossOnDisposal,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectOfExchangeRateOnCashAndCashEquivalents,ExplorationCosts,ForeignCurrencyTransactionGainLossBeforeTax,ForeignCurrencyTransactionGainLossUnrealized,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,ImpairmentOfOilAndGasProperties,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationForeignIncomeTaxRateDifferential,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInCustomerAdvances,IncreaseDecreaseInDeferredIncomeTaxes,IncreaseDecreaseInDepositOtherAssets,IncreaseDecreaseInDeposits,IncreaseDecreaseInPrepaidExpense,IncreaseDecreaseInReceivables,InterestExpense,InterestExpenseOther,InterestPaid,InterestPayableCurrent,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansPayableCurrent,ManagementFeeAmountPaid,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NotesPayableCurrent,OfficersCompensation,OperatingExpenses,OperatingLossCarryforwards,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax,OtherIncome,OtherLaborRelatedExpenses,OtherOperatingIncome,PaymentForAdministrativeFees,PaymentsToAcquireOilAndGasPropertyAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockValue,PrepaidExpenseCurrent,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfLongTermDebt,ProceedsFromLoans,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProfessionalAndContractServicesExpense,ProfessionalFees,ProvisionForDoubtfulAccounts,ReceivablesNetCurrent,RepaymentsOfLongtermLoansFromVendors,RetainedEarningsAccumulatedDeficit,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriodWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingIntrinsicValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsExercisableIntrinsicValue1,StockholdersEquity,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueNewIssues,TravelAndEntertainmentExpense,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2009-12-31,2010-03-31,10-K,HOLLOMAN ENERGY CORP,HENC,CIK0001324736,USD,,,,,,,,,,,,,1089456.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13099394.0,,,,,
2010-06-30,2010-08-13,10-Q,HOLLOMAN ENERGY CORP,HENC,CIK0001324736,USD,,,,,379211.0,,,,,,,,445672.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,0.0,,0.0,,,,-312916.0,,0.0,-218360.0,0.0,-218360.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,-218360.0,,70200.0,,,,,,0.0,,,,,,,,,,,,,,1006.0,,,,,,,,,,,,,,,,,,,,,,16452.0,
2010-09-30,2010-11-05,10-Q,HOLLOMAN ENERGY CORP,HENC,CIK0001324736,USD,,,,,228971.0,,,,,,,,244589.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,0.0,,-0.01,,,,568690.0,,0.0,-995928.0,0.0,-995928.0,,-0.01,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,-995928.0,,70650.0,,,,,0.0,0.0,,,,,,,,,,,,,,35468.0,,,,,,,,,,,,,,,,,,,,,,54745.0,
2010-12-31,2011-03-28,10-K,HOLLOMAN ENERGY CORP,HENC,CIK0001324736,USD,183361.0,-8659.0,24888055.0,,1066126.0,,,,16695344.0,64553.0,,16630791.0,41987.0,0.0,,-1047469.0,0.0,0.0,0.0,0.001,150000000.0,107307265.0,107307265.0,107307.0,,-2472730.0,,0.0,0.0,,,,,,,,4804193.0,,,0.0,0.0,0.0,-0.02,,,,-625731.0,619998.0,0.0,2466997.0,0.0,-2466997.0,,-0.02,0.0,0.0,,0.0,,,,-84921.0,0.0,,,,-867.0,-6237.0,,,0.0,,4987554.0,16695344.0,183361.0,,,0.0,-174571.0,-872898.0,-2466997.0,,301750.0,,,-5733.0,,0.0,0.0,,,174571.0,0.001,10000000.0,0.0,12904.0,0.0,0.0,,,0.0,,78624.0,,9662.0,,-13278913.0,1066126.0,,,,,,,,,,,,,11707790.0,,,15000.0,149000.0,
2011-03-31,2011-05-16,10-Q,HOLLOMAN ENERGY CORP,HENC,CIK0001324736,USD,,,,,78734.0,,,,,,,,114002.0,,,72015.0,,,,,,,,,-255208.0,,,,,,,,,,,,,,,,,,0.0,,1329.0,,-75485.0,75356.0,,257037.0,,-257037.0,,0.0,,0.0,,,,,,7350.0,,,,,-10220.0,-2168.0,,,,,,,,,,180000.0,,-107985.0,-257037.0,,41998.0,,,,,,,,,,,,,,180000.0,,,,,,15967.0,,,,,78734.0,,,,,,,,,,,,,,,,,26533.0,
2011-06-30,2011-08-15,10-Q,HOLLOMAN ENERGY CORP,HENC,CIK0001324736,USD,229819.0,-8655.0,25283982.0,,78734.0,,,,16771672.0,119625.0,,16652047.0,89150.0,,,,,,,0.001,150000000.0,108847024.0,108847024.0,108848.0,-328907.0,,40094.0,,0.0,,,,,,,,5021210.0,,,0.0,0.0,,0.0,,1325.0,,-142128.0,,0.0,327582.0,0.0,-327582.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,5251029.0,16771672.0,229819.0,,,,,,-327582.0,,38025.0,,,,,0.0,0.0,,,,0.001,10000000.0,0.0,29638.0,,,,,,,22822.0,,837.0,,-13863532.0,,,,,,,,,,,,,,11520643.0,,,,26699.0,108796063.0
2011-09-30,2011-11-14,10-Q,HOLLOMAN ENERGY CORP,HENC,CIK0001324736,USD,190030.0,-3817.0,25338290.0,,39366.0,,,,16753271.0,119265.0,,16634006.0,100166.0,,,,,,,0.001,150000000.0,108905932.0,108905932.0,108906.0,330210.0,,,37026.0,0.0,,,,,,,,4620978.0,,,0.0,0.0,,0.0,,-4820.0,,400984.0,,0.0,-285296.0,0.0,325390.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,4848034.0,16753271.0,227056.0,,,,,,325390.0,,13435.0,,,,,40094.0,0.0,,,,0.001,10000000.0,0.0,16152.0,,,,,,,37697.0,,2947.0,,-13538142.0,,,,,,,,,,,,,,11905237.0,,,,25190.0,108847664.0
2011-12-31,2012-03-29,10-K,HOLLOMAN ENERGY CORP,HENC,CIK0001324736,USD,188301.0,-12343.0,25353199.0,60000.0,196835.0,,151509.0,,16655197.0,20262.0,,16634935.0,11637.0,0.0,11637.0,-30350.0,0.0,0.0,0.0,0.001,150000000.0,108997599.0,108997599.0,108998.0,-526285.0,-526285.0,,7160.0,0.0,2918288.0,252143.0,1245709.0,269496.0,17058.0,-2666145.0,-4811396.0,4811396.0,543806.0,,0.0,0.0,0.0,0.0,0.35,3684.0,,-6807.0,3519.0,0.0,562695.0,0.0,-522601.0,,0.0,0.0,0.0,,0.0,209950.0,3134.0,-219917.0,65963.0,138350.0,,,0.0,8165.0,5776.0,,,0.0,,5006857.0,16655197.0,195461.0,,-40857.0,180000.0,-106357.0,-103993.0,-522601.0,0.0,110652.0,,,-3684.0,-3684.0,40094.0,0.0,,,106357.0,0.001,10000000.0,0.0,4739.0,180000.0,0.0,,0.0,0.0,-11911.0,107438.0,0.0,3886.0,,-13801514.0,196835.0,,,,,,,,4800000.0,0.93,,,,11648340.0,290332.0,290332.0,60000.0,103469.0,108574629.0
2012-03-31,2012-05-15,10-Q,HOLLOMAN ENERGY CORP,HENC,CIK0001324736,USD,190833.0,-10313.0,25368127.0,,0.0,0.0,,,16687561.0,31384.0,,16656177.0,18370.0,0.0,,6733.0,0.0,0.0,0.0,0.001,150000000.0,109069785.0,109069785.0,109070.0,-83200.0,,,,0.0,,,,,,,,4916588.0,,,0.0,0.0,0.0,0.0,,-2030.0,,-105956.0,107222.0,0.0,192390.0,0.0,-85230.0,,0.0,0.0,0.0,,,,,,-201.0,-7160.0,,0.0,,-3887.0,-502.0,0.0,,0.0,,5107421.0,16687561.0,190833.0,,,0.0,-3509.0,10242.0,-85230.0,,42900.0,192390.0,,,,107160.0,0.0,,,3509.0,0.001,10000000.0,,8626.0,0.0,0.0,,100000.0,-100000.0,,2907.0,,4388.0,,-13886744.0,0.0,,,,,,,,,,,,,11580140.0,,,,25627.0,108998392.0
2012-06-30,2012-08-14,10-Q,HOLLOMAN ENERGY CORP,HENC,CIK0001324736,USD,119128.0,-11026.0,25798625.0,150000.0,104874.0,,,,16726552.0,97390.0,,16629162.0,73938.0,,,,,,,0.001,150000000.0,110195696.0,110195696.0,110196.0,-208532.0,,,0.0,0.0,,,,,,,,4804192.0,,,0.0,0.0,,0.0,,713.0,,112890.0,,0.0,596434.0,0.0,-207819.0,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,4923320.0,16726552.0,119128.0,,,,,,-207819.0,,194743.0,596434.0,,,,388615.0,0.0,,,,0.001,10000000.0,0.0,18618.0,,,,,,,20007.0,0.0,4834.0,,-14094563.0,,,,,,,,,,,,,,11803232.0,,,,29484.0,109686371.0
