end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsReceivableNetCurrent,AccruedLiabilitiesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalConvertibleDebtWithConversionFeature,AmortizationOfDebtDiscountPremium,AmortizationOfDeferredPropertyTaxes,Assets,AssetsCurrent,BuildingsAndImprovementsGross,BusinessAcquisitionsProFormaNetIncomeLoss,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConversionOfStockAmountConverted1,ConvertibleDebtCurrent,ConvertibleLongTermNotesPayable,ConvertibleNotesPayable,CostOfGoodsSold,CostOfPropertyRepairsAndMaintenance,CostOfRevenue,CustomerDepositsNoncurrent,DebtInstrumentConvertibleBeneficialConversionFeature,DebtInstrumentDecreaseForgiveness,DebtInstrumentFaceAmount,DebtInstrumentIncreaseAccruedInterest,DeferredFederalIncomeTaxExpenseBenefit,DeferredIncomeTaxAssetsNet,DeferredIncomeTaxExpenseBenefit,DeferredRentAssetNetCurrent,DeferredTaxAssetsCapitalLossCarryforwards,DeferredTaxAssetsGrossNoncurrent,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DeferredTaxAssetsValuationAllowanceNoncurrent,Depreciation,DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,DividendsSharebasedCompensationStock,DueFromRelatedParties,DueToOfficersOrStockholdersCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeInterestExpenseInterestIncomeIncomeTaxesExtraordinaryItemsNoncontrollingInterestsNet,IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,IncomeLossFromDiscontinuedOperationsNetOfTax,IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare,IncomeTaxExpenseBenefitContinuingOperationsAdjustmentOfDeferredTaxAssetLiability,IncomeTaxesPaid,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationChangeInEnactedTaxRate,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInCustomerDeposits,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInOtherCurrentAssets,IncreaseDecreaseInPrepaidExpense,InterestAndDebtExpense,InterestExpense,InterestExpenseDebt,InterestExpenseOther,InterestIncomeOther,InterestPaid,InterestPaidNet,InterestPayableCurrent,InterestReceivable,Land,LandAndLandImprovements,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesNoncurrent,LiabilitiesOfDisposalGroupIncludingDiscontinuedOperationCurrent,LongTermNotesPayable,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NonoperatingIncomeExpense,NotesPayable,NotesPayableRelatedPartiesClassifiedCurrent,NotesPayableRelatedPartiesNoncurrent,NotesReceivableNet,OfficersCompensation,OperatingExpenses,OperatingIncomeLoss,OtherAssetsCurrent,OtherComprehensiveIncomeLossTax,OtherIncome,OtherNonoperatingExpense,OtherNonoperatingIncome,OtherNonoperatingIncomeExpense,PaymentsForDepositsOnRealEstateAcquisitions,PaymentsToAcquireNotesReceivable,PaymentsToAcquireRealEstate,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,ProceedsFromCollectionOfLeaseReceivables,ProceedsFromCollectionOfNotesReceivable,ProceedsFromContributedCapital,ProceedsFromConvertibleDebt,ProceedsFromDepositsFromCustomers,ProceedsFromIssuanceOfCommonStock,ProceedsFromNotesPayable,ProceedsFromPartnershipContribution,ProceedsFromRelatedPartyDebt,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentNet,RealEstateAndAccumulatedDepreciationCostsCapitalizedSubsequentToAcquisitionCarryingCosts,RetainedEarningsAccumulatedDeficit,RetainedEarningsAppropriated,Revenues,SaleOfStockPercentageOfOwnershipAfterTransaction,ShareBasedCompensation,StockholdersEquity,StockholdersEquityNoteSubscriptionsReceivable,StockIssuedDuringPeriodSharesConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueAcquisitions,StockIssuedDuringPeriodValueConversionOfUnits,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueShareBasedCompensation,StockIssuedDuringPeriodValueShareBasedCompensationGross,StockIssuedDuringPeriodValueStockOptionsExercised,TaxesPayableCurrent,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2014-12-31,2015-03-24,10-Q,Fritzy Tech Inc.,FRFR,CIK0001622408,USD,,,1993.0,1000.0,53349.0,,,,111551.0,37551.0,60000.0,,33965.0,,,,0.0,92000000.0,5740000.0,5740000.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,550.0,,,-8544.0,,,,,,,,,,,,,,,,,,,,,857.0,,,96.0,,,,,,15000.0,86993.0,111551.0,1993.0,,,,,,,-8544.0,761.0,85000.0,,,3586.0,,7783.0,-7783.0,,,,761.0,-96.0,,,,,0.0,8000000.0,0.0,0.0,,,,,,,,,,,,7233.0,,74000.0,,-28797.0,,,,,24558.0,,,,,,,,,,,5740000.0
2015-03-31,2015-05-20,10-Q,Fritzy Tech Inc.,FRFR,CIK0001622408,USD,,,3832.0,1500.0,53349.0,,,,83511.0,10011.0,60000.0,,9150.0,,,,0.0,92000000.0,5740000.0,5740000.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01,,,4242.0,,,-29879.0,,,,,,,,,,,,,,,,,,,,,838.0,,,34.0,,,,,,15000.0,88832.0,83511.0,3832.0,85000.0,,,,,,-29879.0,364.0,85000.0,,,,,29515.0,-29515.0,,440.0,440.0,364.0,-34.0,,,,,0.0,8000000.0,0.0,0.0,,,,,,,,,,,,25273.0,,73500.0,,-58676.0,,,,,-5321.0,,,,,,,,,,,5740000.0
2015-06-30,2015-10-07,10-K,Fritzy Tech Inc.,FRFR,CIK0001622408,USD,,,66512.0,2000.0,53349.0,,,58801.0,80275.0,7275.0,60000.0,,7275.0,,,-71199.0,0.0,92000000.0,5740000.0,5740000.0,6.0,,,,,2400.0,,,,,,,,,,,,74791.0,25429.0,,,18694.0,-25429.0,2000.0,,,,,,-0.02,0.0,0.34,7071.0,6500.0,,-108783.0,,,,,,,,,,,,,,3400.0,62833.0,,,,,,3400.0,,,,,,,3400.0,,15000.0,151512.0,80275.0,151512.0,,,85000.0,39351.0,-70000.0,-40550.0,-54982.0,,,,,,,113053.0,-106553.0,,,940.0,2230.0,230.0,,,,70000.0,0.0,8000000.0,0.0,0.0,,,,,,,,36951.0,,2400.0,,47181.0,,73000.0,,-74791.0,,8900.0,,,-14936.0,,,,,,,,,,,5740000.0
2015-09-30,2015-11-13,10-Q,Fritzy Tech Inc.,FRFR,CIK0001622408,USD,,,67419.0,2500.0,53349.0,,,,75629.0,3129.0,60000.0,,3029.0,,,-4246.0,0.0,92000000.0,5740000.0,5740000.0,6.0,,,,,,,,,,,,4536.0,,,,,,,,,,,500.0,,,,,,0.0,,,1997.0,,,-5553.0,,,,,,,,,,,,,,-858.0,49.0,,,,-100.0,,857.0,,,,,,,,,15000.0,152419.0,75629.0,152419.0,,,85000.0,,,-4246.0,-5553.0,,,,,,,5296.0,-5296.0,,,600.0,257.0,,,,,,0.0,8000000.0,0.0,0.0,,100.0,,,,,,,,,,2799.0,,72500.0,,-130145.0,,,,,-76790.0,,,,,,,,,,,5740000.0
2015-12-31,2016-02-17,10-Q,Fritzy Tech Inc.,FRFR,CIK0001622408,USD,,,68227.0,3000.0,53349.0,,,,77560.0,5560.0,60000.0,,5560.0,,,,0.0,92000000.0,5740000.0,5740000.0,6.0,,,,,,,,,,,,,,,,,,,,,,,500.0,,,,,,0.0,,,300.0,,,-8877.0,,,,,,,,,,,,,,,,,,,,,857.0,,,,,,,,,15000.0,163227.0,77560.0,153227.0,10000.0,,85000.0,,,,-8877.0,,,,10000.0,,,8020.0,-8020.0,,,,857.0,,,,,,0.0,8000000.0,0.0,0.0,,,,,,,,,,,,7220.0,,72000.0,,-139022.0,,,,,-85667.0,,,,,,,,,,,5740000.0
2016-03-31,2016-05-18,10-Q,Fritzy Tech Inc.,FRFR,CIK0001622408,USD,,,69112.0,3500.0,53349.0,,,,80036.0,8536.0,60000.0,,8398.0,,,,0.0,92000000.0,5740000.0,5740000.0,6.0,,,,,,,,4500.0,,,,,,,,,,,,,,,500.0,,,,,,0.0,,,399.0,4538.0,,-2909.0,,,,,,,,,,,,,,,,,,,,,848.0,,,,,,,,,15000.0,168612.0,80036.0,154112.0,14500.0,,85000.0,,,,-2909.0,,,,10000.0,,,6891.0,-2353.0,138.0,,292.0,556.0,,,,,,0.0,8000000.0,0.0,0.0,,,,,,,,,,,,5992.0,,71500.0,,-141931.0,,4538.0,,,-88576.0,,,,,,,,,,,5740000.0
2016-06-30,2016-10-21,10-K,Fritzy Tech Inc.,FRFR,CIK0001622408,USD,,441.0,42461.0,4000.0,59849.0,,,,97538.0,26538.0,60000.0,,8675.0,,,1400.0,0.0,92000000.0,5740000.0,5740000.0,6.0,,,,,4252.0,,6252.0,,,,,7089.0,,,,17422.0,103000.0,35100.0,,,10025.0,-35100.0,2000.0,,,,,,-0.01,0.0,0.34,12041.0,22515.0,,-29487.0,,,,,,,,,,10000.0,,,441.0,-3409.0,28841.0,,,,,,3409.0,,,,,,,3409.0,,15000.0,141961.0,97538.0,127461.0,14500.0,,85000.0,10000.0,,-8600.0,-29487.0,,10000.0,,,,,53330.0,-30815.0,,,4738.0,-1329.0,,,,,,0.0,8000000.0,0.0,0.0,,,4500.0,,,,4500.0,,10000.0,,,41289.0,,71000.0,,-104278.0,,28767.0,,,-44423.0,,,,,,,,,,,5740000.0
2016-09-30,2016-11-21,10-Q,Fritzy Tech Inc.,FRFR,CIK0001622408,USD,,649.0,28363.0,4500.0,59849.0,,,,99270.0,28770.0,60000.0,,4684.0,,,-3991.0,0.0,92000000.0,5740000.0,5740000.0,6.0,,,,,,,500.0,,,,,7946.0,,,,23337.0,88448.0,30072.0,,,,-30072.0,500.0,,,,,,0.0,0.0,0.34,399.0,16760.0,,15830.0,,,,,,,,,,5382.0,,,208.0,-857.0,-14955.0,,,,100.0,,857.0,,,,,,,,,15000.0,127863.0,99270.0,113363.0,14500.0,,85000.0,,,-3991.0,15830.0,,10000.0,,,,,6167.0,10593.0,,,6094.0,-5237.0,,,,,,0.0,8000000.0,0.0,0.0,,100.0,,,,,,,,,,5768.0,,70500.0,,-88448.0,,17260.0,,,-28593.0,,,,,,,,,,,5740000.0
2016-12-31,2017-02-09,10-Q,Fritzy Tech Inc.,FRFR,CIK0001622408,USD,,850.0,26941.0,5000.0,59849.0,,,,104634.0,34635.0,60000.0,,6701.0,,,,0.0,92000000.0,5740000.0,5740000.0,6.0,,,,,,,500.0,,,,,,,,,26984.0,81662.0,27765.0,27765.0,,,-27765.0,500.0,19854.0,,,,,0.0,,,379.0,16760.0,-13069.0,6785.0,,,0.0,19854.0,,0.0,,,,,,,,,,,,,,,857.0,,,,,,,,,15000.0,126441.0,104634.0,121941.0,4500.0,,85000.0,,,,6785.0,,,,10000.0,,,12212.0,-13069.0,,,3094.0,857.0,,,,,,0.0,8000000.0,0.0,0.0,,100.0,,,,,,,,,,11833.0,,70000.0,,-81662.0,,17260.0,,,-21807.0,,,,,,,,,,,5740000.0
2017-03-31,2017-05-05,10-Q,Fritzy Tech Inc.,FRFR,CIK0001622408,USD,,3204.0,17883.0,5500.0,59849.0,,,,104210.0,34710.0,60000.0,,7582.0,,,,0.0,92000000.0,5740000.0,5740000.0,6.0,,,,,,,,,,,,,,,,23824.0,73028.0,24830.0,24830.0,,,-24830.0,500.0,,,,,,0.0,,,485.0,,-11095.0,8634.0,,,0.0,19729.0,,0.0,,,,,,,,,,,,,,,838.0,,,,,,,,,15000.0,117383.0,104210.0,112883.0,4500.0,,85000.0,,,,8634.0,,,,10000.0,,,10257.0,-11095.0,,,2969.0,838.0,,,,,,0.0,8000000.0,0.0,0.0,,100.0,,,,,,,,,,9772.0,,69500.0,,-73028.0,,17260.0,,,-13173.0,,,,,,,,,,,5740000.0
