end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccountsReceivableNetCurrent,AccretionExpense,AccruedLiabilitiesCurrent,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentForAmortization,AmortizationOfAcquisitionCosts,AmortizationOfIntangibleAssets,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CurrentIncomeTaxExpenseBenefit,DepreciationAndAmortization,DepreciationDepletionAndAmortization,DilutiveSecurities,DueFromRelatedParties,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,FiniteLivedIntangibleAssetsNet,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccountsPayableTrade,IncreaseDecreaseInAccruedLiabilities,LegalFees,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansPayableCurrent,LongTermNotesPayable,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,OperatingExpenses,OperatingIncomeLoss,OtherCostAndExpenseOperating,OtherDepreciationAndAmortization,OtherGeneralExpense,OtherNonrecurringIncomeExpense,PaymentsForSoftware,PaymentsToAcquireOtherProductiveAssets,PaymentsToAcquirePropertyPlantAndEquipment,ProceedsFromContributionsFromAffiliates,ProceedsFromIssuanceOfCommonStock,ProceedsFromRelatedPartyDebt,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentGross,RepaymentOfNotesReceivableFromRelatedParties,RetainedEarningsAccumulatedDeficit,Revenues,SalesRevenueServicesNet,ShortTermBorrowings,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,Cash,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,IncomeTaxExpenseBenefit,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,InterestPaidNet,NotesPayableRelatedPartiesCurrentAndNoncurrent,OperatingLossCarryforwards,OtherGeneralAndAdministrativeExpense,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber
2016-07-31,2016-12-15,10-Q,"ARMA SERVICES, INC.",ARMV,CIK0001625285,USD,,,,,,,,,,637.0,637.0,637.0,,0.001,75000000.0,4000000.0,4000000.0,4000.0,0.0,,,,,,0.0,,,,,,,,,5992.0,637.0,,,5992.0,,,,-42.0,42.0,-42.0,0.0,,,42.0,,,,,,,,,,,-9355.0,0.0,0.0,,,-5355.0,4000000.0,,4000000.0,,,,,,,,,,,,,,,
2016-10-31,2017-02-24,10-K,"ARMA SERVICES, INC.",ARMV,CIK0001625285,USD,,,,6931.0,,3780.0,,,,4295.0,4295.0,4295.0,4292.0,0.001,75000000.0,4420000.0,4420000.0,4420.0,0.0,,,,,,0.0,,,,,,,6931.0,12255.0,12923.0,4295.0,,,5992.0,4200.0,0.0,92.0,-6839.0,12439.0,-6839.0,0.0,,184.0,184.0,,0.0,,,4200.0,,,6839.0,,0.0,-16828.0,0.0,5600.0,,,-8628.0,4001148.0,,4001148.0,,,,,,,,,,,,,,,
2017-01-31,2017-04-24,10-Q,"ARMA SERVICES, INC.",ARMV,CIK0001625285,USD,,,,,,20160.0,0.0,0.0,,14978.0,14978.0,,10683.0,0.001,75000000.0,6240000.0,6240000.0,6240.0,0.0,,,,,,0.0,,,,,,,-6931.0,569.0,5992.0,14978.0,,,5992.0,18200.0,0.0,-7517.0,-586.0,586.0,-586.0,0.0,,,17.0,,0.0,,,18200.0,,,-586.0,,0.0,-17414.0,0.0,,,,8986.0,,,5090850.0,,,,,,,,,,,,,,,
2017-04-30,2017-06-08,10-Q,"ARMA SERVICES, INC.",ARMV,CIK0001625285,USD,,,,,,20160.0,,,,8971.0,8971.0,8971.0,,0.001,75000000.0,6240000.0,6240000.0,6240.0,0.0,,,,,,0.0,,,,,,,,15890.0,5992.0,8971.0,,,5992.0,,,,-6007.0,15907.0,-6007.0,0.0,0.0,,17.0,,,,,,,,,,,-23421.0,9900.0,9900.0,,,2979.0,,,5090850.0,,,,,,,,,,,,,,,
2017-07-31,2017-09-15,10-Q,"ARMA SERVICES, INC.",ARMV,CIK0001625285,USD,,,,,,20160.0,,,0.0,1732.0,1732.0,1732.0,,0.001,75000000.0,6240000.0,6240000.0,6240.0,0.0,,,,,,6240000.0,,28.0,,,,,,7211.0,5992.0,1733.0,,,5992.0,,,,-7239.0,7239.0,-7239.0,0.0,,,28.0,,,,,,,,,,,-30660.0,0.0,0.0,,,-4260.0,,,6240000.0,,,,,,,,,,,,,,,
2017-10-31,2018-08-09,10-K,"ARMA SERVICES, INC.",ARMV,CIK0001625285,USD,5000.0,0.0,-6931.0,0.0,20160.0,20160.0,,,,5201.0,201.0,201.0,-4094.0,0.001,75000000.0,6240000.0,6240000.0,6240.0,0.0,25170.0,0.0,,201.0,,0.0,5000.0,,-15363.0,5000.0,0.0,5000.0,-6931.0,0.0,10992.0,5201.0,10992.0,5992.0,5992.0,18200.0,-5000.0,-17294.0,-15363.0,25263.0,-15363.0,93.0,,93.0,,-5000.0,0.0,5000.0,,18200.0,0.0,25263.0,-15363.0,5000.0,0.0,-32191.0,9900.0,9900.0,5992.0,-5791.0,-5791.0,,6131397.0,6131397.0,,,,,,,,,,,,,,,
2018-01-31,2018-12-10,10-Q,"ARMA SERVICES, INC.",ARMV,CIK0001625285,USD,5000.0,,0.0,,,20160.0,250.0,250.0,,4893.0,143.0,,-116.0,0.001,75000000.0,6240000.0,6240000.0,6240.0,0.0,,250.0,,,,0.0,,,-1030.0,,,0.0,0.0,0.0,10992.0,4893.0,,,5992.0,0.0,0.0,-116.0,-1338.0,308.0,-1338.0,0.0,,,58.0,,0.0,,,0.0,0.0,1030.0,-616.0,4750.0,0.0,-32499.0,0.0,,,,-6099.0,,6240000.0,6240000.0,,,,,,,,,,,,,,,
2018-04-30,2018-12-10,10-Q,"ARMA SERVICES, INC.",ARMV,CIK0001625285,USD,5000.0,,1650.0,1650.0,20160.0,20160.0,,,,-13.0,101.0,101.0,-272.0,0.001,75000000.0,6240000.0,6240000.0,6240.0,0.0,,1250.0,,,,0.0,,,-6522.0,,,0.0,,0.0,10992.0,-13.0,15993.0,5992.0,,3350.0,,-3622.0,-6522.0,292.0,-6522.0,0.0,250.0,,42.0,,,,,3350.0,3350.0,6522.0,-6522.0,4500.0,,-42406.0,0.0,,9343.0,-16006.0,-6391.0,,12480000.0,6240000.0,,,,,,,,,,,,,,,
2018-07-31,2018-12-10,10-Q,"ARMA SERVICES, INC.",ARMV,CIK0001625285,USD,5000.0,,,1650.0,,20160.0,,,,4279.0,29.0,20.0,,0.001,75000000.0,6240000.0,6240000.0,6240.0,,,,,,,,,,,,,,,,15992.0,4279.0,,9342.0,,,,,,,,,,,,,,,,,,,,4250.0,,-38113.0,,,,,-11713.0,,,,,,,,,,,,,,,,,,
2018-10-31,2020-08-18,10-K,"ARMA SERVICES, INC.",ARMV,CIK0001625285,USD,5000.0,0.0,1650.0,1650.0,20160.0,,,,,0.0,0.0,0.0,-214.0,0.001,75000000.0,,,6240.0,,5000.0,5000.0,0.0,0.0,,0.0,0.0,,-10228.0,,0.0,0.0,,30.0,,0.0,15993.0,,,3350.0,0.0,-3578.0,-10228.0,,-10228.0,198.0,,,,,,0.0,,0.0,3350.0,5000.0,-10228.0,,,-42419.0,0.0,,9356.0,-16019.0,,,6240000.0,,,,,,,,,,,,,,,,
