end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsPayableRelatedPartiesCurrent,AccretionAmortizationOfDiscountsAndPremiumsInvestments,AccretionExpense,AccruedLiabilitiesCurrent,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentsToAdditionalPaidInCapitalWarrantIssued,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscribedButUnissued,CommonStockSharesSubscriptions,CommonStockValue,ConversionOfStockSharesConverted1,ConversionOfStockSharesIssued1,ConvertibleDebtCurrent,ConvertibleNotesPayableCurrent,CostsIncurredDevelopmentCosts,CurrentIncomeTaxExpenseBenefit,DebtInstrumentCarryingAmount,DebtInstrumentFaceAmount,DebtInstrumentIncreaseDecreaseForPeriodNet,DebtInstrumentInterestRateStatedPercentage,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DueFromRelatedPartiesCurrent,DueToOfficersOrStockholdersCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectOfExchangeRateOnCashAndCashEquivalents,EffectOfExchangeRateOnCashContinuingOperations,EquityIssuancePerShareAmount,ForeignCurrencyTransactionGainLossBeforeTax,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationDeductions,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncomeTaxReconciliationStateAndLocalIncomeTaxes,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInOperatingCapital,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestExpenseDebt,InterestPayableCurrent,InterestPayableCurrentAndNoncurrent,LaborAndRelatedExpense,LegalFees,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LicenseCosts,LoansPayable,LoansPayableCurrent,LongTermDebt,LongTermLoansPayable,MarketingAndAdvertisingExpense,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NotesPayableRelatedPartiesClassifiedCurrent,OperatingExpenses,OperatingLossCarryforwards,OperatingLossCarryforwardsValuationAllowance,OtherAssetsCurrent,PaymentsForProceedsFromOtherLoansAndLeases,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseAndOtherAssets,PrepaidExpenseCurrent,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromLoans,ProceedsFromNotesPayable,ProceedsFromPrincipalRepaymentsOnLoansAndLeasesHeldForInvestment,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProceedsFromShortTermDebt,ProfessionalFees,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,RepaymentsOfDebt,RepaymentsOfRelatedPartyDebt,ResearchAndDevelopmentExpense,RetainedEarningsAccumulatedDeficit,ShareBasedCompensation,SharePrice,StockholdersEquity,StockholdersEquityNoteStockSplitConversionRatio1,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueConversionOfUnits,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockRepurchasedAndRetiredDuringPeriodValue,SubscriptionRevenue,TemporaryEquityShareSubscriptions,TemporaryEquitySharesIssued,TreasuryStockCommonShares,TreasuryStockCommonValue,TreasuryStockRetiredCostMethodAmount,TreasuryStockValueAcquiredParValueMethod,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberDilutedSharesOutstandingAdjustment,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WriteOffOfDeferredDebtIssuanceCost
2013-10-31,2013-11-22,10-Q,"BLGI, INC.",BLGI,CIK0001575345,USD,,,,,,,,45300.0,,41139.0,41139.0,41139.0,,0.0001,250000000.0,12000000.0,12000000.0,,,1200.0,,,,,,,,,,,,,,,,0.0,,,,,,0.0125,,,,-2423.0,,,,,,,,,,,,,,,,41139.0,,,,,,,,,,,,,,-2423.0,,2423.0,,,,,,,,,,,,,,37500.0,,,,,,,,2423.0,,,,,,-5361.0,,,41139.0,,3000000.0,,,,,,,,,,,,,,,,,120000000.0,
2014-01-31,2014-03-03,10-Q,"BLGI, INC.",BLGI,CIK0001575345,USD,,,,,,,,45300.0,,16819.0,16819.0,16819.0,,0.0001,250000000.0,12000000.0,12000000.0,,,1200.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,186.0,-24320.0,,,,,,,,,,,,,,,,16819.0,,,,,,,,,,,,,,-24320.0,,24320.0,,,,,,,,,,,,,,,,,,,,,,24134.0,,,,,,-29681.0,,,16819.0,,,,,,,,,,,,,,,,,,,120000000.0,
2014-04-30,2014-07-29,10-K,"BLGI, INC.",BLGI,CIK0001575345,USD,,,,,,,34500.0,45300.0,,,,0.0,-8908.0,0.0001,240000000.0,120000000.0,120000000.0,,,12000.0,,,,,,-16243.0,,,,,,,,,,0.0,,0.35,,,,0.0125,,,198.0,-46408.0,-16243.0,,15300.0,2300.0,,,,,,,,,,,,,,,,,,,,37500.0,37500.0,,,-46408.0,-46408.0,-46408.0,,46408.0,16275.0,16275.0,,,,0.0001,10000000.0,0.0,0.0,,,,,37500.0,,,,,,,,46210.0,,,,,,-46500.0,,,,,3000000.0,,,37500.0,,37500.0,,,,,,,,,,,,107178082.0,
2014-07-31,2014-09-15,10-Q,"BLGI, INC.",BLGI,CIK0001575345,USD,4500.0,,,,,,45899.0,,,,,,,0.0001,240000000.0,6000000.0,12000000.0,,,600.0,,,,,,2300.0,,,,,,,,1053.0,,0.0,,,,,,,,,,-5553.0,-2300.0,,2000.0,300.0,4500.0,4500.0,,,,,,,,,5553.0,,,,,,,,,1053.0,1053.0,,,-1053.0,-1053.0,-5553.0,,5553.0,,,,,,0.0001,10000000.0,10000.0,10000.0,1.0,,,,,,,,1053.0,,,,5553.0,,,,,,-52053.0,,,-5553.0,,,,,,,,,,,,,,,,,,,78260870.0,
2014-10-31,2014-12-15,10-Q,"BLGI, INC.",BLGI,CIK0001575345,USD,3993.0,,,,,,38500.0,,,169.0,169.0,169.0,,0.0001,240000000.0,,80000000.0,,,8000.0,,,,,,,,,,,,,,5253.0,,0.0,,,,,,,,,3577.0,-3524.0,,,,,,,,,,,,,,,9246.0,169.0,,,,,,,,,,,,,,-3524.0,,3524.0,,,,,,,,,,,,,,,,,,,,,,-53.0,,,,,,-55577.0,,,-9077.0,,,,,,,,,,,,,,,,,,,66956522.0,
2015-01-31,2015-03-25,10-Q,"BLGI, INC.",BLGI,CIK0001575345,USD,16803.0,,,,,,38500.0,,,212.0,212.0,212.0,,0.0001,240000000.0,80000000.0,80000000.0,,,8000.0,,,,,,,,,,,,,,13972.0,,0.0,,,,,,,,,13985.0,-21485.0,,,,,,,,,,,,,,,30775.0,212.0,,,,,,,,,,,,,,-21485.0,,21485.0,,,,,,,,,,,,,,,,,,,,,,7500.0,,,,,,-77063.0,,,-30563.0,,,,,,,,,,,,,,,,,,,80000000.0,
2015-04-30,2015-08-07,10-K,"BLGI, INC.",BLGI,CIK0001575345,USD,14827.0,,,,,,38500.0,38500.0,,106.0,,106.0,106.0,0.0001,240000000.0,80000000.0,80000000.0,,,8000.0,,,,,,-12157.0,,,,,28432.0,28432.0,,18462.0,18462.0,0.0,,0.35,,,,,,,12065.0,,12157.0,,,,,14827.0,,,,,,,,,34839.0,106.0,34839.0,,,1550.0,,,,,20012.0,,,,-19906.0,-34733.0,,,28432.0,28432.0,,,,0.0001,10000000.0,0.0,0.0,,,,,,18462.0,,,1550.0,,,1550.0,22668.0,,,,,,-81233.0,,,-34733.0,,,,,,,,,,,,,,,,,,,76219178.0,
2015-07-31,2015-09-17,10-Q,"BLGI, INC.",BLGI,CIK0001575345,USD,23219.0,,,,,,38500.0,,,42.0,,42.0,-64.0,0.0001,240000000.0,80000000.0,80000000.0,,,8000.0,,,,,,,,,,,,,,,23022.0,0.0,,,,,,,,,764.0,,,,,,,8392.0,,,,,,,,,47791.0,42.0,,,,1550.0,,,,,4560.0,,,,-4624.0,-13016.0,,,,,,,,0.0001,10000000.0,0.0,0.0,,,,,,,,,4560.0,,,,12252.0,,,,,,-94249.0,,,-47749.0,,,,,,,,,,,,,,,,,,,80000000.0,
2015-10-31,2015-12-18,10-Q,"BLGI, INC.",BLGI,CIK0001575345,USD,28714.0,,,,,,,38500.0,,10.0,,10.0,,0.0001,240000000.0,80000000.0,80000000.0,,,8000.0,,,,,,,,,,,,,,23846.0,,0.0,,,,,,,,,2441.0,,,,,,,,,,,,,,,,,10.0,54110.0,,,1550.0,,,,,,,,,,-6351.0,,,,,,,,0.0001,10000000.0,,,,,,,,,,,,,,,3910.0,,,,,,-100600.0,,,-54100.0,,,,,,,,,,,,,,,,,,,80000000.0,
2016-01-31,2016-03-16,10-Q,"BLGI, INC.",BLGI,CIK0001575345,USD,31594.0,,,,,,,38500.0,,1086.0,,15.0,,0.0001,240000000.0,80000000.0,80000000.0,,,8000.0,,,,,,,,,,,,,,23236.0,,0.0,,,,,,,,,6145.0,,,,,,,,,,,,,,,,,1086.0,64948.0,,,10118.0,,,,,,,,,,-9762.0,,,,,,,,0.0001,10000000.0,,,,,1071.0,,,,,,,,,,3617.0,,,,,,-110362.0,,,-63862.0,,,,,,,,,,,,,,,,,,,80000000.0,
