end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsPayableRelatedPartiesCurrent,AccretionAmortizationOfDiscountsAndPremiumsInvestments,AccretionExpense,AccruedLiabilitiesCurrent,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentsToAdditionalPaidInCapitalWarrantIssued,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscribedButUnissued,CommonStockSharesSubscriptions,CommonStockValue,ConversionOfStockSharesConverted1,ConversionOfStockSharesIssued1,ConvertibleDebtCurrent,ConvertibleNotesPayableCurrent,CostsIncurredDevelopmentCosts,CurrentIncomeTaxExpenseBenefit,DebtInstrumentCarryingAmount,DebtInstrumentFaceAmount,DebtInstrumentIncreaseDecreaseForPeriodNet,DebtInstrumentInterestRateStatedPercentage,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DueFromRelatedPartiesCurrent,DueToOfficersOrStockholdersCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectOfExchangeRateOnCashAndCashEquivalents,EffectOfExchangeRateOnCashContinuingOperations,EquityIssuancePerShareAmount,ForeignCurrencyTransactionGainLossBeforeTax,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationDeductions,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncomeTaxReconciliationStateAndLocalIncomeTaxes,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInOperatingCapital,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestExpenseDebt,InterestPayableCurrent,InterestPayableCurrentAndNoncurrent,LaborAndRelatedExpense,LegalFees,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LicenseCosts,LoansPayable,LoansPayableCurrent,LongTermDebt,LongTermLoansPayable,MarketingAndAdvertisingExpense,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NotesPayableRelatedPartiesClassifiedCurrent,OperatingExpenses,OperatingLossCarryforwards,OperatingLossCarryforwardsValuationAllowance,OtherAssetsCurrent,PaymentsForProceedsFromOtherLoansAndLeases,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseAndOtherAssets,PrepaidExpenseCurrent,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromLoans,ProceedsFromNotesPayable,ProceedsFromPrincipalRepaymentsOnLoansAndLeasesHeldForInvestment,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProceedsFromShortTermDebt,ProfessionalFees,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,RepaymentsOfDebt,RepaymentsOfRelatedPartyDebt,ResearchAndDevelopmentExpense,RetainedEarningsAccumulatedDeficit,ShareBasedCompensation,SharePrice,StockholdersEquity,StockholdersEquityNoteStockSplitConversionRatio1,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueConversionOfUnits,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockRepurchasedAndRetiredDuringPeriodValue,SubscriptionRevenue,TemporaryEquityShareSubscriptions,TemporaryEquitySharesIssued,TreasuryStockCommonShares,TreasuryStockCommonValue,TreasuryStockRetiredCostMethodAmount,TreasuryStockValueAcquiredParValueMethod,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberDilutedSharesOutstandingAdjustment,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WriteOffOfDeferredDebtIssuanceCost
2016-04-30,2017-06-07,10-K,"BLGI, INC.",BLGI,CIK0001575345,USD,39754.0,,,,,,,38500.0,,,,,-106.0,0.0001,240000000.0,80000000.0,80000000.0,,,8000.0,,,,,,-13780.0,,,,,42211.0,42211.0,,23236.0,,0.0,,0.35,0.35,,,,,,10443.0,,13780.0,,,,,24927.0,74103.0,,,,,,,,74103.0,,74103.0,,,11113.0,,,,,14337.0,,,,-14443.0,-39370.0,,,120603.0,,,,,0.0001,10000000.0,,,,,,,,9563.0,,9563.0,4774.0,,4774.0,,28927.0,,,,,,-120603.0,,,-74103.0,,,,,,,,,,,,,,,,,,,80000000.0,
2016-07-31,2017-06-16,10-Q,"BLGI, INC.",BLGI,CIK0001575345,USD,39063.0,,,,,,,38500.0,,,,,,0.0001,240000000.0,80000000.0,80000000.0,,,8000.0,,,,,,,,,,,,,,23236.0,,0.0,,,,-1063.0,-1063.0,,,,-1063.0,,,,,,,,73040.0,,,,,,,,,,73040.0,,,10741.0,,,,,,,,,1063.0,1063.0,,,,,,,,0.0001,10000000.0,,,,,,,,,,,,,,,,,,,,,-119540.0,,,-73040.0,,,,,,,,,,,,,,,,,,,80000000.0,
2016-10-31,2017-06-16,10-Q,"BLGI, INC.",BLGI,CIK0001575345,USD,38612.0,,,,,,,44859.0,,160.0,,160.0,,0.0001,240000000.0,80000000.0,80000000.0,,,8000.0,,,,,,,,,,,,,,5874.0,,0.0,,,,,,,,,20308.0,,,,,,,,,,,,,,,,87149.0,160.0,54984.0,,32165.0,10498.0,,32165.0,,,,,,,,-20308.0,,,,,,,,0.0001,10000000.0,,,,,,,,,,,,,,,,,,,,,-139848.0,,,-86989.0,,,,,,,,,,,,,,,,,,,80000000.0,
2017-01-31,2017-06-16,10-Q,"BLGI, INC.",BLGI,CIK0001575345,USD,39215.0,,,,,,,74559.0,,102.0,,102.0,,0.0001,240000000.0,83000000.0,83000000.0,,,8300.0,,,,,,,,,,,,,,2978.0,,0.0,,,,,,,,,28851.0,,,,,,,,,,,,,,,,85942.0,102.0,52965.0,,32977.0,10772.0,,32977.0,,,,,,,,-28851.0,,28851.0,,,,,,0.0001,10000000.0,,,,,,,,,,,,,,,,,,,,,-168699.0,,,-85840.0,,,,,,,,,,,,,,,,,,,81728000.0,
2017-04-30,2017-08-14,10-K,"BLGI, INC.",BLGI,CIK0001575345,USD,37151.0,,,-2067.0,,,,74559.0,,3.0,3.0,3.0,3.0,0.0001,490000000.0,83000000.0,83000000.0,14000.0,1400000.0,8300.0,,,,,,-17215.0,,,,,42541.0,42541.0,,1872.0,,0.0,,0.21,0.35,,-2221.0,,,,56905.0,,17215.0,,,,,-1159.0,71936.0,,,,,,,,105721.0,3.0,71939.0,,33782.0,32916.0,,33782.0,,83290.0,83290.0,,,-81066.0,-81066.0,-81974.0,,81974.0,202577.0,,,,,0.0001,10000000.0,,,,,,,30000.0,,,60654.0,,,-21364.0,,25069.0,,,,,,-202577.0,,,-105718.0,,,,,,,30000.0,,-14000.0,14000.0,14000.0,,,,,,,,80789041.0,
2017-07-31,2017-09-19,10-Q,"BLGI, INC.",BLGI,CIK0001575345,USD,52678.0,,350000.0,-1021.0,,,,2637546.0,,601124.0,236534.0,5558.0,4055.0,0.0001,240000000.0,97900000.0,97900000.0,,,9790.0,,,,,2255187.0,,,,,,,,,29719.0,,-0.03,,,,,1500.0,,,,12369.0,,,,,,350000.0,14529.0,639778.0,1809.0,,,,,,,876312.0,601124.0,876312.0,,,82980.0,,34828.0,,404018.0,404018.0,-364590.0,-364590.0,-35373.0,-35373.0,-2719947.0,360935.0,2719947.0,,,,,364590.0,0.0001,10000000.0,,,,,230976.0,,,,,15236.0,360935.0,,27847.0,,27394.0,364590.0,364590.0,,,,-2922524.0,,,-275665.0,,,,,,650000.0,-1900000.0,,,,,,,,,,,,88502070.0,
2017-10-31,2017-12-20,10-Q,"BLGI, INC.",BLGI,CIK0001575345,USD,74648.0,,350000.0,,,,,2637546.0,,168236.0,,255.0,,0.0001,490000000.0,97900000.0,97900000.0,,,9790.0,,,,,93476.0,,,,,,,,,415012.0,,0.0,,,,,,,,,9823.0,,,,,,,,,,,,,,,,885438.0,168236.0,885438.0,,,45778.0,,35778.0,,,,,,,,-442014.0,,442014.0,,,,,,0.0001,10000000.0,,,,,167981.0,,,,,,,,,,62764.0,,,,,,-3364538.0,,,-717202.0,,,,,,,,,,,,,,,,,,,97900000.0,
2018-01-31,2018-03-26,10-Q,"BLGI, INC.",BLGI,CIK0001575345,USD,79184.0,,350000.0,,,,,9627699.0,,399748.0,,11556.0,,0.0001,490000000.0,161250000.0,158050000.0,,,15805.0,,,,12161.0,460.0,,,,,,,,,321217.0,295000.0,-0.05,,,,,,,,,49075.0,,,,,,,,,,4037.0,,,,,6600000.0,1094816.0,399748.0,1094816.0,6600000.0,,37254.0,,36754.0,78917.0,,,,,,,-7734866.0,,7718668.0,,,388192.0,,,0.0001,10000000.0,,,,,,,,,,,,,,,52525.0,,,,,,-11099404.0,,,-695068.0,,,,,,57000.0,,,,,760832.0,,,,,,,,154011413.0,
2018-04-30,2018-08-15,10-K,"BLGI, INC.",BLGI,CIK0001575345,USD,304737.0,259420.0,350000.0,-851.0,8781.0,34863.0,,5343588.0,604168.0,491813.0,,252.0,249.0,0.0001,490000000.0,166673296.0,113473296.0,,,11347.0,,,,44791.0,2349566.0,-1257543.0,,,,,1123864.0,1123864.0,327541.0,,,-0.05,110641291.0,0.21,0.21,,560.0,,,-744350.0,122390.0,,1081323.0,10500.0,,,,298836.0,-415940.0,84353.0,43228.0,,10454.0,0.0,,,907753.0,491813.0,907753.0,,,208225.0,,37725.0,105667.0,1363113.0,,,,-1363424.0,,-5988299.0,,5105930.0,5351735.0,1123864.0,164020.0,,,0.0001,10000000.0,0.0,0.0,,,,705000.0,,,,637526.0,350000.0,637526.0,-329413.0,,237597.0,,,0.0,0.0,,-6190876.0,,,-415940.0,,,,100832.0,,1376999.0,1900000.0,-6600000.0,,,420000.0,53200000.0,-1.0,1.0,1.0,,110641291.0,,124267460.0,50000.0
2018-07-31,2018-10-16,10-Q,"BLGI, INC.",BLGI,CIK0001575345,USD,312139.0,,350000.0,-851.0,,,,5826236.0,,286063.0,,41751.0,40976.0,0.0001,490000000.0,166073296.0,116073296.0,,,11607.0,,,,189968.0,,,,,,,,,169729.0,,,-0.01,,,,,523.0,,,-201500.0,123448.0,,,,,,,13902.0,630120.0,-89437.0,22102.0,,,0.0,,,916183.0,286063.0,916183.0,,,64076.0,,38576.0,26750.0,322289.0,,,,-281313.0,,-697088.0,,363401.0,,,74583.0,,,0.0001,10000000.0,,,,,,180000.0,,,,-15000.0,,-15000.0,157289.0,,106470.0,,,,,,-6887964.0,,,-630120.0,,,,,,,,,,,420000.0,50000000.0,-1.0,,,,,,115395035.0,
2018-10-31,2020-06-29,10-Q,"BLGI, INC.",BLGI,CIK0001575345,USD,321222.0,,350000.0,,,,,7696236.0,,23563.0,,,,0.0001,490000000.0,166073296.0,166073296.0,,,16608.0,,,,529792.0,,,,,,,,,,,,-0.02,,,,,,,,,,,,,,,,,,,11861.0,,,0.0,1875000.0,,1265090.0,23563.0,,,,64076.0,,38576.0,26750.0,,,,,,,-2486407.0,,1795168.0,,,23563.0,,,0.0001,10000000.0,0.0,0.0,,,,,,,,,,,,,21364.0,,,,,,-9374371.0,1875000.0,,-1241527.0,,,,,,,,,,,420000.0,53200000.0,,,,,,,116616774.0,
2019-01-31,2020-06-29,10-Q,"BLGI, INC.",BLGI,CIK0001575345,USD,404864.0,,350000.0,,,,,7696236.0,,3230.0,,,,0.0001,490000000.0,166073296.0,166073296.0,,,16608.0,,,,1368423.0,,,,,,,,,,,,-0.01,,,,,,,,,753.0,,,,,,,,,,397059.0,,,,,,2187363.0,3230.0,,,,64076.0,,38576.0,17833.0,,,,,,,-942606.0,,22706.0,,,3230.0,,,0.0001,10000000.0,0.0,0.0,,,,,,,,,,,,,4120.0,,,,,,-10316977.0,,,-2184133.0,,,,,,,,,,,420000.0,53200000.0,,,,,,,166073296.0,
2019-04-30,2020-06-30,10-K,"BLGI, INC.",BLGI,CIK0001575345,USD,348195.0,345181.0,350000.0,851.0,307009.0,3014.0,,7696236.0,,3230.0,,,-252.0,0.0001,490000000.0,166073296.0,166073296.0,,,16608.0,,,,1593843.0,,,,94737.0,,0.3,1779191.0,,,,,-0.02,,,0.21,,1586.0,,,-201500.0,28602.0,,655326.0,,,,,61917.0,,-160790.0,539208.0,,225420.0,17294.0,1875000.0,,2356114.0,3230.0,,,,64076.0,410527.0,38576.0,71333.0,151401.0,,,,-153239.0,,-4294852.0,,2241840.0,8472337.0,1779191.0,3230.0,,,0.0001,10000000.0,0.0,0.0,,,,180000.0,,,,,,-15000.0,-13599.0,,158772.0,,,,0.0,,-10485728.0,1875000.0,,-2352884.0,,,,,,,,,,,,53200000.0,,,,,344082359.0,,194033844.0,
2019-07-31,2020-06-29,10-Q,"BLGI, INC.",BLGI,CIK0001575345,USD,693280.0,345929.0,350000.0,,,6044.0,,7696236.0,,3230.0,,,,0.0001,490000000.0,166073296.0,166073296.0,,,16608.0,,,,1368423.0,,,,,,,,,,,,0.0,,,,,,,,,748.0,,,,,,,3778.0,,,116517.0,,341307.0,,,,2475779.0,3230.0,,,,64076.0,,38576.0,,,,,,,,-119665.0,,3148.0,,,3230.0,,,0.0001,10000000.0,0.0,0.0,,,,,,,,,,,,,2400.0,,,,0.0,,-10605393.0,,,-2472549.0,,,,,,,,,,,,53200000.0,,,,,899864545.0,,166073296.0,
2019-10-31,2020-06-29,10-Q,"BLGI, INC.",BLGI,CIK0001575345,USD,791975.0,323460.0,350000.0,,,6674.0,,7696236.0,,3230.0,,,,0.0001,490000000.0,166073296.0,166073296.0,,,16608.0,,,,1368423.0,,,,63158.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,121164.0,,461841.0,,,,2598448.0,3230.0,,,,88050.0,,38576.0,,,,,,,,-122669.0,,1505.0,,,3230.0,,,0.0001,10000000.0,0.0,0.0,,,,,,,,,,,,,,,,,,,-10728062.0,,,-2595218.0,,,,,,,,,,,,,,,,,,,166073296.0,
2020-01-31,2020-06-29,10-Q,"BLGI, INC.",BLGI,CIK0001575345,USD,925170.0,323500.0,350000.0,,,14632.0,,7696236.0,,3230.0,,,,0.0001,490000000.0,166073296.0,166073296.0,,,16608.0,,,,1368423.0,,,,63158.0,,,,,,,,-0.02,,,,,,,,,1036.0,,,,,,,,,,125827.0,,587038.0,,,,2732639.0,3230.0,,,,89046.0,,38576.0,,,,,,,,-134191.0,,8364.0,,,3230.0,,,0.0001,10000000.0,0.0,0.0,,,,,,,,,,,,,7328.0,,,,,,-10862253.0,,,-2729409.0,,,,,,,,,,,,53200000.0,,,,,,,8303665.0,
2020-04-30,2020-07-30,10-K,"BLGI, INC.",BLGI,CIK0001575345,USD,380150.0,295273.0,350000.0,,,84877.0,7756351.0,7740573.0,,5331.0,,,,0.0001,200000000.0,8303665.0,8303665.0,,,830.0,,,2091477.0,2091477.0,,,,63158.0,,,1902786.0,,,,,0.0,,,0.21,,,,3095.0,,4146.0,,123595.0,,,,,76292.0,,2101.0,492134.0,,,3109.0,,,2910443.0,5331.0,,,,88816.0,,38576.0,,24740.0,,,,-24740.0,,-596565.0,,96411.0,9060882.0,1902786.0,5331.0,,,0.0001,10000000.0,0.0,0.0,,5331.0,,,,,,,,24740.0,,,95360.0,,,,0.0,,-11082293.0,,,-2905112.0,,,,,,,,,,,,53200000.0,,,,,899864545.0,44993227.0,166073296.0,
2020-07-31,2020-09-14,10-Q,"BLGI, INC.",BLGI,CIK0001575345,USD,485575.0,398251.0,350000.0,,6365.0,87324.0,,8888204.0,,4925.0,,,,0.0001,490000000.0,400283740.0,400283740.0,,,40029.0,,,,2233658.0,,,,63158.0,14385.0,,,,,,,-0.01,,,,,,,-1005.0,,7327.0,,,,,,,105425.0,,-406.0,136446.0,,,2442.0,,,3215593.0,4925.0,,,,146360.0,,38576.0,,57544.0,,,,-57544.0,,-1551106.0,,1408295.0,,,4925.0,,,0.0001,10000000.0,0.0,0.0,,,,,,,,57544.0,,,,,154413.0,,,,,,-12633399.0,,,-3210668.0,,,,,,,1245550.0,,,,,53200000.0,,,,,1037389680.0,,191530953.0,
