end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableAndOtherAccruedLiabilities,AccountsPayableRelatedPartiesCurrent,AccountsPayableTradeCurrent,AccruedLiabilitiesCurrent,AccruedSalariesCurrent,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalOther,Assets,AssetsCurrent,CapitalUnitsAuthorized,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CashPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConvertibleNotesPayable,ConvertibleNotesPayableCurrent,CostsAndExpenses,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DueFromRelatedPartiesCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EquityMethodInvestmentOwnershipPercentage,GeneralAndAdministrativeExpense,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,InterestExpense,InterestPayableCurrent,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,OperatingExpenses,OperatingLossCarryforwards,OtherExpenses,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,ProceedsFromConvertibleDebt,ProceedsFromRelatedPartyDebt,RelatedPartyTransactionDueFromToRelatedParty,ReorganizationValue,RetainedEarningsAccumulatedDeficit,Revenues,StockholdersEquity,StockIssued1,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueConversionOfUnits,StockIssuedDuringPeriodValueNewIssues,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WorkersCompensationLiabilityCurrent
2017-09-30,2017-10-13,10-Q,"Ecomax,     Inc.",EMAX,CIK0001008653,USD,,,,850.0,,15000.0,1177.0,,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,1684.0,12500.0,12500.0,29899.0,,,,8602.0,0.0,,29899.0,,31373.0,270.0,126.0,40040.0,0.0,40040.0,28499.0,0.0,-28499.0,-30169.0,,,270.0,,,,,25000.0,3499.0,,,-42901.0,0.0,-40040.0,,,,,,16836750.0,
2017-12-31,2018-02-05,10-Q,"Ecomax,     Inc.",EMAX,CIK0001008653,USD,,30000.0,,950.0,,,1177.0,,0.0,0.0,,0.0,,,,,,,,,,1684.0,,25000.0,29550.0,,,,10552.0,0.0,,29550.0,,,153.0,95.0,69743.0,0.0,69743.0,,,,-29703.0,,,153.0,,,,,,,3146.0,,-72604.0,0.0,-69743.0,,,,,,16836750.0,
2018-03-31,2018-05-09,10-Q,"Ecomax,     Inc.",EMAX,CIK0001008653,USD,,,,950.0,,,1177.0,,0.0,0.0,,0.0,0.0,,,,,,,,,1684.0,,37500.0,28450.0,,,,,0.0,,28450.0,,,316.0,,98509.0,0.0,98509.0,,,,-28766.0,,,316.0,,,,,,,,,-101370.0,0.0,-98509.0,,,,,,16836750.0,
2018-06-30,2018-09-26,10-K,"Ecomax,     Inc.",EMAX,CIK0001008653,USD,309.0,,3617.0,0.0,,60000.0,3791.0,2614.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0001,74000000.0,16836750.0,16836750.0,1684.0,,50000.0,115448.0,46166.0,46166.0,12502.0,12502.0,-0.01,,115448.0,,61108.0,3723.0,3926.0,126428.0,0.0,126428.0,55499.0,0.0,-55449.0,-119171.0,115448.0,,3723.0,0.0001,1000000.0,,,50000.0,5449.0,,,-131903.0,0.0,-126428.0,,,,,,16836750.0,60000.0
2018-09-30,2018-10-30,10-Q,"Ecomax,     Inc.",EMAX,CIK0001008653,USD,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,0.0,,17500.0,,16296.0,1296.0,,,,,2500.0,0.0,-2500.0,-18796.0,17500.0,,,,,,,,2500.0,,,,,,,,,,,16836750.0,
2018-12-31,2019-01-29,10-Q,"Ecomax,     Inc.",EMAX,CIK0001008653,USD,,,,1000.0,,,3791.0,,0.0,0.0,,0.0,,,,,,,,,,1684.0,,125000.0,17730.0,,,,,0.0,,17730.0,,,2646.0,,165600.0,0.0,165600.0,,,,-20376.0,17730.0,,2646.0,,,,,,,,,-171075.0,0.0,-165600.0,,,,,,16836750.0,
2019-03-31,2019-05-02,10-Q,"Ecomax,     Inc.",EMAX,CIK0001008653,USD,,,,1050.0,,,3791.0,,0.0,0.0,,0.0,0.0,,,,,,,,,1684.0,,125000.0,16050.0,,,,,0.0,,16050.0,,,2784.0,,184434.0,0.0,184434.0,,,,-18834.0,16050.0,,2784.0,,,,,,,,,-189909.0,0.0,-184434.0,,,,,,16836750.0,
2019-06-30,2019-09-27,10-K,"Ecomax,     Inc.",EMAX,CIK0001008653,USD,,,,,,,3791.0,,0.0,,,,,,0.0,,,0.0001,74000000.0,16836750.0,16836750.0,1684.0,,125000.0,,48843.0,48843.0,,19831.0,0.0,,67330.0,,69543.0,9542.0,13469.0,,0.0,203300.0,7329.0,,-7329.0,-76872.0,67330.0,5900000.0,,0.0001,1000000.0,,,,7329.0,,,-208775.0,,-203300.0,,,,,,16836750.0,45000.0
2019-09-30,2019-11-05,10-Q,"Ecomax,     Inc.",EMAX,CIK0001008653,USD,,,,1125.0,,,3791.0,,0.0,,,,,,,,,0.0001,74000000.0,16836750.0,16836750.0,1684.0,,125000.0,,,,,23565.0,0.0,,19859.0,,19088.0,2963.0,16432.0,,0.0,226122.0,3734.0,,-3734.0,-22822.0,19859.0,,,0.0001,1000000.0,,,,3734.0,,,-231597.0,,-226122.0,,,,,,16836750.0,60000.0
2019-12-31,2020-01-23,10-Q,"Ecomax,     Inc.",EMAX,CIK0001008653,USD,,,,1125.0,,,58894.0,,0.0,,,,,,,,,0.0001,74000000.0,23811750.0,23811750.0,2381.0,,75000.0,,,,,25805.0,0.0,,17239.0,,,2549.0,13180.0,,0.0,190110.0,,,,-19788.0,17239.0,,,0.0001,1000000.0,,,,,,,-251385.0,,-190110.0,,,55800.0,,6975000.0,2002098.0,75000.0
