end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AdditionalPaidInCapital,BusinessAcquisitionPercentageOfVotingInterestsAcquired,Cash,CashEquivalentsAtCarryingValue,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,EarningsPerShareBasicAndDiluted,ExcessStockSharesAuthorized,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncreaseDecreaseInAccountsPayable,Liabilities,LoansPayable,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,NotesPayableRelatedPartiesClassifiedCurrent,NotesPayableRelatedPartiesCurrentAndNoncurrent,OperatingExpenses,OperatingIncomeLoss,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,ProceedsFromRelatedPartyDebt,ProfitLoss,RelatedPartyTransactionSellingGeneralAndAdministrativeExpensesFromTransactionsWithRelatedParty,RetainedEarningsAccumulatedDeficit,SaleOfStockConsiderationReceivedOnTransaction,ShareBasedCompensation,SharesIssuedPricePerShare,StockholdersEquity,StockIssuedDuringPeriodSharesNewIssues,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,DebtInstrumentDecreaseForgiveness,StockIssuedDuringPeriodValueIssuedForServices
2020-12-31,2021-04-06,10-K,"C2E ENERGY, INC.",OOGI,CIK0001160798,USD,,70558869.0,,0.0,0.0,0.0001,2000000000.0,1994657080.0,1994657080.0,199466.0,0.0,,5000.0,-5000.0,,5000.0,5000.0,5000.0,-5000.0,-5000.0,5000.0,5000.0,5000.0,5000.0,-5000.0,0.0001,20000000.0,0.0,0.0,,5000.0,-5000.0,5000.0,-70763335.0,,,,-5000.0,,1994657080.0,,
2021-03-31,2021-04-30,10-Q,"C2E ENERGY, INC.",OOGI,CIK0001160798,USD,6710.0,70558869.0,,,0.0,0.0001,2000000000.0,1994657080.0,1994657080.0,199466.0,0.0,,29745.0,-29745.0,6710.0,34745.0,,23035.0,-23035.0,-29745.0,,28035.0,28035.0,29745.0,-29745.0,0.0001,20000000.0,0.0,0.0,,23035.0,-29745.0,,-70793080.0,,,,-34745.0,,1994657080.0,,
2021-06-30,2021-08-06,10-Q,"C2E ENERGY, INC.",OOGI,CIK0001160798,USD,,70857492.0,,,0.0,0.0001,2000000000.0,1994657080.0,1994657080.0,199466.0,0.0,,,-330405.0,,65527.0,,,,-330405.0,,65527.0,65527.0,330405.0,-330405.0,0.0001,20000000.0,10000000.0,10000000.0,1000.0,,-330405.0,330405.0,-71123485.0,,,,-65527.0,,1994657080.0,,
2021-09-30,2021-11-05,10-Q,"C2E ENERGY, INC.",OOGI,CIK0001160798,USD,140527.0,70857492.0,,,0.0,0.0001,2000000000.0,1994657080.0,1994657080.0,199466.0,0.0,,,-100035.0,,165562.0,,,,-100035.0,,25035.0,25035.0,100035.0,-100035.0,0.0001,20000000.0,10000000.0,10000000.0,1000.0,,-100035.0,100035.0,-71223520.0,,,,-165562.0,,1994657080.0,,
