end,filed,form,Name,Ticker,CIK,Currency,AccruedIncomeTaxesCurrent,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,InterestExpenseDebt,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,ReceivableFromShareholdersOrAffiliatesForIssuanceOfCapitalStock,StockIssuedDuringPeriodSharesNewIssues,AccountsPayableCurrent,AccountsReceivableNetCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivableCurrent,AmortizationOfFinancingCosts,AmortizationOfIntangibleAssets,AssetImpairmentCharges,AssetRetirementObligationsNoncurrent,Assets,AssetsCurrent,CapitalExpendituresIncurredButNotYetPaid,CashAndCashEquivalentsAtCarryingValue,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CommonStockDividendsPerShareDeclared,ContractWithCustomerLiabilityNoncurrent,CostDepreciationAmortizationAndDepletion,CostOfRevenue,CurrentFederalStateAndLocalTaxExpenseBenefit,CurrentStateAndLocalTaxExpenseBenefit,DeferredFederalIncomeTaxExpenseBenefit,DeferredFederalStateAndLocalTaxExpenseBenefit,DeferredIncomeTaxAssetsNet,DeferredIncomeTaxExpenseBenefit,DeferredIncomeTaxLiabilitiesNet,DeferredStateAndLocalIncomeTaxExpenseBenefit,DeferredTaxAssetsGross,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DeferredTaxLiabilitiesInvestments,DefinedContributionPlanEmployerMatchingContributionPercent,Depreciation,DirectOperatingCosts,DistributionMadeToLimitedPartnerCashDistributionsPaid,Dividends,DividendsCommonStockCash,DueFromAffiliateCurrent,DueToAffiliateCurrentAndNoncurrent,EarningsPerShareBasic,EarningsPerShareDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationMinorityInterestIncomeExpense,EffectiveIncomeTaxRateReconciliationOtherReconcilingItemsPercent,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,EffectiveIncomeTaxRateReconciliationTaxExemptIncome,EmployeeBenefitsAndShareBasedCompensationNoncash,EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedShareBasedAwardsOtherThanOptions,FiniteLivedIntangibleAssetsAccumulatedAmortization,FiniteLivedIntangibleAssetsAmortizationExpenseAfterYearFive,FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths,FiniteLivedIntangibleAssetsAmortizationExpenseYearFive,FiniteLivedIntangibleAssetsAmortizationExpenseYearFour,FiniteLivedIntangibleAssetsAmortizationExpenseYearThree,FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo,FiniteLivedIntangibleAssetsGross,FiniteLivedIntangibleAssetsNet,GainLossOnDispositionOfAssets1,GeneralAndAdministrativeExpense,Goodwill,GoodwillAcquiredDuringPeriod,GoodwillImpairmentLoss,GoodwillPurchaseAccountingAdjustments,ImpairmentOfIntangibleAssetsFinitelived,IncomeLossAttributableToNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncomeTaxReconciliationMinorityInterestIncomeExpense,IncomeTaxReconciliationOtherAdjustments,IncomeTaxReconciliationStateAndLocalIncomeTaxes,IncomeTaxReconciliationTaxExemptIncome,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInContractWithCustomerLiability,IncreaseDecreaseInDueFromAffiliatesCurrent,IncreaseDecreaseInOtherReceivables,IntangibleAssetsNetExcludingGoodwill,InterestIncomeExpenseNet,InterestPaidNet,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LongTermDebtNoncurrent,MembersEquity,MinorityInterest,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,NumberOfOperatingSegments,OperatingExpenses,OperatingIncomeLoss,OtherAssetsNoncurrent,OtherCommitmentDueInFifthYear,OtherCommitmentDueInFourthYear,OtherCommitmentDueInNextTwelveMonths,OtherCommitmentDueInSecondYear,OtherCommitmentDueInThirdYear,OtherNonoperatingExpense,OtherNonoperatingIncomeExpense,OtherOperatingIncomeExpenseNet,OtherReceivablesNetCurrent,PaymentsForRepurchaseOfCommonStock,PaymentsForRepurchaseOfRedeemablePreferredStock,PaymentsOfStockIssuanceCosts,PaymentsToAcquireBusinessesGross,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockSharesIssued,PreferredStockSharesOutstanding,ProceedsFromIssuanceInitialPublicOffering,ProceedsFromIssuanceOfLongTermDebt,ProceedsFromLinesOfCredit,ProceedsFromSaleOfPropertyPlantAndEquipment,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,PropertyPlantAndEquipmentSalvageValue,ProvisionForDoubtfulAccounts,RepaymentsOfLinesOfCredit,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerExcludingAssessedTax,ShareBasedCompensation,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockholdersEquityNoteStockSplitConversionRatio1,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueShareBasedCompensation,TemporaryEquityCarryingAmountAttributableToParent,TemporaryEquitySharesIssued,TemporaryEquitySharesOutstanding,TemporaryEquityValueExcludingAdditionalPaidInCapital,TreasuryStockShares,TreasuryStockValue,TreasuryStockValueAcquiredCostMethod,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfSharesOutstandingBasic
2021-09-30,2021-11-10,10-Q,"Aris Water Solutions,Â Inc.",ARIS,CIK0001865187,USD/shares,0.0,0.01,1000.0,1000.0,1000.0,10.0,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,2022-03-01,10-K,"Aris Water Solutions,Â Inc.",ARIS,CIK0001865187,USD/shares,,,,,,,,0.01,50000000.0,,,7082000.0,41973000.0,67749000.0,212926000.0,200000.0,1873000.0,32600000.0,1600000.0,6158000.0,1126693000.0,132388000.0,5500000.0,60055000.0,60055000.0,35123000.0,0.07,1200000.0,60767000.0,151681000.0,-81000.0,-81000.0,323000.0,379000.0,19933000.0,379000.0,47228000.0,56000.0,67769000.0,19933000.0,67161000.0,67769000.0,608000.0,47228000.0,0.04,27900000.0,90914000.0,213186000.0,3847000.0,,20191000.0,1499000.0,0.1,0.1,-0.044,0.21,0.069,-0.003,-0.007,-0.325,1600000.0,17000000.0,60102000.0,126895000.0,36735000.0,31958000.0,35050000.0,36888000.0,37404000.0,365032000.0,304930000.0,-275000.0,27266000.0,34585000.0,,0.0,,0.0,4418000.0,-6711000.0,-6711000.0,298000.0,-1409000.0,-464000.0,21000.0,45000.0,2186000.0,-8271000.0,21456000.0,-139000.0,8653000.0,-364000.0,304930000.0,-25473000.0,18649000.0,524154000.0,1126693000.0,49045000.0,392051000.0,,389670000.0,50975000.0,-74664000.0,58812000.0,-5876000.0,4433000.0,1.0,58428000.0,19142000.0,1850000.0,2026000.0,2025000.0,2022000.0,2023000.0,2024000.0,380000.0,-25853000.0,-2657000.0,4126000.0,135000.0,74357000.0,2913000.0,,74664000.0,0.0,0.0,249355000.0,400000000.0,,,-7009000.0,700756000.0,633007000.0,300000.0,216000.0,297000000.0,-457000.0,229251000.0,1586000.0,212869000.0,602539000.0,1.0,-33255000.0,1586000.0,,0.0,0.0,10000000.0,10191.0,135000.0,135000.0,41777350.0,41777350.0
