end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsPayableInterestBearingCurrent,AccruedLiabilitiesAndOtherLiabilities,AccruedLiabilitiesCurrent,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,Assets,AssetsCurrent,CarryingCostsPropertyAndExplorationRights,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashPeriodIncreaseDecrease,CommitmentsAndContingencies,CommonStockParOrStatedValuePerShare,CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CostsAndExpenses,CurrentFederalTaxExpenseBenefit,CurrentIncomeTaxExpenseBenefit,DebtInstrumentDecreaseForgiveness,DebtInstrumentIncreaseAccruedInterest,DebtInstrumentInterestRateStatedPercentage,DeferredTaxAssetsGross,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DueFromRelatedParties,DueFromRelatedPartiesCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,GainsLossesOnExtinguishmentOfDebt,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeInterestExpenseInterestIncomeIncomeTaxesExtraordinaryItemsNoncontrollingInterestsNet,IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInOtherOperatingLiabilities,IncreaseDecreaseInPrepaidExpense,InterestAndDividendsPayableCurrent,InterestExpense,InterestExpenseDebt,InterestExpenseRelatedParty,InterestPaid,InterestPaidNet,InterestPayableCurrent,InterestPayableCurrentAndNoncurrent,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansPayable,LoansPayableCurrent,LongTermDebt,LongTermDebtCurrent,LongTermLoansPayable,LongTermNotesPayable,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NonoperatingIncomeExpense,OperatingCostsAndExpenses,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherAssetsCurrent,OtherGeneralExpense,OtherIncome,OtherLoansPayable,OtherNoncashIncomeExpense,OtherNonoperatingIncomeExpense,OtherNonrecurringIncomeExpense,OtherOperatingIncome,OtherOperatingIncomeExpenseNet,OtherPrepaidExpenseCurrent,PaymentOfFinancingAndStockIssuanceCosts,PaymentsForProceedsFromDepositOnLoan,PaymentsToAcquireMiningAssets,PrepaidExpenseCurrent,PrepaidInterest,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfDebt,ProceedsFromIssuanceOfLongTermDebt,ProceedsFromIssuanceOfMediumTermNotes,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromLoanOriginations1,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfLinesOfCredit,ProceedsFromRepaymentsOfNotesPayable,ProceedsFromRepaymentsOfRelatedPartyDebt,ProfitLoss,PropertyPlantAndEquipmentOther,ReceivableFromShareholdersOrAffiliatesForIssuanceOfCapitalStock,RepaymentOfNotesReceivableFromRelatedParties,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,Revenues,SellingGeneralAndAdministrativeExpense,ShortTermBankLoansAndNotesPayable,ShortTermBorrowings,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockholdersEquityNoteSubscriptionsReceivable,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueNewIssues,TradingSecuritiesDebt,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,GainLossOnDispositionOfAssets,NotesPayableRelatedPartiesClassifiedCurrent
2017-01-31,2017-03-15,10-Q,BOXXY INC.,BXXY,CIK0001680689,USD,,,,,1500.0,0.0,,,0.0,0.0,,0.0,,,,,0.001,,75000000.0,3000000.0,3000000.0,3000.0,4213.0,,,,,,,0.0,4178.0,4178.0,,,7789.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,9289.0,0.0,9289.0,,,,,,,,,,,,-4213.0,,4213.0,4213.0,-4213.0,12289.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12289.0,0.0,,,,-9289.0,,0.0,,,,,3000000.0,,,,
2017-04-30,2017-07-31,10-K,BOXXY INC.,BXXY,CIK0001680689,USD,,0.0,,,0.0,0.0,,,248.0,248.0,,88.0,88.0,,88.0,,0.001,0.0,75000000.0,4190000.0,4190000.0,0.0,,6042.0,,,,,,0.0,4401.0,9905.0,,,11519.0,0.0,,,,,,,0.0,,0.0,6042.0,0.0,0.0,,,,160.0,,,0.0,,,0.0,,,14519.0,248.0,14519.0,,,0.0,,,,13252.0,13152.0,,-13164.0,-13152.0,-13004.0,,13004.0,13004.0,-13004.0,17759.0,,,,,,,,,,,,,,160.0,,0.0,0.0,,,3000.0,,10152.0,,,10252.0,,,,,,-17771.0,0.0,,,,-14771.0,,0.0,3000.0,3000.0,,4401.0,3000000.0,,,,
2017-07-31,2017-09-19,10-Q,BOXXY INC.,BXXY,CIK0001680689,USD,,,,,1500.0,11400.0,,,15335.0,15335.0,,9273.0,,,9185.0,,0.001,,75000000.0,3600000.0,3600000.0,3600.0,,-1700.0,,,,,,0.0,4338.0,4338.0,,,11619.0,0.0,,,,,,,0.0,,0.0,,,-2000.0,0.0,,,5814.0,,0.0,,,,0.0,,,13119.0,15335.0,13119.0,,,,,,,12000.0,,,-2815.0,,4999.0,0.0,2054.0,2054.0,4999.0,12772.0,,,,,,,,,,,,,,5974.0,,12000.0,0.0,,,12000.0,,100.0,,,,,,,,,-12784.0,7053.0,,,,2216.0,,,,,,-1700.0,3397826.0,,,,
2017-10-31,2017-12-15,10-Q,BOXXY INC.,BXXY,CIK0001680689,USD,,,,,2229.0,22610.0,,,22970.0,22970.0,,11995.0,11996.0,,,,0.001,,4190000.0,4190000.0,4190000.0,4190.0,,,,,,,,0.0,5671.0,5671.0,,,10619.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,12848.0,22970.0,12848.0,,,,,,,,,,,,-3907.0,,3907.0,3907.0,-3907.0,16679.0,,,,,,,3907.0,,,,,,,10974.0,,,,,,,,,,,,,,,,,-16679.0,0.0,,,,10121.0,,,,,,,4040870.0,3397826.0,,,
2018-01-31,2018-03-19,10-Q,BOXXY INC.,BXXY,CIK0001680689,USD,,,,,2057.0,22610.0,,,18783.0,18783.0,,7809.0,7809.0,,,,0.001,,75000000.0,4190000.0,4190000.0,4190.0,,,0.0,,,,,0.0,994.0,994.0,,,10619.0,0.001,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,12676.0,18783.0,12676.0,,,,,,,,,,,,-4014.0,,19278.0,19278.0,-4014.0,20693.0,,,,,,,0.0,,,,,,,10974.0,,,,,,,,,,,,,,,,,-20693.0,15264.0,,,,6107.0,,,,,,,4190000.0,4190000.0,,,
2018-04-30,2018-08-13,10-K,BOXXY INC.,BXXY,CIK0001680689,USD,,504.0,,,13976.0,22610.0,22610.0,,12308.0,12308.0,,1494.0,1494.0,1406.0,1406.0,,0.001,,75000000.0,4190000.0,4190000.0,4190.0,,3863.0,,,,0.06,,0.0,9905.0,9905.0,,,10619.0,0.0,0.34,,,,,,0.0,,0.0,3863.0,504.0,10476.0,,,,-10654.0,0.0,,0.0,,,0.0,0.0,,31672.0,12308.0,25099.0,6573.0,,6573.0,,6573.0,10619.0,29473.0,,,-28067.0,,-28393.0,,50710.0,50710.0,-28393.0,36164.0,0.0,,,,,,,,,,,,,10814.0,,23800.0,6573.0,,,0.0,,,,,-900.0,,,0.0,,,-46164.0,22317.0,,6573.0,,-19364.0,-19364.0,0.0,,23800.0,,3863.0,3965632.0,,,,
2018-07-31,2018-09-14,10-Q,BOXXY INC.,BXXY,CIK0001680689,USD,,0.0,,,-1500.0,22610.0,,,11611.0,11611.0,,148.0,,-1346.0,-1346.0,,0.001,,75000000.0,4190000.0,4190000.0,4190.0,,726.0,,,,0.06,,0.0,10631.0,10631.0,,4136.0,10619.0,0.0,,,,-3458.0,,,0.0,,0.0,726.0,,-1500.0,126.0,,,650.0,126.0,126.0,126.0,,,0.0,126.0,,34434.0,11611.0,23725.0,,,10709.0,,,,4136.0,,,4136.0,,-3458.0,-126.0,3332.0,3332.0,-3458.0,49622.0,,3332.0,,,,,,,,-650.0,,,,11464.0,126.0,0.0,4136.0,,,,,,,,,3332.0,,,,,-49622.0,0.0,,,,-22822.0,,,,,,726.0,4190000.0,,,,
2018-10-31,2018-12-26,10-Q,BOXXY INC.,BXXY,CIK0001680689,USD,,0.0,,,-1500.0,,22610.0,,11464.0,11464.0,,,0.0,,,,0.001,,4190000.0,4190000.0,4190000.0,4190.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,323.0,,,,,,,,37083.0,11464.0,,,,,,13309.0,10471.0,,,,,,-2797.0,,,2600.0,-2797.0,,,,,,,,2600.0,-197.0,,-650.0,,,,11464.0,-323.0,,,,,,,,,,,,,,,,-52419.0,,,,,,-25619.0,,,,,,,3397826.0,,,
2019-01-31,2019-03-18,10-Q,BOXXY INC.,BXXY,CIK0001680689,USD,,0.0,,,-1500.0,,22610.0,,650.0,650.0,,,0.0,,,,,,75000000.0,4190000.0,4190000.0,4190.0,,,0.0,,,,,,,,,,,0.001,,,,,,,,,,,,,,,,,587.0,-264.0,,,,,,,41062.0,650.0,,,,,,13309.0,10471.0,,,,,,-15128.0,,,14864.0,-14864.0,,0.0,,,,,,0.0,,,-650.0,,,,650.0,-588.0,,,,,,,,,,,,,0.0,,,-67547.0,0.0,,4050.0,,,-40747.0,,,,,,,4190000.0,,,
2019-04-30,2019-11-29,10-K,BOXXY INC.,BXXY,CIK0001680689,USD,25831.0,504.0,,,26143.0,22610.0,,,0.0,0.0,,0.0,0.0,-1494.0,-1494.0,,0.001,,75000000.0,4190000.0,4190000.0,4190.0,,5641.0,,,,,15546.0,0.0,15546.0,15546.0,12221.0,,12221.0,-0.01,0.21,,,,,,0.0,0.0,,-15546.0,,0.0,,12168.0,,10814.0,,816.0,,,1631.0,,816.0,,56227.0,0.0,49891.0,6336.0,6973.0,,6973.0,,,12387.0,,,-13881.0,,-36863.0,-816.0,36047.0,36047.0,-36863.0,73027.0,,,,4050.0,,,,,,0.0,,,,,,,,10786.0,,,1601.0,,,,1601.0,-36863.0,,,,,-83027.0,,36047.0,,4050.0,-56227.0,,,,,6973.0,,4190000.0,,,,
