end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccountsPayableRelatedPartiesCurrent,AdditionalPaidInCapital,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommonStockValue,CostOfGoodsAndServicesSold,DebtConversionConvertedInstrumentAmount1,Depreciation,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,GeneralAndAdministrativeExpense,GrossProfit,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestPayableCurrent,InventoryFinishedGoods,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInContinuingOperations,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,OperatingExpenses,OtherIncome,OtherLoansPayable,PreferredStockValue,ProceedsFromContributedCapital,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfPreferredStockAndPreferenceStock,ProceedsFromRelatedPartyDebt,PropertyPlantAndEquipmentAdditions,PropertyPlantAndEquipmentNet,Revenues,SalariesAndWages,StockholdersEquity,WeightedAverageNumberOfSharesIssuedBasic
2012-05-31,2012-10-15,10-K,ATVROCKN,ATVK,CIK0001530185,USD,23.0,7563.0,124150.0,14193.0,533.0,533.0,,20000.0,,,,166979.0,,,,,,,1361.0,,14193.0,35747.0,,,,,,,,25000.0,1275.0,,,,,,13660.0,,,-21554.0,
2012-08-31,2012-10-22,10-Q,ATVROCKN,ATVK,CIK0001530185,USD,23.0,140.0,124150.0,13537.0,54.0,54.0,-478.0,66000.0,,46000.0,178.0,207462.0,39055.0,,,1250.0,,-1250.0,2611.0,,13537.0,29574.0,-618.0,140.0,,-39233.0,-40483.0,39233.0,-1250.0,25000.0,1275.0,,,,140.0,,13483.0,,,-16037.0,66000000.0
2013-02-28,2013-04-15,10-Q,ATVROCKN,ATVK,CIK0001530185,USD,23.0,14130.0,124150.0,13337.0,209.0,115.0,,66000.0,,,178.0,224152.0,1855.0,,,,,-1250.0,5111.0,94.0,13337.0,46064.0,,,,-3783.0,-5033.0,3783.0,-1250.0,25000.0,1275.0,,,,,,13128.0,,,-32727.0,66000000.0
