end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccountsPayableRelatedPartiesCurrent,AccountsPayableRelatedPartiesCurrentAndNoncurrent,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalOther,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashPeriodIncreaseDecrease,CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CostsAndExpensesRelatedParty,DeferredTaxAssetsGross,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DiscontinuedOperationIncomeLossFromDiscontinuedOperationNetOfTaxPerBasicAndDilutedShare,DisposalGroupIncludingDiscontinuedOperationOperatingExpense,DisposalGroupIncludingDiscontinuedOperationRevenue,DueToRelatedPartiesCurrent,DueToRelatedPartiesNoncurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableTrade,IncreaseDecreaseInPrepaidExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,OperatingExpenses,OperatingLossCarryforwards,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PrepaidExpenseCurrent,ProceedsFromIssuanceOfCommonStock,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProfessionalFees,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,SaleOfStockPricePerShare,StockholdersEquity,StockholdersEquityNoteStockSplitConversionRatio1,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueNewIssues,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,StockIssued1,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount
2015-08-31,2015-11-19,10-K,VISIBER57 CORP.,VCOR,CIK0001627041,USD,6529.0,1478.0,18978.0,3243.0,,23917.0,23917.0,8917.0,8917.0,,8417.0,30000.0,0.0001,425000000.0,5065000.0,5065000.0,507.0,,2029.0,2029.0,2029.0,0.01,,45000.0,,,0.0,,4549.0,,-32298.0,-32298.0,-0.01,27500.0,,6529.0,,25507.0,23917.0,25507.0,4186.0,4231.0,,-4798.0,32298.0,,0.0001,75000000.0,0.0,0.0,,3250.0,936.0,,27749.0,,-5340.0,,-1590.0,,10000.0,3250.0,5000753.0,,
2015-11-30,2016-01-14,10-Q,VISIBER57 CORP.,VCOR,CIK0001627041,USD,,,,,,,,4566.0,,,-4351.0,-4562.0,,,,,,,,,,0.0,,11250.0,,,0.0,,4150.0,,-20750.0,-20750.0,0.0,5438.0,,11630.0,,,,,9331.0,-13682.0,,-15312.0,20750.0,,,,,,,10750.0,,-1419.0,16600.0,,,,,,,,5272198.0,,
2016-02-29,2016-04-12,10-Q,VISIBER57 CORP.,VCOR,CIK0001627041,USD,,,,,,,,1357.0,,,,,,,,,,,,,,0.0,,,,,0.0,,194.0,,-5859.0,-5859.0,0.0,11250.0,,,,,,,,,,5391.0,5859.0,,,,,,,,,,5665.0,,,,,,,,5280000.0,,
2016-05-31,2016-06-30,10-Q,VISIBER57 CORP.,VCOR,CIK0001627041,USD,,,,,,,,,229.0,,,,,,,,,,,,,0.0,,,,,0.0,,2478.0,,-2478.0,-2478.0,0.0,8250.0,,,,,,,,,,5772.0,2478.0,,,,,,,,,,,,,,,,,,5280000.0,,
2016-08-31,2016-12-15,10-K,VISIBER57 CORP.,VCOR,CIK0001627041,USD,3060.0,,0.0,23972.0,10000.0,8333.0,8333.0,,,-8917.0,-8917.0,19215.0,0.0001,425000000.0,5280000.0,5280000.0,528.0,,6765.0,6765.0,6765.0,0.0,12035.0,33750.0,3981.0,,-0.01,,7893.0,,-39583.0,-39583.0,-0.01,21715.0,,15362.0,-1667.0,7041.0,8333.0,7041.0,-5578.0,-3339.0,22554.0,-17868.0,39583.0,19897.0,0.0001,75000000.0,0.0,0.0,8333.0,10750.0,2000.0,,31690.0,18328.0,-23208.0,,1292.0,,,10750.0,5274713.0,,
2016-11-30,2017-01-12,10-Q,VISIBER57 CORP.,VCOR,CIK0001627041,USD,7825.0,,,23972.0,,10412.0,10412.0,,,,,,0.0001,425000000.0,5280000.0,5280000.0,528.0,,,,,0.0,,,18906.0,,0.0,,3106.0,,-17611.0,-17611.0,0.0,,,14695.0,-2916.0,26731.0,10412.0,26731.0,,,,-17611.0,17611.0,,0.0001,75000000.0,0.0,0.0,10412.0,,,,14505.0,,-40819.0,,-16319.0,,,,5280000.0,,
2017-02-28,2017-04-11,10-Q,VISIBER57 CORP.,VCOR,CIK0001627041,USD,3100.0,,,23972.0,,6663.0,6663.0,,,,,,0.0001,425000000.0,5280000.0,5280000.0,528.0,,,,,0.0,,,38048.0,,0.0,,4166.0,,-18166.0,-18166.0,0.0,,,,,41148.0,6663.0,41148.0,,,,-18166.0,18166.0,,0.0001,75000000.0,0.0,0.0,6663.0,,,,14000.0,,-58985.0,,-34485.0,,,,5280000.0,,
2017-05-31,2017-07-13,10-Q,VISIBER57 CORP.,VCOR,CIK0001627041,USD,3790.0,,,23972.0,,4443.0,4443.0,,,,,,0.0001,425000000.0,5280000.0,5280000.0,528.0,,,,,0.0,,,59623.0,,0.0,,4378.0,,-24485.0,-24485.0,0.0,,,,,63413.0,4443.0,63413.0,,,,-24485.0,24485.0,,0.0001,75000000.0,,,4443.0,,,,20107.0,,-83470.0,,-58970.0,,,,5280000.0,,
2017-08-31,2017-11-28,10-K,VISIBER57 CORP.,VCOR,CIK0001627041,USD,2985.0,,,23972.0,,1730.0,1730.0,,,,,,0.0001,425000000.0,5280000.0,5280000.0,528.0,65003.0,33910.0,33910.0,33910.0,0.0,,,73979.0,73979.0,-0.01,,14128.0,,-76526.0,-76526.0,-0.01,,64928.0,64928.0,-11598.0,76964.0,1730.0,76964.0,,,,-76526.0,76526.0,99734.0,0.0001,75000000.0,,,1730.0,,,,62398.0,,-99734.0,,-75234.0,,,,5280000.0,,
2017-11-30,2018-01-16,10-Q,VISIBER57 CORP.,VCOR,CIK0001627041,USD,6000.0,,,23972.0,,9931.0,9931.0,,,,,,0.0001,425000000.0,5280000.0,5280000.0,528.0,,,,,,,,101220.0,101220.0,0.0,,3255.0,,-22055.0,-22055.0,,,18591.0,18591.0,-3464.0,107220.0,9931.0,107220.0,,0.0,,-22055.0,22055.0,,0.0001,75000000.0,,,9931.0,,,,18800.0,,-121789.0,,-97289.0,,,,5280000.0,,
