end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesNoncurrent,AccountsPayableCurrent,AccruedLiabilitiesCurrent,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentsToAdditionalPaidInCapitalOther,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CostOfGoodsAndServicesSold,CostOfRevenue,CostsAndExpensesRelatedParty,CurrentFederalStateAndLocalTaxExpenseBenefit,DeferredTaxAssetsGross,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsOperatingLossCarryforwardsStateAndLocal,DeferredTaxAssetsValuationAllowance,Depreciation,DepreciationDepletionAndAmortization,DueToRelatedPartiesCurrent,DueToRelatedPartiesCurrentAndNoncurrent,DueToRelatedPartiesNoncurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationChangeInEnactedTaxRate,EffectiveIncomeTaxRateReconciliationDeductions,EffectiveIncomeTaxRateReconciliationShareBasedCompensationExcessTaxBenefitPercent,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,EffectiveIncomeTaxRateReconciliationTaxCredits,EffectiveIncomeTaxRateReconciliationTaxSettlements,EffectiveIncomeTaxRateReconciliationTaxSettlementsStateAndLocal,FederalIncomeTaxExpenseBenefitContinuingOperations,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeInterestExpenseInterestIncomeIncomeTaxesExtraordinaryItemsNoncontrollingInterestsNet,IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,IncomeLossFromContinuingOperationsPerDilutedShare,IncomeLossFromDiscontinuedOperationsNetOfTax,IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInInventories,IncreaseDecreaseInPrepaidExpense,InventoryNoncurrent,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesOfDisposalGroupIncludingDiscontinuedOperationCurrent,LoansPayableCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,OperatingExpenses,OperatingIncomeLoss,OtherNonrecurringIncomeExpense,PaymentsToAcquirePropertyPlantAndEquipment,PrepaidExpenseCurrent,ProceedsFromContributionsFromAffiliates,ProceedsFromIssuanceOfCommonStock,ProceedsFromPaymentsForLongTermLoansForRelatedParties,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,RelatedPartyTransactionAmountsOfTransaction,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,Revenues,SalesRevenueGoodsNet,SalesRevenueServicesNet,SharesIssued,SharesIssuedPricePerShare,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssuedDuringPeriodSharesOther,StockIssuedDuringPeriodValueNewIssues,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2017-07-31,2017-09-06,10-Q,ARION GROUP CORP.,ARGC,CIK0001698702,USD,,,,,2340.0,,10843.0,,6837.0,,,,75000000.0,5260000.0,5260000.0,5260.0,,5600.0,,,,,,,,,,,2663.0,0.0,,,,,,,,,,,,,6100.0,,,,,,,,,,,,,,,2800.0,2663.0,10843.0,,,,,,,3654.0,2446.0,3654.0,2446.0,,,,,,,,,1206.0,,,,580.0,11700.0,,11700.0,,,,8180.0,,,,5006087.0
2017-10-31,2017-12-06,10-Q,ARION GROUP CORP.,ARGC,CIK0001698702,USD,,,,,23670.0,,39582.0,,35692.0,,,,75000000.0,7630000.0,7630000.0,7630.0,11200.0,11200.0,,,,,,,,,,,2663.0,0.0,,,,,,,,,,,,3161.0,8200.0,,5039.0,,,,,,,,,,,,,2800.0,2663.0,39582.0,,,,,,,5039.0,3161.0,5039.0,3161.0,,,,,,,,,1090.0,,,,5619.0,19400.0,,19400.0,,,,36919.0,,,6031304.0,6031304.0
2018-01-31,2018-05-08,10-K,ARION GROUP CORP.,ARGC,CIK0001698702,USD,3099.0,3099.0,,23670.0,23670.0,23670.0,37649.0,36675.0,36675.0,32092.0,,0.001,75000000.0,5000000.0,5000000.0,7630.0,,25200.0,,,,,,,426.0,,2663.0,,2663.0,0.0,,0.34,,,,,,,,,,18133.0,21800.0,-18133.0,-18133.0,,,0.0,21800.0,0.0,,,,3099.0,,,,,5762.0,37649.0,5762.0,3099.0,,26300.0,-1400.0,7192.0,3667.0,18133.0,-18133.0,18133.0,1400.0,,,26300.0,,,,3667.0,974.0,974.0,,,587.0,47000.0,47000.0,,7630000.0,0.01,31887.0,31887.0,2630000.0,26300.0,5924383.0,5924383.0
2018-04-30,2018-05-25,10-Q,ARION GROUP CORP.,ARGC,CIK0001698702,USD,3000.0,,,,23670.0,,32986.0,,32128.0,-4547.0,,,75000000.0,7630000.0,7630000.0,7630.0,,,,,,,,,116.0,,,,2663.0,0.0,,,,,,,,,,,,4564.0,,,,,,,,,,,,-99.0,,,,,5663.0,32986.0,,,,,,-4547.0,-4564.0,4564.0,-4564.0,4564.0,,,,,,,,-4564.0,858.0,,,,-3977.0,,,,,,27323.0,27323.0,,,7630000.0,7630000.0
2018-07-31,2018-08-30,10-Q,ARION GROUP CORP.,ARGC,CIK0001698702,USD,,,,,23670.0,,7674.0,,4132.0,,,,75000000.0,7630000.0,7630000.0,7630.0,,,,,,,,,,,,,2663.0,0.0,,,,,,,,,,,,22312.0,,,,,,,,,,,,,,,,2800.0,2663.0,7674.0,,,,,,,-22312.0,22312.0,-22312.0,22132.0,,,,,,,,-22312.0,742.0,,,,-26289.0,,,,,,5011.0,5011.0,,,7630000.0,7630000.0
2018-10-31,2018-12-07,10-Q,ARION GROUP CORP.,ARGC,CIK0001698702,USD,,,,23670.0,,,3767.0,341.0,341.0,,,0.001,75000000.0,7630000.0,7630000.0,7630.0,,,,,,,,,,,2663.0,,,0.0,,,,,,,,,,,,3907.0,,,-3907.0,,,,,,,,,,,,,2800.0,2663.0,3767.0,2663.0,,,,,,-3907.0,3907.0,-3907.0,,,,,,,,,-3907.0,,626.0,,,-30196.0,,,,,,1104.0,,,,7630000.0,
2019-01-31,2019-05-16,10-K,ARION GROUP CORP.,ARGC,CIK0001698702,USD,,2112.0,,23670.0,,,9600.0,9090.0,9090.0,-27585.0,-27585.0,0.001,75000000.0,7630000.0,7630000.0,7630.0,,,,,9415.0,9415.0,,9415.0,464.0,,20432.0,,,-0.01,0.0,0.21,,0.0,-0.21,0.21,0.0,,0.0,,,46831.0,2000.0,-44831.0,-44831.0,-44831.0,-44831.0,-0.01,,0.0,,,,-987.0,,,,,22544.0,9600.0,22544.0,,,17769.0,,-45354.0,-44831.0,46831.0,-44831.0,,,,,,20432.0,20432.0,,-44831.0,,510.0,20432.0,2663.0,-44244.0,2000.0,,,2630000.0,,-12944.0,,,,7630000.0,
2019-04-30,2019-06-19,10-Q,ARION GROUP CORP.,ARGC,CIK0001698702,USD,,13529.0,,23670.0,,,18454.0,18060.0,8060.0,-1030.0,-1030.0,0.001,75000000.0,7630000.0,7630000.0,7630.0,,,,,,,,,116.0,,30432.0,,,0.0,,,,,,,,,,,,18563.0,6000.0,,,-12563.0,,,,,,,,11417.0,,,10000.0,,43961.0,18454.0,43961.0,,,10000.0,,-11030.0,-12563.0,18563.0,-12563.0,,,10000.0,,,10000.0,10000.0,,-12563.0,,394.0,30432.0,,-56807.0,6000.0,,,,,-25507.0,,,,7630000.0,
2019-07-31,2019-09-23,10-Q,ARION GROUP CORP.,ARGC,CIK0001698702,USD,,17321.0,,23670.0,,,14020.0,13742.0,3742.0,,,0.001,75000000.0,7630000.0,7630000.0,7630.0,,,,,,,,,,,40432.0,,,0.0,,,,,,,,,,,,18226.0,,,,-18226.0,,,,,,,,,,,,,57753.0,14020.0,57753.0,,,,,,-18226.0,18226.0,-18226.0,,,10000.0,,,,,,-18226.0,,278.0,,,-75033.0,,,,,,-43733.0,,,,7630000.0,
2019-10-31,2019-12-23,10-Q,ARION GROUP CORP.,ARGC,CIK0001698702,USD,,5768.0,,23670.0,,,12235.0,11957.0,11957.0,,,0.001,75000000.0,7630000.0,7630000.0,7630.0,,,,,,,,,,,60432.0,,,0.0,,,,,,,,,,,,10232.0,,,,-10232.0,,,,,,,,,,,,,66200.0,12235.0,66200.0,,,,,,-10232.0,10232.0,-10232.0,,,,,,,,,-10232.0,,278.0,,,-85265.0,,,,,,-53965.0,,,,7630000.0,
