end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrentAndNoncurrent,AdditionalPaidInCapitalCommonStock,AssetManagementCosts,Assets,AssetsHeldInTrust,AssetsUnderManagementCarryingAmount,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CashPeriodIncreaseDecrease,CashSegregatedUnderCommodityExchangeActRegulation,CommissionsPayableToBrokerDealersAndClearingOrganizations,DepreciationAmortizationAndAccretionNet,DerivativeAssetFairValueGrossLiability,DerivativeCollateralObligationToReturnCash,DerivativeCollateralObligationToReturnSecurities,DerivativeCollateralRightToReclaimCash,DerivativeCollateralRightToReclaimSecurities,DerivativeFairValueOfDerivativeAsset,DerivativeFairValueOfDerivativeAssetAmountNotOffsetAgainstCollateral,DerivativeFairValueOfDerivativeAssetAmountOffsetAgainstCollateral,DerivativeFairValueOfDerivativeLiability,DerivativeFairValueOfDerivativeLiabilityAmountNotOffsetAgainstCollateral,DerivativeFairValueOfDerivativeLiabilityAmountOffsetAgainstCollateral,DerivativeLiabilityFairValueGrossAsset,DistributedEarnings,DividendIncomeOperating,DividendsReceivable,DueFromAffiliates,DueToRelatedPartiesCurrentAndNoncurrent,EarningsPerShareBasic,FinancialInstrumentsOwnedAtFairValue,FinancialInstrumentsOwnedDerivativesAndOtherContractualAgreementsAtFairValue,FinancialInstrumentsOwnedUSGovernmentAndAgencyObligationsAtFairValue,FloorBrokerageExchangeAndClearanceFees,GainLossOnInvestments,GainLossOnSaleOfDebtInvestments,GainLossOnSaleOfDerivatives,GainLossOnSaleOfInvestments,GainLossOnSaleOfSecuritiesNet,GeneralPartnersCapitalAccount,GeneralPartnersCapitalAccountUnitsOutstanding,GoodFaithAndMarginDepositsWithBrokerDealers,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInBrokerageReceivables,IncreaseDecreaseInDividendsReceivable,IncreaseDecreaseInOperatingCapital,IncreaseDecreaseInOtherAccountsPayable,IncreaseDecreaseInPayablesToBrokerDealers,InterestAndDividendIncomeOperating,InterestExpense,InterestIncomeExpenseNet,InterestIncomeOperating,InterestPaid,InterestPaidNet,InvestmentCompanyContractualFeeWaived,InvestmentCompanyExpenseRatioIncludingVoluntaryFeeWaiver,InvestmentCompanyGainLossOnInvestmentPerShare,InvestmentCompanyGeneralPartnerAdvisoryService,InvestmentCompanyInvestmentIncomeLossFromOperationsPerShare,InvestmentCompanyInvestmentIncomeLossPerShare,InvestmentCompanyInvestmentIncomeLossRatio,InvestmentCompanyRealizedAndUnrealizedGainLossOnInvestmentAndForeignCurrency,InvestmentCompanyTaxReturnOfCapitalDistributionPerShare,InvestmentCompanyTaxReturnOfCapitalDistributionPerShare,InvestmentCompanyTotalReturn,InvestmentIncomeNet,InvestmentOwnedAtCost,InvestmentOwnedAtFairValue,InvestmentOwnedPercentOfNetAssets,InvestmentOwnedUnderlyingFaceAmountAtMarketValue,InvestmentOwnedUnrecognizedUnrealizedAppreciation,InvestmentOwnedUnrecognizedUnrealizedAppreciationDepreciationNet,InvestmentOwnedUnrecognizedUnrealizedDepreciation,InvestmentsInAndAdvancesToAffiliatesAtFairValue,Liabilities,LiabilitiesAndStockholdersEquity,LimitedPartnersCapitalAccount,LimitedPartnersCapitalAccountUnitsOutstanding,ManagementFeePayable,MarketableSecuritiesRealizedGainLoss,MarketableSecuritiesUnrealizedGainLoss,MinorityInterestDecreaseFromRedemptions,NetAssetValuePerShare,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NetIncomeLossAttributableToNoncontrollingInterest,NetIncomeLossAttributableToRedeemableNoncontrollingInterest,OperatingExpenses,OperatingIncomeLoss,OtherNonrecurringExpense,PartnersCapitalAccountContributions,PartnersCapitalAccountReturnOfCapital,PartnersCapitalDistributionAmountPerShare,PayablesToBrokerDealersAndClearingOrganizations,PaymentsForProceedsFromInvestments,PaymentsForPurchaseOfSecuritiesOperatingActivities,PaymentsForRepurchaseOfCommonStock,PaymentsOfDividends,PaymentsToAcquireInvestments,PaymentsToAcquireMarketableSecurities,PaymentsToMinorityShareholders,ProceedsFromIssuanceOfCommonStock,ProceedsFromSaleAndMaturityOfMarketableSecurities,ProceedsFromSaleMaturityAndCollectionsOfInvestments,ProceedsFromSaleOfSecuritiesOperatingActivities,ProfessionalFees,ProfitLoss,RealizedGainLossOnMarketableSecuritiesCostMethodInvestmentsAndOtherInvestments,RealizedInvestmentGainsLosses,ReceivablesFromBrokersDealersAndClearingOrganizations,ReceivablesFromClearingOrganizations,RestrictedCashAndCashEquivalents,RestrictedCashAndInvestments,RestrictedInvestments,RestrictedInvestmentsPercentOfNetAssets,RetainedEarningsAccumulatedDeficit,SharesIssued,SharesOutstanding,StockholdersEquity,StockholdersEquityPeriodIncreaseDecrease,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesPeriodIncreaseDecrease,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,StockIssuedDuringPeriodValuePurchaseOfAssets,StockRedeemedOrCalledDuringPeriodShares,StockRedeemedOrCalledDuringPeriodValue,TaxBasisOfInvestmentsUnrealizedAppreciationDepreciationNet,TreasuryStockValue,UnrealizedGainLossOnDerivatives,UnrealizedGainLossOnInvestments,UnrealizedGainLossOnMarketableSecuritiesCostMethodInvestmentsAndOtherInvestments,UnrealizedGainLossOnSecurities,UnrealizedGainOnSecurities,UnrealizedLossOnSecurities,UnrecognizedTaxBenefits,DueFromCorrespondentBrokers,MarketableSecuritiesRealizedGainLossExcludingOtherThanTemporaryImpairments,MarketableSecuritiesUnrealizedGainLossExcludingOtherThanTemporaryImpairments
2008-12-31,2009-03-10,10-K,INVESCO DB G10 CURRENCY HARVEST FUND,DBV,CIK0001354730,USD,,,,,,,,66363722.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-31,2010-03-08,10-K,INVESCO DB G10 CURRENCY HARVEST FUND,DBV,CIK0001354730,USD,,,2486774.0,,,,,38444399.0,-27919323.0,,,,,,,,-396396.0,,,,,,,,,,,,,,,,,,,,,,189741.0,61321191.0,-954.0,57705565.0,,-954.0,,,,78870.0,,,3620.0,,,,,,,,,396394.0,,,,,,,,,,,,,,-2280121.0,,,,,,,,,,,,,,,,,,79577100.0,,-107496423.0,,,161.0,,2676515.0,,,,,,,,,39090492.0,,,1309604691.0,,118667592.0,1146996730.0,,,,59041070.0,,57704611.0,,,,,,,,,,,,,,,,,,,,,3628455.0,3616580.0,,-11875.0,,,,,,
2010-06-30,2010-08-04,10-Q,INVESCO DB G10 CURRENCY HARVEST FUND,DBV,CIK0001354730,USD,,,751094.0,,,,,18063940.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52089.0,-28952680.0,,-13484786.0,,215.0,,,,,,,,,,,,,,,,127533.0,,,,,,,,,,,,,,-675650.0,,,,,,,,,,,,,,,,,,,,,,,-66.0,,803183.0,,,,,,,,,,,,,,,,,,,-29628330.0,,-13484571.0,,,,,,,,,,,,,,,,,,,,,-15467761.0,-15468109.0,,-348.0,,,,,,
2010-09-30,2010-11-08,10-Q,INVESCO DB G10 CURRENCY HARVEST FUND,DBV,CIK0001354730,USD,,,685155.0,,,,,14441982.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47812.0,21203187.0,,270098.0,,184.0,,,,,,,,,,,,,,,,125577.0,,,,,,,,,,,,,,-607390.0,,,,,,,,,,,,,,,,,,,,,,,51.0,,732967.0,,,,,,,,,,,,,,,,,,,20595797.0,,270282.0,,,,,,,,,,,,,,,,,,,,,20918226.0,20932905.0,,14679.0,,,,,,
2010-12-31,2011-02-28,10-K,INVESCO DB G10 CURRENCY HARVEST FUND,DBV,CIK0001354730,USD,227193.0,445836638.0,2887129.0,356373721.0,,,,27374569.0,-11069830.0,,,,,,,9271.0,-426159.0,,,,,,,,,,,,,,,,,,,,4025150.0,324974002.0,185969.0,2205006.0,878.0,2297260.0,,878.0,950.0,,356373721.0,-39135.0,,,3899.0,,,,,,,,,426159.0,,,,,,,,,,,,,,-2646939.0,,,,,,,,,236464.0,356373721.0,,,,,,950.0,,-66699552.0,,55629722.0,,-441942.0,9.0,-950.0,3073098.0,,,,,,,,,114161996.0,,,1404552930.0,950.0,47463394.0,1460993726.0,,,,-441933.0,,2298138.0,,,,,,,-89700331.0,15000000.0,15000000.0,356137257.0,-66698602.0,2000000.0,-3000000.0,47463394.0,,,5000000.0,114161996.0,,,-96993.0,-93132.0,,3861.0,13931200.0,9906050.0,,,,
2011-03-31,2011-05-09,10-Q,INVESCO DB G10 CURRENCY HARVEST FUND,DBV,CIK0001354730,USD,,,652131.0,,,,,35198642.0,7824073.0,,,,,,,,-110367.0,,,,,,,,,,,,,,,,,,,,,,52170.0,9332347.0,457.0,3488289.0,,457.0,,,,-3899.0,,,12989.0,,,,,,,,,110367.0,,,,,,,,,,,,,,-593934.0,,,,,,,,,,,,,,,,,,-76394.0,,7900467.0,,,,,704301.0,,,,,,,,,14272700.0,,,324892037.0,,14196306.0,329999426.0,,,,8738413.0,,3488746.0,,,,,,,,,,,,,,,,,,,,,5840404.0,5843601.0,,3197.0,,,,,,
2011-06-30,2011-08-05,10-Q,INVESCO DB G10 CURRENCY HARVEST FUND,DBV,CIK0001354730,USD,226417.0,455903986.0,690707.0,390190728.0,,,,36954180.0,,,,,,,,1674.0,,,,,,,,,,,,,,,,,,,0.35,,4371265.0,338996135.0,19541.0,5670436.0,,11170788.0,,1576.0,987.0,,380321580.0,,,,,,,,,,,,,59931.0,,,,,,,,,,,,,,-650317.0,,,,,,,,,10227591.0,390190728.0,,,,,,,,,,,,,,,710248.0,,,,,,,,,,,,,,,,,,,5020119.0,,11172364.0,,,,,,,-75941836.0,15400000.0,15400000.0,379963137.0,10143742.0,1200000.0,400000.0,29530054.0,,,800000.0,-19386312.0,,,-5494289.0,-5501928.0,,-7639.0,,,,,,
2011-09-30,2011-11-07,10-Q,INVESCO DB G10 CURRENCY HARVEST FUND,DBV,CIK0001354730,USD,202211.0,401242778.0,674235.0,298769699.0,,,,37569291.0,,,,,,,,2698.0,,,,,,,,,,,,,,,,,,,-1.7,,-14797115.0,275997523.0,41938.0,-26041927.0,,-6868808.0,,1930.0,919.0,,298769699.0,,,,,,,,,,,,,20961.0,,,,,,,,,,,,,,-695212.0,,,,,,,,,204909.0,298769699.0,,,,,,,,,,,,,,,716173.0,,,,,,,,,,,,,,,,,,,-26737139.0,,-6866878.0,,,,,,,-102678907.0,13000000.0,13000000.0,298564790.0,-54661208.0,2200000.0,-2400000.0,53100886.0,,,4600000.0,107762094.0,,,-19168380.0,-19175049.0,,-6669.0,,,,,,
2011-12-31,2012-02-28,10-K,INVESCO DB G10 CURRENCY HARVEST FUND,DBV,CIK0001354730,USD,186197.0,379461573.0,2601745.0,286184485.0,,,,3952949.0,-23421620.0,,,,,,,310.0,-204848.0,,,,,,,,,,,,,,,,,,,,5234813.0,276996723.0,149274.0,-1218040.0,5258.0,-2420385.0,,5258.0,953.0,,286184485.0,-40996.0,,,-8961.0,,,,,,,,,204845.0,,,,,,,,,,,,,,-2546174.0,,,,,,,,,186507.0,286184485.0,,,,,,,,-66375065.0,,42953445.0,,-3764214.0,,,2751019.0,,,,,,,,,225762460.0,,,1327823023.0,,159387395.0,1375997832.0,,,,-3764214.0,,-2415127.0,,,,,16207650.0,,-93464548.0,12000000.0,12000000.0,285997978.0,-66375065.0,6600000.0,-3000000.0,159387395.0,66375065.0,-70139279.0,9600000.0,225762460.0,,,1209663.0,1197087.0,,-12576.0,6388680.0,1153867.0,,,,
2012-03-31,2012-05-09,10-Q,INVESCO DB G10 CURRENCY HARVEST FUND,DBV,CIK0001354730,USD,226389.0,423990643.0,619689.0,351082808.0,,,,29479921.0,25526972.0,,,,,,,3672.0,-21503.0,,,,,,,,,,,,,0.0,,,,,1.23,,-4382195.0,320985176.0,44175.0,15956002.0,-201.0,25566842.0,,-201.0,1002.0,,346082902.0,40192.0,,4999906.0,3362.0,,,59842711.0,,,,,,21503.0,,,,,,,,,,,,,,-642361.0,,,,,,,,,5242119.0,351082808.0,,,,,,,,49541128.0,,-24014156.0,,15313641.0,,,663864.0,,,,,,,,,19845320.0,,,340960436.0,,69386448.0,296999654.0,,,,15313641.0,,25566641.0,,,,,,,-78150956.0,13800000.0,13800000.0,345840689.0,44529070.0,2800000.0,1800000.0,69386448.0,,,1000000.0,24857378.0,,,-9617008.0,-9610639.0,,6369.0,927140.0,5309335.0,,,,
