end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableOtherCurrent,AccruedProfessionalFeesCurrent,AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,Assets,AssetsCurrent,Cash,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommonStockDividendsPerShareCashPaid,CommonStockDividendsPerShareDeclared,CommonStockNoParValue,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,CurrentFederalTaxExpenseBenefit,DividendsCommonStockCash,DividendsPayableAmountPerShare,DividendsPayableCurrentAndNoncurrent,DueFromBanks,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectOfExchangeRateOnCash,EffectOfExchangeRateOnCashAndCashEquivalents,EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,ForeignCurrencyTransactionGainLossUnrealized,IncomeTaxExpenseBenefit,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInDueToRelatedPartiesCurrent,IncreaseDecreaseInInterestPayableNet,InterestBearingDepositLiabilitiesForeign,InterestBearingDepositsInBanks,InterestBearingDepositsInBanks,InterestExpense,InterestPaid,InterestPaidNet,InterestPayableCurrent,InterestPayableCurrentAndNoncurrent,InterestReceivable,InterestReceivableCurrent,InvestmentIncomeInterest,InvestmentInterestRate,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NoninterestBearingDepositLiabilities,NoninterestBearingDepositLiabilitiesForeign,OperatingExpenses,OtherAccruedLiabilitiesCurrent,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentBeforeTaxPortionAttributableToParent,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,PaymentsForOperatingActivities,PaymentsForOperatingActivities,PaymentsForRepurchaseOfEquity,PaymentsForRepurchaseOfRedeemablePreferredStock,PaymentsForRepurchaseOfRedeemablePreferredStock,PaymentsOfCapitalDistribution,PaymentsOfDividends,PreferredStockRedemptionAmount,ProceedsFromIssuanceOfRedeemablePreferredStock,ProceedsFromIssuanceOfRedeemablePreferredStock,ProceedsFromOperatingActivities,ReclassificationsOfTemporaryToPermanentEquity,RedeemableNoncontrollingInterestEquityCarryingAmount,RetainedEarningsAccumulatedDeficit,Revenues,SponsorFees,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockholdersEquityNoteSubscriptionsReceivable,StockIssuedDuringPeriodSharesIssuedForCash,StockIssuedDuringPeriodValueIssuedForCash,StockRedeemedOrCalledDuringPeriodShares,StockRedeemedOrCalledDuringPeriodValue,TemporaryEquityForeignCurrencyTranslationAdjustments,TemporaryEquityRedemptionValue,TemporaryEquitySharesAuthorized,TemporaryEquitySharesIssued,TemporaryEquitySharesOutstanding,TemporaryEquityStockIssuedDuringPeriodValueNewIssues,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2008-10-31,2009-01-14,10-K,Invesco CURRENCYSHARES AUSTRALIAN DOLLAR TRUST,FXA,CIK0001353614,USD,,,,,,,,256361363.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-10-31,2010-01-14,10-K,Invesco CURRENCYSHARES AUSTRALIAN DOLLAR TRUST,FXA,CIK0001353614,USD,,,,,,,,745612305.0,489250942.0,,,,1.87,,,,8250000.0,746917479.0,10177467.0,,10291885.0,,,,,1.8,,162332695.0,,299521.0,,,,,,,,,,,,,,,11542447.0,,,,,316879152.0,,10039095.0,,9872110.0,,,1670337.0,,305357.0,305357.0,,,,67683645.0,,,10291885.0,,,,,,,,,11542447.0,1670337.0,,,,,,,,,,,,,
2010-07-31,2010-09-09,10-Q,Invesco CURRENCYSHARES AUSTRALIAN DOLLAR TRUST,FXA,CIK0001353614,USD,,,,,,,,556676986.0,,,,,0.77,,,,,,5573257.0,,,,,,,0.79,,,,,,,,,,,,,,,,,,,5934961.0,,,,,,,,,5339012.0,,,595949.0,,234245.0,,,,,,,,,,,,,,,,,5934961.0,595949.0,,,,,,,,,,,,,
2010-10-31,2010-12-29,10-K,Invesco CURRENCYSHARES AUSTRALIAN DOLLAR TRUST,FXA,CIK0001353614,USD,,,,,663886008.0,,,661675025.0,-83937280.0,,,,2.87,0.0,28500000.0,6750000.0,6750000.0,663665283.0,21985533.0,,20831349.0,,,,,2.97,,52113166.0,,-161484.0,,,,,,675000000.0,661634974.0,,,,,,2210983.0,,24143782.0,,,663886008.0,220725.0,-157033112.0,,20982666.0,,21506266.0,,,2637516.0,220725.0,479267.0,479267.0,,,,431197241.0,,,20831349.0,,,,,,,,,24143782.0,2637516.0,,,3250000.0,294995478.0,4750000.0,-431197241.0,,,,,,,7253014.0
2011-01-31,2011-03-11,10-Q,Invesco CURRENCYSHARES AUSTRALIAN DOLLAR TRUST,FXA,CIK0001353614,USD,,,,,,,,727848914.0,66173889.0,,,,0.95,,,,,,6826367.0,,,,,,,0.98,,11565502.0,,35508.0,,,,,,,,,,,,,,,7492130.0,,,,,48148825.0,,6459562.0,,6798301.0,,,693829.0,,28066.0,,,,,94515522.0,,,6595688.0,,,,,,,,,7492130.0,693829.0,,,,,,,,,,,,,6959783.0
2011-04-30,2011-06-09,10-Q,Invesco CURRENCYSHARES AUSTRALIAN DOLLAR TRUST,FXA,CIK0001353614,USD,,,,,,,,919657096.0,,,,,0.96,,,,,,7463451.0,,,,,,,0.97,,,,,,,,,,,,,,,,,,,7722984.0,,,,,,,,,7001363.0,,,721621.0,,462088.0,,,,,,,,,,,,,,,,,7722984.0,721621.0,,,,,,,,,,,,,7220225.0
2011-07-31,2011-09-09,10-Q,Invesco CURRENCYSHARES AUSTRALIAN DOLLAR TRUST,FXA,CIK0001353614,USD,,,,,871041127.0,,,867749296.0,,,,,1.06,0.0,28500000.0,7900000.0,7900000.0,870713052.0,8681655.0,,,,,,,1.07,,,,,,,,,,,867779035.0,,,,,,3262092.0,,9303096.0,,,871041127.0,328075.0,,,,,8449651.0,,29739.0,853445.0,298336.0,232004.0,,,,,,,,,,,,,,,,,9303096.0,853445.0,,,,,,,,,,,,,7893478.0
2011-10-31,2011-12-23,10-K,Invesco CURRENCYSHARES AUSTRALIAN DOLLAR TRUST,FXA,CIK0001353614,USD,,,,,862642412.0,,,859493792.0,197818767.0,,,4.01,5.04,,28500000.0,8100000.0,8100000.0,862361862.0,40095007.0,,30011685.0,,,,,5.12,,58717633.0,,143137.0,,-3148620.0,,,,810000000.0,859369944.0,,,,,,3148620.0,,42810464.0,,,862642412.0,280550.0,109270460.0,,29830674.0,,38881383.0,,,3929081.0,280550.0,1213624.0,967891.0,967891.0,,3054668.0,609007896.0,,609007896.0,30011685.0,,,,748290041.0,,,,,42810464.0,3929081.0,,,7250000.0,748290041.0,5900000.0,609007896.0,,,,,,,15437125.0
2012-01-31,2012-03-12,10-Q,Invesco CURRENCYSHARES AUSTRALIAN DOLLAR TRUST,FXA,CIK0001353614,USD,,,,,799716360.0,,,797079256.0,-62414536.0,,,0.99,0.99,,28500000.0,7500000.0,7500000.0,799447595.0,7811486.0,,,,,,,0.94,,-1045383.0,,14911.0,,,,,,,797062559.0,,,,,,2637104.0,,8330286.0,,,799716360.0,268765.0,-69359321.0,,7990168.0,,7505348.0,,,824938.0,268765.0,306138.0,,306138.0,,,225037437.0,,,7935976.0,,,,,,,,,8330286.0,824938.0,,,,,,,,,,,,,7993478.0
2012-04-30,2012-06-11,10-Q,Invesco CURRENCYSHARES AUSTRALIAN DOLLAR TRUST,FXA,CIK0001353614,USD,,,,,658017757.0,,,655849782.0,,,,0.97,0.97,,33500000.0,6250000.0,6250000.0,652569079.0,6434536.0,,,,,,,0.94,,,,,,,,,11484.0,,655861266.0,,,,,,2156491.0,,7242218.0,,,658017757.0,5448678.0,,,,,6514580.0,,,727638.0,216641.0,-80044.0,,-80044.0,,,,,,,,,,,,,,,7242218.0,727638.0,,,,,,,,5220553.0,,,,,6966111.0
2012-07-31,2012-09-10,10-Q,Invesco CURRENCYSHARES AUSTRALIAN DOLLAR TRUST,FXA,CIK0001353614,USD,,,,,617394796.0,,,589253240.0,,,,0.83,0.83,,33500000.0,5850000.0,5850000.0,617123349.0,4887764.0,,,,,,,0.78,,,,,,,,,62880.0,585000000.0,589316120.0,,,,,,1705883.0,,5300777.0,,,617394796.0,271447.0,,,,,4683168.0,,,617609.0,208567.0,204596.0,,204596.0,,,,,,,,,,,,,,,5300777.0,617609.0,,,,,,,,,,,,,6033152.0
2012-10-31,2012-12-21,10-K,Invesco CURRENCYSHARES AUSTRALIAN DOLLAR TRUST,FXA,CIK0001353614,USD,,,,,587298836.0,,,585861808.0,-273631984.0,,,4.3,4.3,,33500000.0,5650000.0,5650000.0,587082954.0,27292612.0,,,,,,,4.1,,-21000038.0,,-80418.0,,-1422297.0,,,14731.0,565000000.0,585876539.0,,,,,,1422297.0,1422297.0,30274109.0,,,587298836.0,215882.0,-276990601.0,,24358655.0,,26881202.0,14731.0,,3392907.0,201151.0,411410.0,,411410.0,,2854155.0,676167642.0,,676167642.0,23954507.0,,,,423131548.0,,,,,30274109.0,3392907.0,,,4100000.0,423131548.0,6550000.0,676167642.0,,,,,,,12521885.0
2013-01-31,2013-03-08,10-Q,Invesco CURRENCYSHARES AUSTRALIAN DOLLAR TRUST,FXA,CIK0001353614,USD,,,,,611535038.0,,,610197475.0,24335667.0,,,0.61,0.61,,33500000.0,5850000.0,5850000.0,611330045.0,3420427.0,,,,,,,0.6,,3409454.0,,7354.0,,-1337563.0,,,,585000000.0,610184130.0,,,,,,1337563.0,,4030773.0,,,611535038.0,204993.0,17403789.0,,3522424.0,,-3426494.0,,,604279.0,204993.0,-6067.0,,-6067.0,,601615.0,151651904.0,,151651904.0,3496505.0,,,,172552198.0,,,,,4030773.0,604279.0,,,1650000.0,172552198.0,1450000.0,151651904.0,,,,,,,5757609.0
2013-04-30,2013-06-07,10-Q,Invesco CURRENCYSHARES AUSTRALIAN DOLLAR TRUST,FXA,CIK0001353614,USD,,,,,556535281.0,,,555338123.0,,,,0.56,,,38500000.0,5350000.0,5350000.0,556330530.0,3096201.0,,,0.1816,,,,0.55,,,,,,,,,,535000000.0,555356596.0,,,,,,,1178685.0,3658002.0,,,556535281.0,204751.0,,,,,3086209.0,18473.0,,571793.0,186278.0,,,9992.0,,,,,,,,,,,,,,,3658002.0,571793.0,,,,,,,,,,,,,5624719.0
2013-07-31,2013-09-06,10-Q,Invesco CURRENCYSHARES AUSTRALIAN DOLLAR TRUST,FXA,CIK0001353614,USD,,,,,377706106.0,,,376910145.0,,,,0.51,,,38500000.0,4200000.0,4200000.0,377555180.0,2152314.0,,,0.1491,,,,0.48,,,,,,,,,,420000000.0,376929069.0,,,,,,,777037.0,2736966.0,,,377706106.0,150926.0,,,,,2277622.0,18924.0,,459344.0,132002.0,,,-125308.0,,,,,,,,,,,,,,,2736966.0,459344.0,,,,,,,,,,,,,4733152.0
2013-10-31,2013-12-20,10-K,Invesco CURRENCYSHARES AUSTRALIAN DOLLAR TRUST,FXA,CIK0001353614,USD,,,0.0,,426869373.0,,,426133307.0,-159728501.0,,,2.54,,,38500000.0,4500000.0,4500000.0,426725846.0,12183652.0,,,0.1327,,5821.0,,2.46,,-46025128.0,,-196050.0,,-736066.0,,,,450000000.0,426127486.0,,,,,,,736066.0,14679477.0,,,426869373.0,143527.0,-124648444.0,-124648444.0,10945071.0,10945071.0,12234703.0,,,2444774.0,143527.0,,,-51051.0,,2069862.0,,,658315705.0,10764325.0,,,,544431586.0,,,426725846.0,0.0,14679477.0,2444774.0,,,5500000.0,544431586.0,6650000.0,658315705.0,,,,,4500000.0,,9417281.0
2014-01-31,2014-03-12,10-Q,Invesco CURRENCYSHARES AUSTRALIAN DOLLAR TRUST,FXA,CIK0001353614,USD,,,,,319070609.0,,,318436694.0,-107696613.0,,,0.39,,,38500000.0,3600000.0,3600000.0,314561501.0,1566878.0,0.0,,0.1285,,,,0.39,,-30747841.0,,-44646.0,,-608163.0,,,,360000000.0,318462446.0,,,,,,,608163.0,2007104.0,,,319070609.0,4509108.0,-78628011.0,,1679239.0,,1625063.0,25752.0,,382041.0,114446.0,,,-58185.0,,400498.0,,,90583468.0,1625179.0,,,,13580636.0,,,,,2007104.0,382041.0,,,150000.0,13580636.0,1050000.0,95114616.0,,4368910.0,,,,,4138043.0
