end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsPayableRelatedPartiesCurrent,AccountsReceivableNetCurrent,AccruedLiabilitiesCurrent,AdditionalPaidInCapital,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,Assets,AssetsCurrent,Cash,CashEquivalentsAtCarryingValue,CashPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CostsIncurredExplorationCosts,CostsIncurredOilAndGasPropertyAcquisitionExplorationAndDevelopmentActivities,DeferredTaxAssetsGross,DeferredTaxAssetsNet,DeferredTaxAssetsValuationAllowance,Depreciation,DueToRelatedPartiesCurrent,DueToRelatedPartiesCurrentAndNoncurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationDeductions,ExplorationCosts,GainLossOnSaleOfPropertyPlantEquipment,GeneralAndAdministrativeExpense,ImpairmentOfOilAndGasProperties,IncomeTaxExpenseBenefit,IncomeTaxesPaidNet,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInEmployeeRelatedLiabilities,IncreaseDecreaseInOtherAccruedLiabilities,IncreaseDecreaseInOtherReceivables,IncreaseDecreaseInPrepaidExpense,IncreaseDecreaseInPrepaidExpensesOther,InterestPaidNet,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,MineralPropertiesNet,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherIncome,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,ProceedsFromIssuanceOfCommonStock,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProceedsFromSaleOfMachineryAndEquipment,ProceedsFromSaleOfPropertyPlantAndEquipment,PropertyPlantAndEquipmentFairValueDisclosure,PropertyPlantAndEquipmentNet,PropertyPlantAndEquipmentOtherNet,RetainedEarningsAccumulatedDeficit,Revenues,SalesCommissionsAndFees,SalesRevenueNet,ShareBasedCompensation,StockholdersEquity,StockIssued1,StockIssuedDuringPeriodSharesShareBasedCompensation,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValuePurchaseOfAssets,StockIssuedDuringPeriodValueShareBasedCompensation,StockIssuedDuringPeriodValueShareBasedCompensationGross,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2016-12-31,2017-04-14,10-K,HIGH DESERT HOLDING CORP.,HGHH,CIK0001665421,USD,,67851.0,40411.0,0.0,45000.0,1044677.0,0.0,980536.0,536.0,536.0,0.0,-1475.0,0.001,70000000.0,37965000.0,37965000.0,37965.0,54300.0,,68000.0,0.0,68000.0,0.0,9000.0,,0.0,0.0,0.35,-0.35,,0.0,80732.0,0.0,0.0,0.0,78915.0,,,,,,,0.0,980536.0,94411.0,697143.0,0.0,0.0,0.0,,-1475.0,-1475.0,-135032.0,135032.0,-135032.0,197000.0,,0.001,5000000.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,282857.0,,-196517.0,,,0.0,54642.0,886125.0,128571.0,,45000.0,,128571.0,,9642.0,47000.0,37887945.0
2017-03-31,2017-05-08,10-Q,HIGH DESERT HOLDING CORP.,HGHH,CIK0001665421,USD,,60000.0,8594.0,,,1049652.0,0.0,906512.0,6190.0,540.0,0.0,5004.0,0.001,70000000.0,37990000.0,37990000.0,37990.0,1954.0,,,,,,9000.0,,0.0,,,,,-32503.0,27750.0,,,0.0,-7851.0,-16817.0,,,,650.0,,0.0,906512.0,77594.0,697143.0,5000.0,5000.0,47175.0,47175.0,-47171.0,-47171.0,-62207.0,62207.0,-62207.0,,,0.001,5000000.0,0.0,0.0,0.0,650.0,5000.0,,,,47175.0,,203179.0,-79678.0,-258724.0,,2825.0,0.0,0.0,828918.0,0.0,,,,,,,,37982500.0
2017-06-30,2017-08-14,10-Q,HIGH DESERT HOLDING CORP.,HGHH,CIK0001665421,USD,,86945.0,2600.0,9300.0,,1049652.0,,910399.0,10077.0,777.0,0.0,,0.001,70000000.0,37990000.0,37990000.0,37990.0,-7600.0,-7600.0,,,,,9000.0,,0.0,,,,,0.0,24664.0,,,,,,,,,,,,910399.0,98545.0,697143.0,,,,,,,-17064.0,17064.0,-17064.0,,,0.001,5000000.0,0.0,0.0,0.0,,,,,,,,203179.0,-79678.0,-275788.0,0.0,,0.0,,811854.0,,,,,,,,,37990000.0
2017-09-30,2017-11-13,10-Q,HIGH DESERT HOLDING CORP.,HGHH,CIK0001665421,USD,,102214.0,3300.0,0.0,,1049652.0,,900470.0,148.0,148.0,0.0,,0.001,70000000.0,37990000.0,37990000.0,37990.0,3300.0,3300.0,,,,,9000.0,,0.0,,,,,0.0,22598.0,,,,,,,,,,,,900470.0,114514.0,697143.0,,,,,,,-25898.0,25898.0,-25898.0,,,0.001,5000000.0,0.0,0.0,0.0,,,,,,,,203179.0,79678.0,-301686.0,0.0,,0.0,,785956.0,,,,,,,,,37990000.0
2017-12-31,2018-04-17,10-K,HIGH DESERT HOLDING CORP.,HGHH,CIK0001665421,USD,0.0,105000.0,22768.0,,105000.0,1049652.0,0.0,241.0,241.0,241.0,0.0,-295.0,0.001,70000000.0,37990000.0,37990000.0,37990.0,-2344.0,,257000.0,0.0,257000.0,,9000.0,,-0.03,0.0,0.21,-0.21,,-32503.0,97171.0,900322.0,0.0,0.0,0.0,42357.0,,,,0.0,,0.0,241.0,136768.0,0.0,5000.0,,47175.0,,-52470.0,,-1027652.0,1027652.0,-1027652.0,1224000.0,,0.001,5000000.0,0.0,0.0,0.0,0.0,5000.0,,,,47175.0,0.0,0.0,,-1224169.0,0.0,,0.0,0.0,-136527.0,0.0,,,5000.0,,,,216000.0,37998151.0
2018-03-31,2018-04-30,10-Q,HIGH DESERT HOLDING CORP.,HGHH,CIK0001665421,USD,,120000.0,30335.0,,,1049652.0,0.0,1999.0,1999.0,1999.0,0.0,1758.0,0.001,70000000.0,37990000.0,37990000.0,37990.0,-1550.0,,,,,,9000.0,,0.0,,,,,0.0,22359.0,,,0.0,0.0,22567.0,,,,0.0,,0.0,1999.0,159335.0,0.0,0.0,,0.0,,1758.0,,-20809.0,20809.0,-20809.0,,,0.001,5000000.0,0.0,0.0,0.0,,0.0,,,,0.0,,0.0,,-1244978.0,0.0,,0.0,,-157336.0,,,,,,,,,37990000.0
2018-06-30,2018-08-03,10-Q,HIGH DESERT HOLDING CORP.,HGHH,CIK0001665421,USD,,135000.0,0.0,,,1049652.0,,36652.0,36652.0,36652.0,0.0,,0.001,70000000.0,37990000.0,37990000.0,37990.0,,0.0,,,,,0.0,,0.0,,,,,82500.0,23512.0,,,,,,,,,,,,36652.0,135000.0,,,,,,,,58988.0,-58988.0,58988.0,,0.0,0.001,5000000.0,0.0,0.0,0.0,,,,,,82500.0,,,,-1185990.0,0.0,,,,-98348.0,,,,,,,,,37990000.0
2018-09-30,2018-10-30,10-Q,HIGH DESERT HOLDING CORP.,HGHH,CIK0001665421,USD,,150000.0,4038.0,,,1049652.0,,14477.0,14477.0,10357.0,0.0,,0.001,70000000.0,37990000.0,37990000.0,37990.0,,16483.0,,,,,0.0,,0.0,,,,16483.0,0.0,24730.0,,,,,,,,,,,,14477.0,154038.0,,,,,,,,-41213.0,41213.0,-41213.0,,,0.001,5000000.0,0.0,0.0,0.0,4120.0,,,,,,,,,-1227303.0,0.0,,,,-139561.0,,,,,,,,,37990000.0
2018-12-31,2019-03-21,10-K,HIGH DESERT HOLDING CORP.,HGHH,CIK0001665421,USD,6100.0,6100.0,409.0,,165000.0,1049652.0,0.0,2513.0,2513.0,363.0,0.0,122.0,0.001,70000000.0,37990000.0,37990000.0,37990.0,14933.0,,264000.0,0.0,264000.0,,0.0,55000.0,0.0,0.0,0.21,-0.21,,82500.0,100036.0,0.0,0.0,0.0,6100.0,28641.0,,,,2150.0,,0.0,2513.0,171509.0,0.0,0.0,,82500.0,,-82378.0,,-32469.0,32469.0,-32469.0,1257000.0,,0.001,5000000.0,0.0,0.0,0.0,2150.0,0.0,,,,82500.0,0.0,,,-1256638.0,0.0,,,0.0,-168996.0,,,,,,,,7000.0,37990000.0
2019-03-31,2019-05-15,10-Q,HIGH DESERT HOLDING CORP.,HGHH,CIK0001665421,USD,,7407.0,7709.0,,175000.0,1049652.0,,321.0,321.0,321.0,0.0,-42.0,0.001,70000000.0,37990000.0,37990000.0,37990.0,0.0,,,,,,,60000.0,0.0,,,,,,20799.0,,,0.0,1307.0,17300.0,,,,-2150.0,,0.0,321.0,190116.0,,,,,,-42.0,,-20799.0,20799.0,-20799.0,,,0.001,5000000.0,0.0,0.0,0.0,0.0,,,,,,,,,-1277437.0,0.0,,,,-189795.0,,,,,,,,,37990000.0
