end,filed,form,Name,Ticker,CIK,Currency,AccountsPayable,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsPayableOtherCurrent,AccountsPayableRelatedParties,AccountsPayableRelatedPartiesCurrent,AccountsPayableRelatedPartiesCurrentAndNoncurrent,AccountsReceivableGrossCurrent,AccountsReceivableNetCurrent,AccruedLiabilities,AccruedLiabilitiesCurrent,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalOther,AllowanceForDoubtfulAccountsReceivableCurrent,AmortizationOfIntangibleAssets,Assets,AssetsCurrent,AuctionMarketPreferredSecuritiesStockSeriesLiquidationValue,BorrowedFunds,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,ClassOfWarrantOrRightOutstanding,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CommonStockValueOutstanding,ConvertiblePreferredStockSharesIssuedUponConversion,CostOfServices,CostsAndExpenses,DebtConversionConvertedInstrumentAmount1,DebtConversionOriginalDebtAmount1,DebtInstrumentFaceAmount,DebtInstrumentIncreaseAccruedInterest,DebtInstrumentInterestRateDuringPeriod,DebtInstrumentInterestRateStatedPercentage,DebtRelatedCommitmentFeesAndDebtIssuanceCosts,DeferredRevenue,DeferredRevenueAdditions,DeferredRevenueCurrent,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DerivativeLiabilities,DerivativeLiabilityFairValueNet,DerivativeLiabilityFairValueNet1,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationDeductions,EmbeddedDerivativeGainLossOnEmbeddedDerivativeNet,EmbeddedDerivativeLossOnEmbeddedDerivative,EquityMethodInvestmentOwnershipPercentage,FiniteLivedIntangibleAssetsGross,FiniteLivedIntangibleAssetsNet,FreshStartAdjustmentIncreaseDecreaseAdditionalPaidInCapital,FreshStartAdjustmentIncreaseDecreaseCurrentLiabilities,GainLossOnDispositionOfIntangibleAssets,GainLossOnSaleOfDerivatives,GrossProfit,HeldtomaturitySecuritiesInUnrealizedLossPositionsQualitativeDisclosureOtherFairValueVolatilityRate,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsPerBasicShare,IncomeTaxesPaid,IncreaseDecreaseInAccountsAndOtherReceivables,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableAndOtherOperatingLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInOtherLoans,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,InterestExpense,InterestExpenseDebt,InterestExpenseRelatedParty,InterestPaidNet,InterestPayableCurrent,LeaseAndRentalExpense,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LineOfCreditFacilityMaximumBorrowingCapacity,LitigationSettlementGross,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NonoperatingIncomeExpense,NotesPayableCurrent,NotesPayableRelatedPartiesClassifiedCurrent,NotesPayableRelatedPartiesCurrent,NotesPayableRelatedPartiesCurrentAndNoncurrent,OfficersCompensation,OperatingIncomeLoss,OperatingLeasesRentExpenseMinimumRentals,OperatingLeasesRentExpenseNet,OperatingLeasesRentExpenseSubleaseRentals1,OperatingLossCarryforwards,OtherAccruedLiabilitiesCurrent,OtherExpenses,OtherGeneralAndAdministrativeExpense,OtherPrepaidExpenseCurrent,PreferredStockAdditionalSeriesNoParValue,PreferredStockAdditionalSeriesSharesIssued,PreferredStockAdditionalSeriesSharesOutstanding,PreferredStockDividendsAndOtherAdjustments,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PreferredStockValueOutstanding,PrepaidExpenseAndOtherAssetsCurrent,ProceedsFromLongTermLinesOfCredit,ProceedsFromSaleOfIntangibleAssets,ProceedsFromSecuredLinesOfCredit,ProceedsFromSecuredNotesPayable,ProfitLoss,ReceivablesNetCurrent,RelatedPartyTransactionAmountsOfTransaction,RetainedEarningsAccumulatedDeficit,Revenues,SellingGeneralAndAdministrativeExpense,ShareBasedCompensationArrangementByShareBasedPaymentAwardNonOptionEquityInstrumentsForfeituresAndExpirations,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsForfeituresInPeriodWeightedAverageExercisePrice,ShareBasedGoodsAndNonemployeeServicesTransactionValuationMethodRiskFreeInterestRate,SharesIssued,StockholdersEquity,StockholdersEquityPeriodIncreaseDecrease,StockIssued1,StockIssuedDuringPeriodSharesStockOptionsExercised,StockIssuedDuringPeriodValueIssuedForNoncashConsiderations,TaxCreditCarryforwardValuationAllowance,TradingGainsLosses,UnrecognizedTaxBenefitsResultingInNetOperatingLossCarryforward,ValuationAllowanceAmount,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2008-03-31,2008-05-07,10-Q,"LOGICQUEST TECHNOLOGY, INC.",LOGQ,CIK0000768216,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3750.0,,,,0.25,3750.0,,,,,,,,,,,,,,,,,
2008-06-30,2008-07-30,10-Q,"LOGICQUEST TECHNOLOGY, INC.",LOGQ,CIK0000768216,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2917.0,,,,0.25,2917.0,,,,,,,,,,,,,,,,,
2008-09-30,2008-10-23,10-Q,"LOGICQUEST TECHNOLOGY, INC.",LOGQ,CIK0000768216,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417.0,,,,0.25,417.0,,,,,,,,,,,,,,,,,
2008-12-31,2009-04-13,10-K,"LOGICQUEST TECHNOLOGY, INC.",LOGQ,CIK0000768216,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413.0,,,,0.25,413.0,,,,,,,,,,,,,,,,,
2009-12-31,2010-03-15,10-K,"LOGICQUEST TECHNOLOGY, INC.",LOGQ,CIK0000768216,USD,,,,,,,,,,,,,,,,,,,,27084.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1323355.0,,,,,,,,,,,,,
2010-06-30,2010-07-26,10-Q,"LOGICQUEST TECHNOLOGY, INC.",LOGQ,CIK0000768216,USD,,,,,,,,,,,,,,,,,,,,30234.0,,,,,,,,,,40335.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156000.0,30674.0,,-30981.0,0.0,,,,,,,,,,,,-45644.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79375.0,,,,71009.0,61655.0,,,,,,,,,,,,,,,,,,,,,,,,26033565.0
2010-09-30,2010-11-08,10-Q,"LOGICQUEST TECHNOLOGY, INC.",LOGQ,CIK0000768216,USD,,,,,,,,,,,,,,,,,,,,8991.0,,,,,,,,,,38097.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0,31093.0,,-51380.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-48380.0,,,,69190.0,82473.0,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,2011-03-14,10-K,"LOGICQUEST TECHNOLOGY, INC.",LOGQ,CIK0000768216,USD,20969.0,,20969.0,,139092.0,,139092.0,,5361.0,52918.0,52918.0,22160286.0,,,,,32436.0,600000.0,,10213.0,-16871.0,16241133.0,0.001,50000000.0,26033565.0,,,26034.0,,161768.0,24202.0,84740.0,,,,,,,11207.0,-935.0,,,,,22000.0,,,70481.0,,,,,,,,,,,,3000.0,121451.0,,-164130.0,-0.01,,,,-3842.0,,43328.0,87108.0,,81884.0,,,84486.0,,,0.0,,,32436.0,1516667.0,,,0.0,-16871.0,-245616.0,,,,1200000.0,1200000.0,,,,,,,,,,16862.0,0.001,48.0,10.0,84740.0,0.001,,,48.0,0.0,,,,,,,-245616.0,5361.0,0.0,-23670551.0,283219.0,285581.0,,,,,6905433.0,0.29,,,,,,-1484231.0,,0.0,,,,-3000.0,,,,,,
2011-06-30,2011-07-21,10-Q,"LOGICQUEST TECHNOLOGY, INC.",LOGQ,CIK0000768216,USD,33332.0,,,,219896.0,,,,,9741.0,211257.0,22160286.0,,,,,23646.0,600000.0,,7709.0,,,0.001,50000000.0,26033565.0,,,26034.0,,37195.0,,,,,,,,,12055.0,,,,,,38000.0,,,,,,,,,,,,,,,-3000.0,21918.0,,-47896.0,0.0,,,,,,,,,,,,75999.0,,,,,,23646.0,1754281.0,,,,,,,,,1230000.0,,,,,,,,,,,10589.0,0.001,48.0,10.0,,0.001,,,,,,,,,,,-126895.0,5348.0,,-23916955.0,59113.0,69814.0,,,,,,,,,,,,-1730635.0,,,,,,,,,,,,26033565.0
2011-09-30,2011-10-14,10-Q,"LOGICQUEST TECHNOLOGY, INC.",LOGQ,CIK0000768216,USD,22532.0,,,,275570.0,,,,,24540.0,287761.0,22160286.0,,,,,23160.0,600000.0,,9100.0,,,0.001,50000000.0,26033565.0,,,26034.0,,35006.0,,,,,,,,,14231.0,,,,,,4000.0,,,,,,,,,,,,,,,34000.0,19043.0,,-62335.0,0.0,,,,,,,,,,,,76504.0,,,,,,23160.0,1858634.0,,,,,,,,,1230000.0,,,,,,,,,,,10587.0,0.001,48.0,10.0,,0.001,,,,,,,,,,,-104839.0,3473.0,,-24021794.0,54049.0,81378.0,,,,,,,,,,,,-1835474.0,,,,,,,,,,,,
