end,filed,form,Name,Ticker,CIK,Currency,AccountsNotesAndLoansReceivableNetCurrent,AccountsPayable,AccountsPayableCurrent,AccountsPayableCurrentAndNoncurrent,AccountsReceivableRelatedParties,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalConvertibleDebtWithConversionFeature,AdjustmentsToAdditionalPaidInCapitalStockIssuedIssuanceCosts,AreaOfLand,Assets,AssetsCurrent,AssetsNoncurrent,BusinessAcquisitionSharePrice,CapitalUnitsAuthorized,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashAndDueFromBanks,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscribedButUnissued,CommonStockSharesSubscribedButUnissuedValue,CommonStockValue,ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,ConstructionInProgressGross,CostsAndExpenses,CurrentFederalTaxExpenseBenefit,CustomerDepositsCurrent,DebtInstrumentDecreaseForgiveness,DebtInstrumentIncreaseAccruedInterest,DeferredTaxAssetsCapitalLossCarryforwards,DeferredTaxAssetsGross,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DeferredTaxAssetsValuationAllowanceCurrent,DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax,DueFromRelatedParties,DueFromRelatedPartiesCurrent,DueToRelatedPartiesCurrent,DueToRelatedPartiesCurrentAndNoncurrent,EarningsPerShareBasicAndDiluted,EarningsPerShareDilutedUndistributed,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EquityMethodInvestmentAggregateCost,EquityMethodInvestmentOwnershipPercentage,EquityMethodInvestments,ExplorationExpense,GainOrLossOnSaleOfStockInSubsidiary,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,Goodwill,ImpairmentOfLeasehold,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeInterestExpenseInterestIncomeIncomeTaxesExtraordinaryItemsNoncontrollingInterestsNet,IncomeLossFromDiscontinuedOperationsNetOfTax,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationOtherReconcilingItems,IncreaseDecreaseInAccountsAndNotesReceivable,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInCustomerDeposits,IncreaseDecreaseInDueFromRelatedParties,IncreaseDecreaseInDueToOfficersAndStockholders,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInInventories,IncreaseDecreaseInOtherAccountsPayable,IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInOtherCurrentAssets,IncreaseDecreaseInOtherReceivables,IncreaseDecreaseInPrepaidExpense,IntangibleAssetsNetIncludingGoodwill,InterestExpense,InterestIncomeExpenseNet,InterestPaidNet,InterestPayableCurrent,InterestPayableCurrentAndNoncurrent,InventoryNet,InvestmentIncomeNet,LesseeOperatingLeaseLiabilityPaymentsDue,LesseeOperatingLeaseLiabilityPaymentsDueNextTwelveMonths,LesseeOperatingLeaseLiabilityPaymentsDueYearThree,LesseeOperatingLeaseLiabilityPaymentsDueYearTwo,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesNoncurrent,LongTermDebt,LossContingencyDamagesSoughtValue,MarketingAndAdvertisingExpense,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAttributableToNoncontrollingInterest,NetIncomeLossAttributableToParentDiluted,NetIncomeLossAvailableToCommonStockholdersBasic,NoncontrollingInterestDecreaseFromDeconsolidation,NoncontrollingInterestIncreaseFromBusinessCombination,NonoperatingIncomeExpense,NotesPayable,NotesPayableRelatedPartiesCurrent,NotesReduction,OperatingExpenses,OperatingIncomeLoss,OperatingLeaseLiability,OperatingLeaseLiabilityCurrent,OperatingLeasePayments,OperatingLeaseRightOfUseAsset,OperatingLossCarryforwards,OtherAssets,OtherAssetsCurrent,OtherNoncashExpense,OtherNonoperatingIncome,OtherNonoperatingIncomeExpense,OtherReceivablesNetCurrent,PartnersCapitalIncludingPortionAttributableToNoncontrollingInterest,PaymentsToAcquireLand,PaymentsToAcquireMineralRights,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PrepaidExpense,PrepaidTaxes,ProceedsFromBankDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromLoans,ProceedsFromOtherDebt,ProceedsFromOtherEquity,ProceedsFromRelatedPartyDebt,ProfessionalFees,ProfitLoss,RealEstateAssetsHeldForDevelopmentAndSale,RealEstateHeldForDevelopmentAndSale,RealEstateInvestments,RepaymentsOfBankDebt,RepaymentsOfRelatedPartyDebt,RestrictedCash,RestrictedCashCurrent,RetainedEarningsAccumulatedDeficit,Revenues,ShortTermBorrowings,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssued,StockIssuedDuringPeriodSharesConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueNewIssues,TaxesExcludingIncomeAndExciseTaxes,UtilitiesOperatingExpenseImpairments,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2008-09-30,2009-01-13,10-K,Ameritrust Corporation,ATCC,CIK0001372954,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-75751.0,,,,,,,,,,,,-72516.0,,,,,,,,,
2009-09-30,2010-01-13,10-K,Ameritrust Corporation,ATCC,CIK0001372954,USD,,,,,,,,,,,,,,,1572.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-126550.0,,,,,,,,,,,,-199066.0,,,,,,,,,
2010-06-30,2010-08-20,10-Q,Ameritrust Corporation,ATCC,CIK0001372954,USD,,,,,,,,,,,,,,,103344.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3673.0,,,-20167.0,,-18756.0,-8585.0,,,,,,,,,,,,,,,,,,,-1411.0,,,,,,,,,,,,,,,,,495.0,,,,-28752.0,85.0,-28667.0,,,,,,,,18756.0,,,,,,,,,,,,,,,,,,,,,,,,,,14588.0,,,,,,,,,,,,,,,,,,,,,,96525000.0
2010-09-30,2011-01-12,10-K,Ameritrust Corporation,ATCC,CIK0001372954,USD,,171.0,,,,-32775.0,,,,30023.0,30023.0,,,,10252.0,8680.0,,,,,,,,273740.0,273740.0,96775.0,-166.0,,,,,,,,,,,,-97920.0,,,,,0.0,0.0,,,,,32422.0,97920.0,,11559.0,,,-138665.0,,-133035.0,-16577.0,,,,-7379.0,,,,,5630.0,,,,4854.0,,,,-17989.0,,-5630.0,,,,,,,,,,,171.0,30023.0,171.0,,,,4610.0,166306.0,-30000.0,-127626.0,-57322.0,166.0,-57156.0,,936.0,,,,0.0,118846.0,133035.0,,,,,,,,,,,,,,,-30000.0,,,19771.0,,,,,11412.0,154894.0,,41944.0,-57322.0,,,,,,,,-307888.0,,,29852.0,29852.0,12500.0,,,12500.0,,42500.0,,,96575684.0
2010-12-31,2011-02-14,10-Q,Ameritrust Corporation,ATCC,CIK0001372954,USD,,,,,,,,,,,,,,,119286.0,109034.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,28113.0,,,6818.0,,,-109196.0,,-109196.0,,,,,-7.0,,,,,,,,,,,,,15463.0,,,,,,,,,,,,,,,,,,,13715.0,202760.0,-40000.0,-53726.0,-109196.0,,-109196.0,,,,,,,,109196.0,,,,,,,,,,,,,,,-40000.0,,,,,,46260.0,6500.0,,150000.0,,20550.0,,,,,,,,,,,,,,,,,,,40000.0,,,101854347.0
2011-06-30,2011-08-15,10-Q,Ameritrust Corporation,ATCC,CIK0001372954,USD,,189.0,,,,459975.0,,,,48807.0,48807.0,,,,37286.0,,,,,,,,,,106000.0,105025.0,,,,,,,,,,,,,,,,,,,,,,,,17190.0,,,3913.0,,,-39653.0,,-39653.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6689.0,48807.0,6689.0,,,,,,,,-39653.0,,-39653.0,,,,,,6500.0,,39653.0,,,,,,,,,,,,,,,,,,11521.0,,,,,,,,18550.0,,,,,,,,,-628882.0,,,42118.0,,,,,,,,,,105025000.0
2011-09-30,2011-12-27,10-K,Ameritrust Corporation,ATCC,CIK0001372954,USD,,1269.0,,,,459975.0,,,,17260.0,17260.0,,,,7073.0,-3179.0,,,,,,,,106000.0,106000.0,105025.0,,,,,,,,,,,,,,,,,,0.0,,,,,,111218.0,0.0,,20517.0,,,-353621.0,,-353621.0,,,,,1098.0,,,,,,,,,,,,,9584.0,,,,,,,,,,,,,7769.0,17260.0,7769.0,,,,19565.0,308760.0,-90000.0,-221939.0,-353621.0,0.0,-353621.0,,,,,,6500.0,,353621.0,,,,,,,,,,,,,,,-90000.0,,,10187.0,,,196260.0,6500.0,,106000.0,,81321.0,-353621.0,,,,,,,,-661509.0,,,9491.0,9491.0,31000.0,,,227260.0,,121000.0,,,102845412.0
2011-12-31,2012-02-08,10-Q,Ameritrust Corporation,ATCC,CIK0001372954,USD,,1327.0,,,,571575.0,,,,11998.0,11998.0,,,,8560.0,1487.0,,,,,,,,,,117425.0,,,,,,,,,,,,,,,,,,0.0,,,,,,1000.0,,,3561.0,,,-23320.0,,-23320.0,,,,,-58.0,,,,,,,,,,,,,6749.0,,,,,,,,,,,,,7827.0,11998.0,7827.0,,,,195.0,17000.0,,-15513.0,-23320.0,,-23320.0,,,,,,6500.0,,23320.0,,,,,,,,,,,,,,,,,,3438.0,,,17000.0,,,,,17564.0,,,,,,,,,-684829.0,,,4171.0,,1000.0,,,,,1000.0,,,107457608.0
2019-09-30,2019-11-12,10-K,Ameritrust Corporation,ATCC,CIK0001372954,USD,,,5250.0,5250.0,,459270.0,-15000.0,,,0.0,,,,,,,,1217845.0,,0.001,400000000.0,267675000.0,267675000.0,,,267675.0,,,,7594.0,,,,150334.0,157667.0,157667.0,157667.0,92890.0,,,,1500.0,1500.0,-0.0002,,0.21,,,,,,,3768.0,,,,-36164.0,,,-7594.0,110223.0,,-10889.0,,-1500.0,,,,,549.0,,,,,,,,15755.0,,,549.0,549.0,,,,,,,25097.0,0.0,25097.0,,,,,33004.0,,-33004.0,-36164.0,,,,,,,17798.0,,,20409.0,-20409.0,,,,,752043.0,,,21161.0,,-15755.0,,,,,0.01,,,,,,,,,33004.0,16641.0,-36164.0,,,,,,,,-752042.0,,,-20396961.0,,,,21161.0,,,,,223291438.0,
2019-12-31,2020-02-11,10-Q,Ameritrust Corporation,ATCC,CIK0001372954,USD,,,1000.0,,,459270.0,,,,0.0,,,,,,,,,,0.001,400000000.0,267675000.0,267675000.0,,,267675.0,,,,810.0,,,910.0,150334.0,158477.0,158477.0,158477.0,810.0,,,,2000.0,,0.0,,,,,,,,,1142.0,,,,,,,-810.0,110223.0,,500.0,,-4250.0,,,,,361.0,,,,,,,,361.0,,,910.0,,,,,,,,28955.0,0.0,28955.0,,,,,7247.0,,-7247.0,-5183233.0,,,,,,,25045.0,,,3497.0,-3497.0,,,,,755900.0,,,,,,,,,,,,,,,,,,,7247.0,2355.0,-3858.0,,,,,,,,-755900.0,,,-25580194.0,,,,,,,,,276675000.0,
