end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccountsPayableRelatedPartiesCurrent,Assets,AssetsNet,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommonStockNoParValue,CommonStockParOrStatedValuePerShare,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,EarningsPerShareBasic,FairValueOfAssetsAcquired,GainLossOnSaleOfTrustAssetsToPayExpenses,GrossProfit,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInOtherAccountsPayable,IncreaseDecreaseInReceivables,InvestmentInPhysicalCommodities,InvestmentInPhysicalCommoditiesFairValueDisclosure,InvestmentOwnedAtCost,InvestmentOwnedAtFairValue,InvestmentOwnedBalanceOtherMeasure,InvestmentOwnedPercentOfNetAssets,InvestmentRelatedLiabilities,Liabilities,LiabilitiesAndStockholdersEquity,LiabilityForUncertainTaxPositionsNoncurrent,NetAssetValuePerShare,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NewAccountingPronouncementOrChangeInAccountingPrincipleEffectOfAdoptionQuantification,NewAccountingPronouncementOrChangeInAccountingPrincipleEffectOfChangeOnNetIncome,NonInvestmentAssetsLessNonInvestmentLiabilities,NonInvestmentAssetsLessNonInvestmentLiabilitiesPercentOfNetAssets,OperatingExpenses,OtherCostAndExpenseOperating,PaymentsForOperatingActivities,PaymentsForRepurchaseOfCommonStock,ProceedsFromCustomers,ProceedsFromIssuanceOfCommonStock,RealizedInvestmentGainsLosses,ReceivablesNetCurrent,RetainedEarningsAccumulatedDeficit,SharesOutstanding,SponsorFees,StockholdersEquity,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueNewIssues,StockRedeemedOrCalledDuringPeriodShares,StockRedeemedOrCalledDuringPeriodValue,StockRepurchasedDuringPeriodShares,StockRepurchasedDuringPeriodValue,WeightedAverageNumberOfSharesOutstandingBasic
2009-12-31,2010-03-31,10-K,Aberdeen Standard Silver ETF Trust,SIVR,CIK0001450922,USD,,,,,0.0,,,,9200000.0,,156066000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-16842000.0,,,,,,,,,,
2010-03-31,2010-05-17,10-Q,Aberdeen Standard Silver ETF Trust,SIVR,CIK0001450922,USD,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,2010-08-13,10-Q,Aberdeen Standard Silver ETF Trust,SIVR,CIK0001450922,USD,,,,,0.0,0.0,,,,,,0.02,29647963.0,,12578.0,,9086.0,,0.0,,,,,,,,,,,,0.0,193260.0,,,,,109432.0,,0.0,-1885793.0,0.0,29647963.0,,,,,109432.0,,,,,,,,7975824.0
2010-09-30,2010-11-12,10-Q,Aberdeen Standard Silver ETF Trust,SIVR,CIK0001450922,USD,,,,,0.0,0.0,,,,,,-0.01,45221810.0,,15007.0,,11803.0,,4398259.0,,,,,,,,,,,,0.0,-121752.0,,,,,136759.0,,0.0,0.0,0.0,49620178.0,,,,,136759.0,,,,,,,,9534783.0
2010-12-31,2011-03-15,10-K,Aberdeen Standard Silver ETF Trust,SIVR,CIK0001450922,USD,0.0,124332.0,335456828.0,,0.0,0.0,0.0,,16700000.0,16700000.0,509311000.0,0.83,247261376.0,,81000.0,0.0,124000.0,0.0,6100000.0,,,,,,,,124332.0,335456828.0,,,0.0,8142000.0,,,,,596000.0,,0.0,65395000.0,0.0,253362000.0,,6099633.0,-173978000.0,,595965.0,,11200000.0,253362000.0,,,3700000.0,65395000.0,9847671.0
2011-03-31,2011-05-10,10-Q,Aberdeen Standard Silver ETF Trust,SIVR,CIK0001450922,USD,,,,,0.0,0.0,,,,,,0.18,78728141.0,,115599.0,335272.0,49935.0,,-5204091.0,,,,,,,,,,,,0.0,2988158.0,,,,,409883.0,,0.0,-11313040.0,0.0,83596959.0,,,,,409883.0,,,,,,,,17072223.0
2011-06-30,2011-08-05,10-Q,Aberdeen Standard Silver ETF Trust,SIVR,CIK0001450922,USD,,153119.0,427806229.0,,0.0,0.0,0.0,,17900000.0,17900000.0,623220473.0,2.53,94405843.0,,212400.0,,-21147.0,0.0,-11303725.0,,,,,,,,153119.0,427806229.0,,,0.0,46675275.0,,,,,520410.0,,0.0,113064130.0,0.0,83102118.0,,0.0,-195567363.0,,520410.0,,,,,,,,18482418.0
2011-09-30,2011-11-09,10-Q,Aberdeen Standard Silver ETF Trust,SIVR,CIK0001450922,USD,,145961.0,521622214.0,,0.0,0.0,,,19400000.0,19400000.0,586857521.0,1.45,152275974.0,,173946.0,,-7158.0,0.0,6050078.0,,,,,,,,145961.0,521622214.0,,,0.0,27423854.0,,,,,516410.0,,0.0,91926762.0,0.0,158326052.0,,6050078.0,-65381268.0,,516410.0,,,,,,,,18864130.0
2011-12-31,2012-03-07,10-K,Aberdeen Standard Silver ETF Trust,SIVR,CIK0001450922,USD,8392292.0,140160.0,524563000.0,,0.0,0.0,,,19100000.0,19100000.0,534305000.0,4.18,348314831.0,,610000.0,8392292.0,16000.0,8392000.0,-6100000.0,524563000.0,,,,19263211.3,,,8532000.0,524563000.0,,,0.0,77476000.0,,,,,1956000.0,,0.0,238993000.0,0.0,342215000.0,,0.0,-18274000.0,,1955837.0,,8900000.0,342215000.0,,,6500000.0,238993000.0,18526027.0
2012-03-31,2012-05-10,10-Q,Aberdeen Standard Silver ETF Trust,SIVR,CIK0001450922,USD,0.0,153448.0,510159545.0,,0.0,0.0,,,18800000.0,18800000.0,604776805.0,0.2,13032090.0,,52000.0,-8392292.0,13000.0,-8392000.0,0.0,,,,,,,,153448.0,510159545.0,,,0.0,3845000.0,,,,,451000.0,,0.0,22901000.0,0.0,13032000.0,,,-94770708.0,,450887.0,,,,,,,,18809890.0
2012-06-30,2012-08-09,10-Q,Aberdeen Standard Silver ETF Trust,SIVR,CIK0001450922,USD,,116358.0,477903615.0,,0.0,0.0,,,17800000.0,17800000.0,477787257.0,-0.28,,,53000.0,,-37000.0,0.0,0.0,,,,,,,,116358.0,477903615.0,,,0.0,-5049000.0,,,,,398000.0,,0.0,38534000.0,0.0,11364000.0,,,0.0,,397875.0,,,,,,,,18270330.0
2012-09-30,2012-11-09,10-Q,Aberdeen Standard Silver ETF Trust,SIVR,CIK0001450922,USD,,154323.0,512720571.0,,0.0,0.0,,,18700000.0,18700000.0,641774937.0,0.27,,,8000.0,,38000.0,0.0,6864000.0,,,,,,,,154323.0,512720571.0,,,0.0,4872000.0,,,,,410000.0,,0.0,0.0,0.0,29907000.0,,,-129208689.0,,409684.0,,,,,,,,17963043.0
2012-12-31,2013-02-28,10-K,Aberdeen Standard Silver ETF Trust,SIVR,CIK0001450922,USD,,140323.0,509601000.0,,0.0,0.0,,,18600000.0,18600000.0,551340000.0,0.21,,196000.0,196000.0,,0.0,-8392000.0,8392000.0,509601000.0,,,,18413374.2,,,140000.0,509601000.0,,,0.0,3936000.0,,,,,1708000.0,,0.0,64809000.0,0.0,54303000.0,,,-41879000.0,,1707955.0,,1700000.0,54303000.0,2200000.0,64809000.0,2200000.0,64809000.0,18425410.0
2013-03-31,2013-05-08,10-Q,Aberdeen Standard Silver ETF Trust,SIVR,CIK0001450922,USD,,137345.0,522004000.0,,0.0,0.0,,,19000000.0,19000000.0,538164000.0,0.0,,37000.0,37000.0,,-3000.0,0.0,,,,,,,,,137000.0,522004000.0,,,0.0,34000.0,,,,,414000.0,,0.0,3151000.0,0.0,15523000.0,,,-16297000.0,,413920.0,,500000.0,15523000.0,,,100000.0,3151000.0,18838889.0
2013-06-30,2013-08-08,10-Q,Aberdeen Standard Silver ETF Trust,SIVR,CIK0001450922,USD,,85083.0,343028000.0,,0.0,0.0,,,18400000.0,18400000.0,342943000.0,-8.82,,-28000.0,-28000.0,,-52000.0,0.0,,,,,,,,,85000.0,343028000.0,,,0.0,-165879000.0,,,,,314000.0,,0.0,17653000.0,0.0,4608000.0,,,0.0,,313654.0,,,,,,,,18798901.0
2013-09-30,2013-11-08,10-Q,Aberdeen Standard Silver ETF Trust,SIVR,CIK0001450922,USD,,96232.0,389737000.0,,0.0,0.0,,,18200000.0,18200000.0,389641000.0,2.78,,-93000.0,-93000.0,,11000.0,0.0,0.0,,,,,,,,96000.0,389737000.0,,,0.0,50497000.0,,,,,296000.0,,0.0,7755000.0,0.0,3956000.0,,,0.0,,296160.0,,,,,,,,18150000.0
2013-12-31,2014-02-28,10-K,Aberdeen Standard Silver ETF Trust,SIVR,CIK0001450922,USD,,88391.0,346436000.0,346348000.0,0.0,0.0,,,18000000.0,18000000.0,346348000.0,-8.36,,-163000.0,-163000.0,,-52000.0,0.0,0.0,346436000.0,,346436000.0,346436000.0,17765948.8,1.0003,,88000.0,346436000.0,,,0.0,-154356000.0,,,,,1308000.0,0.0,0.0,32844000.0,0.0,24087000.0,,,0.0,18000000.0,1308257.0,346348000.0,900000.0,24087000.0,1500000.0,32844000.0,1500000.0,32844000.0,18464658.0
2014-03-31,2014-05-12,10-Q,Aberdeen Standard Silver ETF Trust,SIVR,CIK0001450922,USD,,92205.0,366339000.0,366247000.0,,,,,18600000.0,18600000.0,,0.41,,7000.0,,,,,,366339000.0,,358628000.0,366339000.0,18344488.3,1.0003,,92000.0,,,,,7450000.0,,0.0,,,268000.0,0.0,,,,,7000.0,,,18600000.0,267579.0,366247000.0,600000.0,12449000.0,,,,,18140000.0
2014-06-30,2014-08-11,10-Q,Aberdeen Standard Silver ETF Trust,SIVR,CIK0001450922,USD,,96999.0,392845000.0,388635000.0,,,,,18900000.0,18900000.0,,0.9,,5000.0,,,,,,392845000.0,,367804000.0,392845000.0,18823424.4,1.0108,,4210000.0,,,,,17053000.0,,,,,282000.0,0.0,,,,,,,,18900000.0,281968.0,388635000.0,,,,,,,18872527.0
2014-09-30,2014-11-10,10-Q,Aberdeen Standard Silver ETF Trust,SIVR,CIK0001450922,USD,,79048.0,320140000.0,320061000.0,,,,,19000000.0,19000000.0,,-3.72,,9000.0,,,,,,320140000.0,,365596000.0,320140000.0,18710697.4,1.0002,,79000.0,,,,,-70494000.0,,,,,268000.0,0.0,,,,,,,,19000000.0,267898.0,320061000.0,,,,,,,18940217.0
2014-12-31,2015-03-02,10-K,Aberdeen Standard Silver ETF Trust,SIVR,CIK0001450922,USD,,75911.0,293873000.0,293797000.0,,,,0.0,18700000.0,18700000.0,,-3.62,,-11000.0,,,,,,293873000.0,,359027000.0,293873000.0,18401534.5,1.0003,76000.0,76000.0,,0.0,15.71,,-67805000.0,0.0,,,,1056000.0,0.0,,,,,-1595000.0,,,18700000.0,1055956.0,293797000.0,1400000.0,27119000.0,700000.0,11865000.0,,,18748219.0
2015-03-31,2015-05-08,10-Q,Aberdeen Standard Silver ETF Trust,SIVR,CIK0001450922,USD,,76563.0,298709000.0,298633000.0,,,,0.0,18300000.0,18300000.0,,0.68,,-40000.0,,,,,,298709000.0,,349752000.0,298709000.0,17994546.9,1.0003,,76000.0,,0.0,,,12466000.0,,,,,225000.0,0.0,,,,,-1420000.0,,,18300000.0,224585.0,298633000.0,400000.0,6326000.0,800000.0,13956000.0,,,18348889.0
2015-06-30,2015-08-06,10-Q,Aberdeen Standard Silver ETF Trust,SIVR,CIK0001450922,USD,,69450.0,283842000.0,283773000.0,,,,0.0,18400000.0,18400000.0,,-0.89,,-40000.0,,,,,,283842000.0,,350676000.0,283842000.0,18079119.5,1.0002,,69000.0,,0.0,,,-16341000.0,,,,,217000.0,0.0,,,,,,,,18400000.0,217161.0,283773000.0,,,,,,,18258242.0
2015-09-30,2015-11-06,10-Q,Aberdeen Standard Silver ETF Trust,SIVR,CIK0001450922,USD,,66686.0,268975000.0,268908000.0,,,,0.0,18700000.0,18700000.0,,-1.04,,-55000.0,,,,,,268975000.0,,354587000.0,268975000.0,18360038.1,1.0002,,67000.0,,0.0,,,-19487000.0,,,,,210000.0,0.0,,,,,,,,18700000.0,209204.0,268908000.0,,,,,,,18747826.0
2015-12-31,2016-02-29,10-K,Aberdeen Standard Silver ETF Trust,SIVR,CIK0001450922,USD,,63486.0,248122000.0,248059000.0,,,0.0,0.0,18300000.0,18300000.0,,-2.07,,-193000.0,,,,,,248122000.0,248122000.0,346742000.0,248122000.0,17953851.0,1.0003,63000.0,63000.0,,0.0,13.56,,-38302000.0,,,-63000.0,-0.0003,854000.0,0.0,,,,,-3982000.0,,,18300000.0,854317.0,248059000.0,1000000.0,15497000.0,1400000.0,22933000.0,,,18462192.0
2016-03-31,2016-05-06,10-Q,Aberdeen Standard Silver ETF Trust,SIVR,CIK0001450922,USD,,69899.0,277431000.0,277361000.0,,,,0.0,18400000.0,18400000.0,,1.53,,-67000.0,,,,,,277431000.0,277431000.0,347191000.0,277431000.0,18038408.7,1.0003,70000.0,70000.0,,0.0,15.07,,27816000.0,,,,,198000.0,0.0,,,,,-846000.0,,,18400000.0,197943.0,277361000.0,300000.0,4494000.0,200000.0,3008000.0,,,18229670.0
2016-06-30,2016-08-05,10-Q,Aberdeen Standard Silver ETF Trust,SIVR,CIK0001450922,USD,,83704.0,339929000.0,339845000.0,,,,0.0,18900000.0,18900000.0,,2.9,,-41000.0,,,,,,339929000.0,339929000.0,355290000.0,339929000.0,18514641.0,1.0002,84000.0,84000.0,,0.0,17.98,,54123000.0,,,,,235000.0,0.0,,,,,,,,18900000.0,235091.0,339845000.0,,,,,,,18685714.0
2016-09-30,2016-11-04,10-Q,Aberdeen Standard Silver ETF Trust,SIVR,CIK0001450922,USD,,91478.0,373140000.0,373049000.0,,,0.0,,19700000.0,19700000.0,,0.92,,-5000.0,,,,,,373140000.0,373140000.0,370441000.0,373140000.0,19283739.4,1.0002,,91000.0,,0.0,18.94,,17782000.0,,,-91000.0,-0.0002,274000.0,0.0,,,,,,,,19700000.0,274430.0,373049000.0,,,,,,,19312500.0
