end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableAndAccruedLiabilitiesNoncurrent,AccountsPayableAndOtherAccruedLiabilities,AccountsPayableRelatedPartiesCurrent,AccountsReceivableNetCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapital,AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,AllocatedShareBasedCompensationExpenseNetOfTax,Assets,AssetsCurrent,AssetsHeldForSaleNotPartOfDisposalGroupCurrent,AssetsNoncurrent,BusinessAcquisitionCostOfAcquiredEntityTransactionCosts,BusinessAcquisitionProFormaEarningsPerShareBasic,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedAssets,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashEquivalentsAtCarryingValue,CashFDICInsuredAmount,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConversionOfStockAmountIssued1,CostOfGoodsAndServicesSold,CostOfRevenue,CostsAndExpensesRelatedParty,DebtConversionConvertedInstrumentAmount1,DebtConversionOriginalDebtAmount1,DebtCurrent,DebtInstrumentIncreaseAccruedInterest,DebtSecuritiesTradingRealizedGain,DeferredRevenueCurrent,DeferredRevenueRevenueRecognized1,DepreciationAmortizationAndAccretionNet,DepreciationAndAmortization,DepreciationDepletionAndAmortization,DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodBeforeIncomeTax,DueToRelatedPartiesCurrent,DueToRelatedPartiesNoncurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationDeductions,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,FinitelivedIntangibleAssetsAcquired1,Goodwill,GrossProfit,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,IncomeLossFromContinuingOperationsPerBasicShare,IncomeLossFromDiscontinuedOperationsNetOfTax,IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare,IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,IncomeTaxesPaid,IncomeTaxesPaidNet,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccountsReceivableRelatedParties,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInAssetsHeldForSale,IncreaseDecreaseInDeferredRevenue,IncreaseDecreaseInIntangibleAssetsCurrent,IncreaseDecreaseInInventories,IncreaseDecreaseInOtherAccountsPayable,IncreaseDecreaseInOtherCurrentAssets,IncreaseDecreaseInOtherOperatingAssets,IncreaseDecreaseInPrepaidExpensesOther,InsuranceServicesRevenue,IntangibleAssetsCurrent,IntangibleAssetsNetExcludingGoodwill,InterestExpenseRelatedParty,InterestPaid,InterestPaidNet,InterestPayableCurrentAndNoncurrent,InterestReceivable,InterestReceivableNoncurrent,InventoryNet,LegalFees,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesNoncurrent,LongTermDebtCurrent,LossContingencyLossInPeriod,MarketingAndAdvertisingExpense,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NoncashOrPartNoncashAcquisitionIntangibleAssetsAcquired1,NotesAndLoansReceivableGrossCurrent,NotesReceivableRelatedPartiesNoncurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLeasesRentExpenseNet,OperatingLossCarryforwards,OtherAssetsCurrent,OtherAssetsNoncurrent,OtherIncome,OtherLiabilitiesNoncurrent,OtherNoninterestExpense,OtherNonoperatingIncomeExpense,PaidInKindInterest,PaymentsForRent,PaymentsForSoftware,PaymentsToAcquireBusinessesNetOfCashAcquired,PaymentsToAcquireIntangibleAssets,PaymentsToAcquireMachineryAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PrepaidExpenseCurrent,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfDebt,ProceedsFromRelatedPartyDebt,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,PropertyPlantAndEquipmentNetExcludingCapitalLeasedAssets,ProvisionForDoubtfulAccounts,ReceivableWithImputedInterestDiscount,RepaymentsOfDebt,RepaymentsOfSecuredDebt,ResearchAndDevelopmentAssetAcquiredOtherThanThroughBusinessCombinationFairValueAcquired,RetainedEarningsAccumulatedDeficit,Revenues,SalariesAndWages,SellingGeneralAndAdministrativeExpense,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardNonOptionEquityInstrumentsExercised,ShareBasedCompensationArrangementByShareBasedPaymentAwardNonOptionEquityInstrumentsGranted,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingPeriodIncreaseDecreaseWeightedAverageExercisePrice,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueAcquisitions,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueConversionOfUnits,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,StockIssuedDuringPeriodValueStockOptionsExercised,TreasuryStockValue,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2018-10-31,2019-01-11,10-Q,"Everything Blockchain, Inc.",OBTX,CIK0001730869,USD,116524.0,,,,1254530.0,686265.0,3442825.0,,,2450898.0,1662959.0,408166.0,,,,3044444.0,39.0,39.0,,0.0,,0.0001,200000000.0,5460000.0,5460000.0,546.0,,29057.0,180518.0,,,,,,,,,,121159.0,646.0,,,686026.0,,-0.0389,-0.0389,,,,,,,,,,,,-0.0389,,,,,,,,,,,,,,,,,,,,,14523.0,,,,,,,,,,802549.0,4243963.0,802549.0,,,,804.0,,,,,-216184.0,,,,81986.0,-134198.0,,,,,-3.0,,57477.0,,,,,,,,,224.0,,,,2925.0,-216184.0,3137164.0,2566481.0,,,,,,,-1967.0,46320.0,8978.0,11156.0,,,,,,,3441414.0,,,,,,,,,,5560000.0,
2019-01-31,2019-05-01,10-K,"Everything Blockchain, Inc.",OBTX,CIK0001730869,USD,7926.0,,139302.0,,4500.0,686265.0,3486104.0,783651.0,,408315.0,408315.0,408166.0,,,,3044444.0,0.0,,-16350.0,0.0,0.0,0.0001,200000000.0,1046000.0,10460000.0,546.0,,65095.0,160445.0,,,,,,,,,,484634.0,2177.0,10546.0,-438846.0,695680.0,,-0.3813,0.0019,,0.0,0.21,,,-3662.0,,,,-1250000.0,-0.0784,-0.3813,,,,,,81702.0,81502.0,,215486.0,,3527.0,108196.0,,,,,-108196.0,,-149.0,,5576.0,,,,,,,,,,842908.0,408315.0,842908.0,,,0.0,9795.0,171801.0,-114018.0,,-188151.0,-428300.0,,,,337177.0,-54865.0,,,,,-46804.0,,205477.0,,,69.0,,,,,2160.0,149.0,,,198676.0,24249.0,-428300.0,3137164.0,2445322.0,,4500.0,,,26875.0,2160.0,-3921253.0,105580.0,36900.0,56256.0,,,,,,,-434593.0,,,,,,,,,,5460000.0,
2019-04-30,2019-06-18,10-Q,"Everything Blockchain, Inc.",OBTX,CIK0001730869,USD,187935.0,,,,,808069.0,3442825.0,170587.0,,2737358.0,408266.0,408166.0,,,,,,,,,0.0,0.0001,200000000.0,5460000.0,5460000.0,546.0,,,121159.0,,,,,,,,,121805.0,121159.0,646.0,9383.0,-71828.0,718762.0,,-0.01,-0.0327,,,0.21,,,,,,,,-0.01,,,0.0,0.0,,,47348.0,44233.0,,-4500.0,,1359.0,,,,,,,,49.0,,4930.0,,,,,,,,,,906697.0,2737358.0,906697.0,,,0.0,,3083.0,,,-3083.0,-62445.0,,,,71828.0,-121159.0,207.0,,,,-1.0,,42000.0,,,69.0,3129411.0,,7753.0,,,100.0,,,3083.0,12622.0,-62445.0,3137164.0,2324163.0,2329095.0,4500.0,,,,0.0,-1612720.0,,,16999.0,,,,,,-486432.0,1830661.0,10606.0,,,,,,,,,5460000.0,
2019-07-31,2019-09-13,10-Q,"Everything Blockchain, Inc.",OBTX,CIK0001730869,USD,140880.0,89055.0,,,,929876.0,3442335.0,,,2207338.0,50.0,,,,,,0.0,,,,0.0,0.0001,200000000.0,10460000.0,10460000.0,1046.0,,,121159.0,,,,,,,,,,121159.0,646.0,0.0,-41218.0,295001.0,12000.0,,-0.0154,,,,,,,,,-47787.0,,0.0,0.0,,0.0,-0.01,,,,,,,,,,,,,,,,,,4284.0,,,,,,,,,42000.0,536936.0,2207338.0,435881.0,101055.0,,0.0,,,,,,-41218.0,,,,47787.0,-121159.0,207.0,,,,6569.0,,42000.0,,,,,,,,,50.0,,,,90.0,-160259.0,3137164.0,2203004.0,2207288.0,,,,,,-1772979.0,,,5490.0,,,,,,-524886.0,1670402.0,,,,,,,,,,10405652.0,
2019-10-31,2020-03-24,10-Q,"Everything Blockchain, Inc.",OBTX,CIK0001730869,USD,157211.0,114724.0,,,,1051678.0,3442335.0,,,2085483.0,,,,,,,0.0,,,0.0,0.0,0.0001,200000000.0,10460000.0,10460000.0,1046.0,,,0.0,,,,,,,,,,121159.0,646.0,,-45467.0,218263.0,89400.0,,-0.0157,,,,,,,,0.0,,,0.0,0.0,4698.0,0.0,-0.01,,,,,,,,,,,,,,,,,,3638.0,,,,,,,,,42000.0,579598.0,2085483.0,375474.0,204124.0,,0.0,,,,,,-40769.0,,,,45467.0,-45467.0,3007.0,,,,0.0,,42000.0,,,,,,,,,,,,,0.0,-164517.0,3137164.0,2081845.0,,,,,,,-1937496.0,0.0,,460.0,,,,,,-567598.0,1505885.0,,,,,,,,,,10460000.0,
2020-01-31,2020-06-05,10-K,"Everything Blockchain, Inc.",OBTX,CIK0001730869,USD,48940.0,,254495.0,48940.0,0.0,,3500892.0,,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0001,200000000.0,10460000.0,10460000.0,1046.0,0.0,,0.0,,,,,,,,,,,,3526.0,-191718.0,304072.0,,,0.0004,,0.0,0.21,0.21,0.0,,,0.0,,,-0.02,,3526.0,-0.02,,0.0,,156207.0,,,,,0.0,,,,,,,,149.0,,,,,0.0,,,0.0,0.0,0.0,157500.0,607507.0,0.0,607507.0,,,0.0,,16558.0,,-16558.0,-16558.0,-188192.0,,0.0,0.0,168028.0,-168028.0,,4109445.0,0.0,,-23690.0,,157500.0,3526.0,,,,,,,,0.0,0.0,,16558.0,5257.0,-188192.0,,,,,0.0,,,2160.0,-4109445.0,0.0,,5271.0,0.0,0.0,0.0,0.0,0.0,-607000.0,-607507.0,,,500.0,,,,,,,9227123.0,
2020-04-30,2020-07-31,10-Q,"Everything Blockchain, Inc.",OBTX,CIK0001730869,USD,,,119602.0,42307.0,0.0,,51853707.0,,,30.0,30.0,,,,,,15.0,0.0,0.0,0.0,0.0,0.0001,200000000.0,5706317.0,5706317.0,571.0,,,,,,,,,,,,,,,800.0,-48217000.0,311176.0,,-4.93,,,,,,,,,0.0,,,-4.93,-4.93,-1000.0,-4.93,0.0,,0.0,,45000.0,0.0,101000.0,,1000.0,,0.0,,,,,,0.0,,,,,,0.0,,,,15.0,34000.0,473085.0,30.0,473085.0,,,0.0,,15000.0,0.0,-15000.0,-14706.0,-48218000.0,,,,48212000.0,-48212000.0,,,,,-5000.0,,34000.0,,,,,,,,,,0.0,,15000.0,10587.0,-48217968.0,,,,,,,,0.0,-52327413.0,0.0,,48178000.0,48153000.0,,,,,539000.0,-473055.0,,,,,,,,,,9773357.0,
2020-07-31,2020-09-21,10-Q,"Everything Blockchain, Inc.",OBTX,CIK0001730869,USD,,,112000.0,60096.0,0.0,,54824032.0,,,1927726.0,527726.0,,,,-0.18,,95.0,0.0,,0.0,0.0,0.0001,200000000.0,5860158.0,5860158.0,586.0,,,0.0,,,,,,,,,,,0.0,800.0,-1076468.0,334813.0,,-0.18,,-0.18,,,,,,,0.0,-1068991.0,,-0.18,-0.18,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,27616.0,,15.0,0.0,506909.0,1927726.0,506909.0,,,0.0,,,,,,-1076000.0,,,1400000.0,1069000.0,-1069000.0,784.0,,500000.0,,-7000.0,,,,,,,,,,,,,,,29001.0,,,,,,,,,,-53403881.0,0.0,,1069000.0,,,,,,1421000.0,,,,,,,,,,,5881902.0,5881902.0
2020-10-31,2021-01-08,10-Q,"Everything Blockchain, Inc.",OBTX,CIK0001730869,USD,,,36334.0,10650.0,0.0,,54810898.0,,,1593447.0,40413.0,,1553034.0,,-0.02,,65.0,0.0,,65.0,0.0,0.0001,200000000.0,5880163.0,5880163.0,588.0,,,0.0,,,,,,,,,,0.0,,,-139569.0,95909.0,,-0.02,,-0.02,,,,,,,62000.0,,,-0.1,-0.1,0.0,0.0,0.0,,,,,,,,,,,,,,,,,62000.0,,,,,,,,55232.0,15.0,647339.0,297200.0,1593447.0,297200.0,,,0.0,,,,,,-140000.0,,,1400000.0,674000.0,-612000.0,1176.0,,,,472000.0,,,,,,,,,,,250.0,,,,25135.0,,,,,,,,,,-53515319.0,62000.0,,674000.0,,,,,,1296000.0,,,,,,,,,,,5872554000.0,5872554000.0
2021-01-31,2021-05-17,10-K,"Everything Blockchain, Inc.",OBTX,CIK0001730869,USD,6000.0,,13000.0,13000.0,0.0,,54946000.0,,49204508.0,1712000.0,214000.0,,,0.0,,,0.0,0.0,35.0,0.0,0.0,0.0001,200.0,5974125.0,5974125.0,1000.0,,,423145.0,,,,0.0,,,0.0,447673.0,,,,0.0,-49298591.0,0.0,,,,,0.0,0.21,0.21,0.0,,0.0,504369.0,,,-7.2,,0.0,-7.2,,0.0,,,,107990.0,90000.0,,-90435.0,,,-40083.0,,,,,-830.0,,,0.0,,0.0,,90435.0,90000.0,90435.0,0.0,681339.0,173000.0,1712000.0,173000.0,0.0,0.0,0.0,,35000.0,-97803.0,62838.0,,-49298591.0,-97803.0,1400000.0,,49975217.0,-49470848.0,,53408035.0,,0.0,172257.0,0.0,,0.0,,,,,,,,1000.0,35000.0,,0.0,87728.0,,,0.0,,,69443.0,,,,-53408000.0,927514.0,,47699361.0,1506789.0,75000.0,0.0,0.0,1.0,1539000.0,,,,,,1954830.0,,,,0.0,6842909.0,
