end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccruedIncomeTaxes,AccruedIncomeTaxesCurrent,AccruedRoyaltiesCurrent,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AmortizationOfIntangibleAssets,AssetImpairmentCharges,Assets,AssetsCurrent,AssetsNet,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsFairValueDisclosure,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashPeriodIncreaseDecrease,CommonStockDividendsPerShareCashPaid,CommonStockDividendsPerShareDeclared,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscribedButUnissued,CommonStockValue,CostOfRevenue,DebtInstrumentIncreaseAccruedInterest,DebtInstrumentInterestRateStatedPercentage,DeferredIncomeTaxExpenseBenefit,DeferredIncomeTaxLiabilitiesNet,DeferredTaxLiabilities,DepreciationAndAmortization,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DividendsPayableCurrentAndNoncurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,EffectiveIncomeTaxRateContinuingOperations,EquityIssuancePerShareAmount,FairValueAssetsMeasuredOnRecurringBasisChangeInUnrealizedGainLoss,FinanceLeaseRightOfUseAsset,GeneralInsuranceExpense,GrossInvestmentIncomeOperating,GrossProfit,IncomeTaxExpenseBenefit,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndOtherOperatingLiabilities,IncreaseDecreaseInDeferredRevenue,IncreaseDecreaseInInterestAndDividendsReceivable,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInInventories,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInPrepaidExpense,IncreaseDecreaseInRoyaltiesPayable,InterestExpense,InterestPayableCurrent,InvestmentCompanyDistributableEarningsLossAccumulatedAppreciationDepreciation,InvestmentCompanyDistributableEarningsLossAccumulatedLongTermCapitalGainLoss,InvestmentCompanyDistributableEarningsLossAccumulatedOrdinaryIncomeLoss,InvestmentCompanyDistributionToShareholdersPerShare,InvestmentCompanyExpenseRatioAfterIncentiveAllocation,InvestmentCompanyGainLossOnInvestmentPerShare,InvestmentCompanyInvestmentIncomeLossPerShare,InvestmentCompanyInvestmentIncomeLossRatio,InvestmentCompanyRealizedAndUnrealizedGainLossOnInvestmentAndForeignCurrency,InvestmentCompanyTotalReturn,InvestmentIncomeDividend,InvestmentIncomeInterest,InvestmentOwnedAtCost,InvestmentOwnedAtFairValue,InvestmentOwnedPercentOfNetAssets,LaborAndRelatedExpense,LeaseCost,LesseeOperatingLeaseLiabilityPaymentsDue,LesseeOperatingLeaseLiabilityPaymentsDueNextTwelveMonths,LesseeOperatingLeaseLiabilityPaymentsDueYearTwo,LesseeOperatingLeaseLiabilityUndiscountedExcessAmount,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesNoncurrent,NetAssetValuePerShare,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetInvestmentIncome,NoncashOrPartNoncashAcquisitionIntangibleAssetsAcquired1,NoncashOrPartNoncashAcquisitionInventoryAcquired1,NoncashOrPartNoncashAcquisitionPayablesAssumed1,NoninterestExpenseDirectorsFees,NonoperatingIncomeExpense,NotesAssumed1,NotesPayableRelatedPartiesClassifiedCurrent,NotesPayableRelatedPartiesNoncurrent,NotesReceivableNet,OccupancyNet,OperatingExpenses,OperatingIncomeLoss,OperatingLeaseCost,OperatingLeaseLiability,OperatingLeaseLiabilityCurrent,OperatingLeaseRightOfUseAsset,OperatingLeaseWeightedAverageDiscountRatePercent,OperatingLossCarryforwards,OtherGeneralAndAdministrativeExpense,OtherNoncashExpense,PaymentsForRepurchaseOfCommonStock,PaymentsOfDividendsCommonStock,PaymentsToAcquireProductiveAssets,PrepaidExpenseCurrentAndNoncurrent,ProceedsFromIssuanceOfCommonStock,ProceedsFromOtherEquity,ProceedsFromRelatedPartyDebt,RealizedInvestmentGainsLosses,RepaymentsOfShortTermDebt,RetainedEarningsAccumulatedDeficit,Revenues,SaleOfStockPricePerShare,SellingGeneralAndAdministrativeExpense,ShareBasedCompensation,ShortTermLeaseCost,StockholdersEquity,StockIssued1,StockIssuedDuringPeriodSharesIssuedForCash,StockIssuedDuringPeriodSharesPurchaseOfAssets,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValuePurchaseOfAssets,StockIssuedDuringPeriodValueRestrictedStockAwardGross,StockRedeemedOrCalledDuringPeriodShares,StockRedeemedOrCalledDuringPeriodValue,StockRepurchasedDuringPeriodValue,UndistributedEarnings,UnsecuredDebt,VariableLeaseCost,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,CurrentFederalTaxExpenseBenefit,CurrentStateAndLocalTaxExpenseBenefit,DeferredFederalIncomeTaxExpenseBenefit,DeferredStateAndLocalIncomeTaxExpenseBenefit,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxLiabilitiesOther,DeferredTaxLiabilitiesUnrealizedGainsOnTradingSecurities,DefinedContributionPlanCostRecognized,DefinedContributionPlanEmployerMatchingContributionPercent,DefinedContributionPlanEmployerMatchingContributionPercentOfMatch,FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetTransfersIntoLevel3,FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetTransfersOutOfLevel3,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncomeTaxReconciliationOtherAdjustments,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueShareBasedCompensation,StockRepurchaseProgramNumberOfSharesAuthorizedToBeRepurchased
2008-12-31,2009-03-27,10-K,"MILL CITY VENTURES III,Â LTD.",MCVT,CIK0001425355,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-282719.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165212.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-31,2010-02-26,10-K,"MILL CITY VENTURES III,Â LTD.",MCVT,CIK0001425355,USD,,,,,,,,,,,,5464.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-167409.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-37989.0,,,,,,,,,,91667.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,2010-08-09,10-Q,"MILL CITY VENTURES III,Â LTD.",MCVT,CIK0001425355,USD,,,,,,,,,,,,2181.0,,,,,,,,,,,,,,2098.0,,,,,,,,,,0.0,,,,,,,,-1498.0,,,,,,,,,,,2199.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-28648.0,,,,,,-2199.0,,,,,,,-26449.0,,,,,,,,,,,,,,,,,,,600.0,,24951.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-30,2010-11-03,10-Q,"MILL CITY VENTURES III,Â LTD.",MCVT,CIK0001425355,USD,,,,,,,,,,,,4606.0,,,,,,,,,,,,,,2098.0,,,,,,,,,,0.0,,,,,,,,-1498.0,,,,,,,,,,,2624.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-27324.0,,,,,,-2624.0,,,,,,,-24700.0,,,,,,,,,,,,,,,,,,,600.0,,23202.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,2011-03-04,10-K,"MILL CITY VENTURES III,Â LTD.",MCVT,CIK0001425355,USD,8823.0,,,270.0,,714332.0,7582.0,4379.0,3081.0,3081.0,,3081.0,,,,,-2383.0,,,0.001,250000000.0,11008224.0,11008224.0,,11008.0,12111.0,,,,,,,841379.0,,,-0.01,,,,,,,,-9111.0,,-4623.0,,-975.0,,9154.0,,,,150.0,9154.0,4027.0,,,,,,,,,,,,,,,,,,,,,,119120.0,3081.0,107920.0,11200.0,,60000.0,,-62383.0,-148550.0,,,,,,-9154.0,,94800.0,11200.0,,,,-139396.0,,,,,,,,,,,,,,,60000.0,,,,3000.0,,130285.0,60000.0,,-116039.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-31,2011-05-13,10-Q,"MILL CITY VENTURES III,Â LTD.",MCVT,CIK0001425355,USD,,,,,,,,,,,,13854.0,,,,,10773.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,-5943.0,,,,3823.0,,,,,3823.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000.0,,-29227.0,-39107.0,,,,,,-3823.0,,,,,,,-35284.0,,,,,,,,,,,,,,,40000.0,,,,,,35284.0,12000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,2011-08-10,10-Q,"MILL CITY VENTURES III,Â LTD.",MCVT,CIK0001425355,USD,8885.0,,,270.0,,738208.0,,,2964.0,2964.0,,2964.0,,,,,,,,0.001,250000000.0,11132224.0,11132224.0,,11132.0,0.0,,,,,,,913844.0,,,0.0,,,,,,,,0.0,,,,,,,,,,,4463.0,6169.0,,,,,,,,,,,,0.0,,,,,,,,,,167468.0,2964.0,143724.0,23744.0,,,,,-33358.0,,,,,,-4463.0,,128400.0,23744.0,,,,-28895.0,,,,,,,,,,,,,,,,,,,0.0,,28895.0,,,-164504.0,,,,,,,,,,,,,,,,11032224.0,,,,,,,,,,,,,,,,,,,,
2011-09-30,2011-11-09,10-Q,"MILL CITY VENTURES III,Â LTD.",MCVT,CIK0001425355,USD,7910.0,,,270.0,,750160.0,,,10036.0,10036.0,,10036.0,,,,,,,,0.001,250000000.0,11180224.0,11180224.0,,11180.0,,,,,,,,942986.0,,,-0.03,,,,,,,,,,,,,,,,,,,5190.0,,,,,,,,,,,,,,,,,,,,,,,191682.0,10036.0,191682.0,,,,,,-29142.0,,,,,,-5190.0,,183502.0,,,,,-23952.0,,,,,,,,,,,,,,,,,,,,,23952.0,,,-181646.0,,,,,,,,,,,,,,,,1012020.0,,,,,,,,,,,,,,,,,,,,
2011-12-31,2012-02-29,10-K,"MILL CITY VENTURES III,Â LTD.",MCVT,CIK0001425355,USD,3075.0,,,619.0,,772296.0,,,22817.0,22817.0,,22817.0,,,,,19736.0,,,0.001,250000000.0,1043657.0,1043657.0,,1044.0,,,,,,,,968226.0,,,-0.01,,,,,,,,,,-5748.0,,,,18982.0,,,,349.0,18982.0,334.0,,,,,,,,,,,,,,,,,,,,,,217703.0,22817.0,217703.0,0.0,,85000.0,,-65264.0,-126847.0,,,,,,-18982.0,,213675.0,0.0,,,,-107865.0,,,,,,,,,,,,,,,85000.0,,,,,,107865.0,48000.0,,-194886.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-03-31,2012-05-14,10-Q,"MILL CITY VENTURES III,Â LTD.",MCVT,CIK0001425355,USD,14370.0,,,619.0,,773740.0,,,3253.0,3253.0,,3253.0,,,,,-19564.0,,,0.001,250000000.0,11600224.0,11600224.0,,11600.0,,,,,,,,1017495.0,,,0.0,,,,,,,,,,11295.0,,,,6410.0,,,,,6410.0,6076.0,,,,,,,,,,,,,,,,,,,,,,235408.0,3253.0,223601.0,11807.0,,,,-19564.0,-49269.0,,,,,,-6410.0,,202536.0,11807.0,,,,-42859.0,,,,,,,,,,,,,,,,,,,,,42859.0,12000.0,,-232155.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
