end,filed,form,Name,Ticker,CIK,Currency,AcceleratedShareRepurchaseProgramAdjustment,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,AccountsPayableCurrent,AccruedLiabilitiesCurrent,AccruedLiabilitiesCurrentAndNoncurrent,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentsToAdditionalPaidInCapitalOther,AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,AllowanceForLoanAndLeaseLossesAdjustmentsNet,AmortizationAndDepreciationOfDecontaminatingAndDecommissioningAssets,Assets,AssetsCurrent,AssetsFairValueAdjustment,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,ConversionOfStockAmountConverted1,CostsAndExpenses,CumulativeEarningsDeficit,DebtConversionConvertedInstrumentAmount1,DebtConversionConvertedInstrumentSharesIssued1,DebtInstrumentFairValue,DebtInstrumentIncreaseAccruedInterest,DebtInstrumentInterestRateStatedPercentage,DebtInstrumentPeriodicPaymentInterest,DebtInstrumentPeriodicPaymentPrincipal,DeferredStateAndLocalIncomeTaxExpenseBenefit,DeferredTaxAssetsCapitalLossCarryforwards,DeferredTaxAssetsGross,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DepreciationAmortizationAndAccretionNet,DepreciationAndAmortization,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DividendsPaidinkind,DueToAffiliateCurrentAndNoncurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationTaxCredits,FiniteLivedIntangibleAssetsAccumulatedAmortization,FiniteLivedIntangibleAssetsGross,FiniteLivedIntangibleAssetsNet,GainLossOnDispositionOfAssets1,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInNotesPayableRelatedParties,IncreaseDecreaseInNotesPayableRelatedPartiesCurrent,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInPrepaidExpense,IntangibleAssetsCurrent,InterestAndDebtExpense,InterestExpense,InterestExpenseBorrowings,InterestPaid,InterestPaidNet,InterestPayableCurrent,IssuanceOfStockAndWarrantsForServicesOrClaims,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NetIncomeLossAllocatedToGeneralPartners,NoncashContributionExpense,NonoperatingIncomeExpense,NotesPayableRelatedPartiesClassifiedCurrent,NotesPayableRelatedPartiesCurrentAndNoncurrent,OperatingCostsAndExpenses,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherComprehensiveIncomeLossBeforeTax,OtherExpenses,OtherGeneralExpense,OtherNonoperatingExpense,OtherNonoperatingIncomeExpense,OtherPrepaidExpenseCurrent,PaidInKindInterest,PartnersCapitalAccountContributions,PreferredStockNoParValue,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfNotesPayable,ProfessionalFees,ProfitLoss,RelatedPartyTransactionAmountsOfTransaction,RelatedPartyTransactionDueFromToRelatedParty,RelatedPartyTransactionRate,RepaymentsOfLongTermDebt,RepaymentsOfNotesPayable,RetainedEarningsAccumulatedDeficit,Revenues,SeniorLongTermNotes,ShortTermDebtInterestRateIncrease,StockholdersEquity,StockholdersEquityBeforeTreasuryStock,StockIssuedDuringPeriodSharesNewIssues,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2010-11-29,2011-01-14,10-Q,Qiansui International Group Co. Ltd.,QIAN,CIK0001499684,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000.0
2011-08-31,2011-12-08,10-K,Qiansui International Group Co. Ltd.,QIAN,CIK0001499684,USD,,,,,,,,,,,,,0.0,,,,,,,0.0001,100000000.0,100000.0,100000.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3400.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001,10000000.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2011-11-29,2012-01-17,10-Q,Qiansui International Group Co. Ltd.,QIAN,CIK0001499684,USD,,,,,,,,,,,,,,,,,,,,0.0001,100000000.0,100000.0,100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000.0
2012-02-28,2012-04-13,10-Q,Qiansui International Group Co. Ltd.,QIAN,CIK0001499684,USD,,,,,,,,,,,,,,,,,,,,0.0001,100000000.0,100000.0,100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001,10000000.0,,,,,,,,,,,,,,,,,,,,,,,,
2012-05-28,2012-07-17,10-Q,Qiansui International Group Co. Ltd.,QIAN,CIK0001499684,USD,,,,,,,,,,,,,0.0,,,,,,,0.0001,100000000.0,100000.0,100000.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001,10000000.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2012-08-31,2012-12-14,10-K,Qiansui International Group Co. Ltd.,QIAN,CIK0001499684,USD,,,,,,,,,,,,,0.0,,,,,,,0.0001,100000000.0,100000.0,100000.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001,10000000.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,2013-03-28,10-K,Qiansui International Group Co. Ltd.,QIAN,CIK0001499684,USD,162.0,,,,2500.0,,-76536.0,,8926.0,,-15556.0,333.0,2662.0,2662.0,-2995.0,0.0,,,,0.0,1000000000.0,99765275.0,99765275.0,99765.0,-15556.0,,15556.0,-23067.0,,,,,,,,,,,,,,333.0,,,15718.0,,,0.0,,,,,,,,,15223.0,,,,,,,,,,2500.0,,,,,,,2662.0,,,-15556.0,,,,,2500.0,2662.0,2500.0,0.0,,,0.0,,-15556.0,-15556.0,,,,,,333.0,15556.0,,,,15223.0,,,,-2995.0,0.0,,0.0,50000000.0,0.0,0.0,,,,,,,,15718.0,,,,,-23067.0,,,,162.0,162.0,,,,99765275.0
2013-03-31,2013-05-15,10-Q,Qiansui International Group Co. Ltd.,QIAN,CIK0001499684,USD,,,,,2500.0,,,,,,,,2662.0,,,2662.0,,,,,,,,99765.0,-1745.0,,1745.0,-23067.0,,,,,,,,,,,,,,250.0,,,,,,0.0,,,,,,,,,1495.0,,,,,,,,,,,,,,,,,,,,,,,,,2500.0,2662.0,2500.0,0.0,,,,,-1745.0,,,,,,,,,,,,,,,,5090.0,0.0,,0.0,50000000.0,0.0,0.0,,,,,,,,,,,,,,,,,,162.0,,,,99765275.0
2013-06-30,2013-08-14,10-Q,Qiansui International Group Co. Ltd.,QIAN,CIK0001499684,USD,,,,,200.0,,,,,,-3469.0,,3257.0,2162.0,,1095.0,,,,,,,,99765.0,,,,-26536.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1745.0,,,,,200.0,3527.0,200.0,,,,,,,,,,,,,250.0,1745.0,,,,1495.0,,,,,,,0.0,50000000.0,0.0,0.0,,,,,,,,,,,,,,,,,,3057.0,,,,99765275.0
2013-09-30,2013-11-19,10-Q,Qiansui International Group Co. Ltd.,QIAN,CIK0001499684,USD,,,,,250.0,,,,,,-1954.0,,2407.0,1912.0,,495.0,,,,,,,,99765.0,-1954.0,,1954.0,-28540.0,,,,,,,,,,,,,,250.0,,,,,,0.0,,,,,,,,,1704.0,,,,,,,,,,,,,,,,,,,,-1954.0,,,,,250.0,2407.0,250.0,,,,,,-1954.0,,,,,,,250.0,1954.0,,,,1704.0,,,,,,,0.0,50000000.0,0.0,0.0,,,,,,,,,,,,,,,,,,2157.0,,,,99765275.0
