end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccountsPayableCurrentAndNoncurrent,AccruedLiabilitiesCurrent,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalEquityComponentOfConvertibleDebt,AdjustmentsToAdditionalPaidInCapitalOther,AdjustmentsToAdditionalPaidInCapitalStockIssuedIssuanceCosts,Assets,AssetsCurrent,AssetsNoncurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConsiderationReceivedForBeneficialInterestObtainedForTransferringFinancialAsset,ConversionOfStockAmountConverted1,CostOfGoodsAndServicesSold,DebtInstrumentDecreaseForgiveness,DebtInstrumentFaceAmount,DebtInstrumentInterestRateStatedPercentage,DeferredOfferingCosts,DeferredTaxAssetsCapitalLossCarryforwards,DeferredTaxAssetsGross,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,Deposits,DepositsAssetsCurrent,Depreciation,DepreciationAndAmortization,DepreciationDepletionAndAmortization,DepreciationExpenseOnReclassifiedAssets,DueToOtherRelatedPartiesNoncurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,EquityMethodInvestmentOwnershipPercentage,FairValueOfAssetsAcquired,GainLossOnCondemnation,GainLossOnSecuritizationOfFinancialAssets,GainsLossesOnExtinguishmentOfDebt,GainsLossesOnSalesOfAssets,GrossProfit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities,IncreaseDecreaseInDeferredCharges,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInPrepaidExpense,InterestAndDebtExpense,InterestExpense,InterestExpenseOther,InterestExpenseRelatedParty,InterestIncomeOther,InterestPaid,InvestmentIncomeInterest,LaborAndRelatedExpense,LeaseAndRentalExpense,LegalFees,Liabilities,LiabilitiesAndStockholdersEquity,LineOfCredit,LineOfCreditFacilityDecreaseForgiveness1,LineOfCreditFacilityRemainingBorrowingCapacity,LoansPayable,LoansPayableCurrent,MinorityInterest,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossIncludingPortionAttributableToNonredeemableNoncontrollingInterest,NonoperatingIncomeExpense,OperatingExpenses,OperatingLossCarryforwards,OtherAssetsNoncurrent,OtherCostAndExpenseOperating,OtherLoansPayableCurrent,OtherNonoperatingExpense,OtherSignificantNoncashTransactionValueOfConsiderationGiven1,OtherSignificantNoncashTransactionValueOfConsiderationReceived1,PaymentsToAcquireOtherPropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseAndOtherAssetsCurrent,PrepaidExpenseCurrent,ProceedsFromIssuanceInitialPublicOffering,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfDebt,ProceedsFromIssuanceOfOtherLongTermDebt,ProceedsFromPaymentsForOtherFinancingActivities,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfOtherDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,PropertyPlantAndEquipmentNet,RepaymentsOfDebt,RepaymentsOfOtherDebt,ResearchAndDevelopmentExpense,RestructuringCharges,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerExcludingAssessedTax,Revenues,SettlementOfAssetRetirementObligationsThroughNoncashPaymentsAmount,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockholdersEquityOther,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,StockRepurchasedAndRetiredDuringPeriodValue,StockRepurchasedDuringPeriodValue,TransferToInvestments,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,IncomeTaxesPaidNet,MarketingExpense,AccountsReceivableNetCurrent,IncreaseDecreaseInAccountsReceivable,OccupancyNet,OtherGeneralAndAdministrativeExpense,RepaymentsOfRelatedPartyDebt
2017-03-31,2017-06-29,10-K,"NETPAY INTERNATIONAL, INC.",NTPY,CIK0001689490,USD,76200.0,,800.0,0.0,,,,27830.0,3789.0,24041.0,,330.0,330.0,,,0.001,100000000.0,5500000.0,5500000.0,5500.0,0.0,,,,,,24041.0,35935.0,,0.0,35935.0,35935.0,,0.0,0.0,,0.0,,,,-0.02,0.0,-0.35,0.35,0.0,,,,,,,,-88697.0,800.0,0.0,-67450.0,,-800.0,-20541.0,-2359.0,,,,,,,0.0,,0.0,,,125002.0,27830.0,,,,,300.0,,44477.0,0.0,-44147.0,-89497.0,,,,,0.0,65947.0,47702.0,,,,0.0,0.001,10000000.0,0.0,0.0,0.0,3459.0,,,0.0,,44177.0,0.0,300.0,,,,,0.0,22750.0,0.0,-102672.0,,0.0,,-97172.0,-97172.0,,5500000.0,5500.0,,,,,,5500000.0,,,,,,,
2017-06-30,2017-08-14,10-Q,"NETPAY INTERNATIONAL, INC.",NTPY,CIK0001689490,USD,117674.0,,800.0,0.0,,,,34100.0,3288.0,30474.0,,3288.0,2958.0,,,0.001,100000000.0,5500000.0,5500000.0,5500.0,,,,,,,30474.0,50484.0,,0.0,50484.0,50484.0,,338.0,6.0,,-6.0,6.0,,,-0.01,0.0,-0.35,0.35,0.0,,0.0,,,,,,-41568.0,0.0,0.0,-40474.0,,0.0,-5433.0,3459.0,,,,,,,0.0,,,,,172840.0,34100.0,,,,,400.0,,6364.0,-344.0,-3062.0,-41568.0,,,,,0.0,30141.0,53966.0,,,,344.0,0.001,10000000.0,0.0,0.0,0.0,0.0,,,,,6264.0,,100.0,,,,,0.0,11421.0,,-144240.0,,0.0,,-138740.0,,,5500000.0,5500.0,,,,,,5500000.0,,,,,,,
2017-09-30,2017-11-09,10-Q,"NETPAY INTERNATIONAL, INC.",NTPY,CIK0001689490,USD,142100.0,,800.0,21776.0,,,,36668.0,36348.0,0.0,,11745.0,,,,0.001,100000000.0,8250000.0,8250000.0,8250.0,,,,,,,0.0,61993.0,,0.0,61993.0,61993.0,,320.0,17.0,,,,40266.0,,-0.01,,,,,,,0.0,0.0,,,,-32883.0,0.0,,,,,,,,,,,,,,,,,,183766.0,36668.0,,,,,600.0,,,,,-32883.0,,0.0,32883.0,,0.0,22366.0,40266.0,0.0,,,,0.001,10000000.0,0.0,0.0,0.0,24603.0,,,,,,,,,,,,,10500.0,,-177124.0,,0.0,,-147098.0,,,,,,,,,,6636000.0,,,,,,,
2017-12-31,2018-01-30,10-Q,"NETPAY INTERNATIONAL, INC.",NTPY,CIK0001689490,USD,145600.0,,800.0,21776.0,,,,11094.0,10790.0,0.0,,10031.0,,,,0.001,100000000.0,8250000.0,8250000.0,8250.0,,,,,,,0.0,75669.0,,0.0,75669.0,75669.0,,304.0,17.0,,,,50066.0,,0.0,,,,,,,0.0,0.0,,,,-39074.0,0.0,,,,,,,,,,,,,,,,,,197266.0,11094.0,,,,,800.0,,,,,-39074.0,,0.0,39074.0,,0.0,29057.0,50066.0,0.0,,,,0.001,10000000.0,0.0,0.0,0.0,759.0,,,,,,,,,,,,,10000.0,,-216198.0,,0.0,,-186172.0,,,,,,,,,,8250000.0,,,,,,,
2018-03-31,2018-06-22,10-K,"NETPAY INTERNATIONAL, INC.",NTPY,CIK0001689490,USD,149500.0,,1600.0,22001.0,,,,5347.0,5060.0,0.0,,4986.0,4656.0,4986.0,,0.001,100000000.0,8025000.0,8025000.0,8025.0,225.0,,,,,,0.0,82062.0,,0.0,82062.0,82062.0,,287.0,57.0,,57.0,57.0,57684.0,,-0.02,0.0,-0.35,0.35,0.0,,225.0,0.0,0.0,,,,-130991.0,800.0,0.0,73300.0,,800.0,-24041.0,-3385.0,,,,,,,0.0,,,,,209784.0,5347.0,,,,77763.0,1000.0,0.0,35208.0,-344.0,-30208.0,-131791.0,,0.0,130991.0,,0.0,94029.0,57684.0,0.0,,,344.0,0.001,10000000.0,0.0,0.0,0.0,74.0,,55000.0,55000.0,,37682.0,-30474.0,700.0,,,,,27700.0,36905.0,,-234463.0,,0.0,0.0,-204437.0,-204437.0,-30474.0,5500000.0,5500.0,,55000.0,,0.0,0.0,7140000.0,,,,,,,
2018-06-30,2018-08-13,10-Q,"NETPAY INTERNATIONAL, INC.",NTPY,CIK0001689490,USD,157800.0,,1600.0,22001.0,,,,2372.0,2103.0,0.0,,2103.0,-2883.0,,,0.001,100000000.0,8025000.0,8025000.0,8025.0,,,,,,,0.0,87191.0,,0.0,87191.0,87191.0,,269.0,17.0,,17.0,75.0,60862.0,,0.0,0.0,-0.35,0.35,0.0,,0.0,,,,,,-14653.0,0.0,0.0,8300.0,,0.0,0.0,-74.0,,,,,,,0.0,,,,,221462.0,2372.0,,,,,1200.0,,3379.0,0.0,-6262.0,-14653.0,-14653.0,,14653.0,,0.0,7993.0,60862.0,,,,0.0,0.001,10000000.0,0.0,0.0,0.0,0.0,,,,,3179.0,,200.0,80941.0,,,,0.0,6643.0,,-249116.0,,0.0,,-219090.0,-219090.0,,5500000.0,5500.0,,,,,,8025000.0,,,,,,,
2018-09-30,2018-10-29,10-Q,"NETPAY INTERNATIONAL, INC.",NTPY,CIK0001689490,USD,5275.0,,0.0,23201.0,,,,72.0,72.0,0.0,,72.0,,,,0.001,100000000.0,8025000.0,8025000.0,8025.0,,,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,17.0,,,,0.0,,0.03,,,,,,,211162.0,9748.0,211162.0,9748.0,,212687.0,0.0,,,,,,,,,,,,,,,,,,5675.0,72.0,,,,,400.0,,,,,212687.0,212687.0,220910.0,8223.0,,0.0,8206.0,0.0,0.0,,,,0.001,10000000.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,-36829.0,,0.0,,-5603.0,-5203.0,,,,,,,,,8025000.0,,,,,,,
2018-12-31,2019-01-29,10-Q,"NETPAY INTERNATIONAL, INC.",NTPY,CIK0001689490,USD,1845.0,,800.0,23201.0,,,,7833.0,7833.0,0.0,,4974.0,,,,0.001,100000000.0,8025000.0,8025000.0,8025.0,,,,,,,0.0,9536.0,,0.0,9536.0,9536.0,,0.0,0.0,,,,0.0,,0.0,,,,,,,0.0,0.0,0.0,0.0,,-8582.0,0.0,,,,,,,,,0.0,,,,,0.0,,,6065.0,22018.0,7833.0,,,,,19373.0,0.0,,,,-8582.0,-8582.0,0.0,8582.0,,0.0,2517.0,0.0,0.0,,,,0.001,10000000.0,0.0,0.0,0.0,2859.0,,,,,,,,,,,,,0.0,,-45411.0,,0.0,,-14185.0,-13785.0,,,,,,,,,8025000.0,,,,,,,
2019-03-31,2019-05-10,10-K,"NETPAY INTERNATIONAL, INC.",NTPY,CIK0001689490,USD,3300.0,,1600.0,23201.0,1200.0,1200.0,,15649.0,15649.0,0.0,,13898.0,8912.0,13898.0,8912.0,0.001,100000000.0,8025000.0,8025000.0,8025.0,,,,211100.0,,,0.0,12569.0,,0.0,12569.0,12569.0,,0.0,34.0,34.0,34.0,,0.0,,0.02,0.0,-0.21,0.21,0.0,,0.0,211162.0,9748.0,,9748.0,,175413.0,800.0,800.0,11600.0,,0.0,0.0,1677.0,1677.0,0.0,0.0,,,,0.0,0.0,,0.0,0.0,44273.0,15649.0,,,,,39373.0,0.0,45252.0,0.0,-36340.0,176213.0,174613.0,220910.0,45497.0,,0.0,38820.0,0.0,0.0,,,0.0,0.001,10000000.0,0.0,0.0,0.0,1751.0,,0.0,,6179.0,6179.0,0.0,39573.0,,39573.0,,500.0,500.0,6643.0,,-59850.0,,0.0,10000.0,-28624.0,-28624.0,,5500000.0,5500.0,,,,,1200.0,8025000.0,,,,,,,
2019-06-30,2019-07-18,10-Q,"NETPAY INTERNATIONAL, INC.",NTPY,CIK0001689490,USD,14925.0,,1600.0,23201.0,,,,9815.0,9815.0,,,5564.0,-8334.0,,,0.001,100000000.0,8025000.0,8025000.0,8025.0,,,,211100.0,,,,20015.0,,0.0,20015.0,20015.0,,0.0,0.0,,0.0,,0.0,,0.0,0.0,-0.21,0.21,0.0,,,,,,,,-35459.0,0.0,0.0,11625.0,,0.0,,2500.0,,,,,,,0.0,,,,,73898.0,9815.0,,,,,57373.0,0.0,18000.0,0.0,-26334.0,-35459.0,-35459.0,,35459.0,,,35459.0,0.0,,,,,0.001,10000000.0,0.0,0.0,0.0,4251.0,,,,,0.0,,18000.0,,,,,,0.0,,-95309.0,,0.0,,-64083.0,-64083.0,,5500000.0,5500.0,,,,,,8025000.0,,,,,,,
