end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccruedIncomeTaxesNoncurrent,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentsToAdditionalPaidInCapitalOther,AllowanceForDoubtfulAccountsReceivable,Assets,AssetsCurrent,AssetsNoncurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CashFDICInsuredAmount,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConsolidationLessThanWhollyOwnedSubsidiaryParentOwnershipInterestChangesIssuanceOfEquityBySubsidiaryToNoncontrollingInterests,CostOfGoodsAndServicesSold,CostOfRevenue,CostsAndExpenses,DeferredIncomeTaxAssetsNet,DeferredIncomeTaxLiabilitiesNet,DeferredRevenueCurrent,DeferredTaxAssetsGross,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,Depreciation,DevelopmentCosts,DirectTaxesAndLicensesCosts,DueFromRelatedPartiesCurrent,DueToOfficersOrStockholdersNoncurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,ExchangeFees,FeesAndCommissions,GainLossOnInvestments,GeneralAndAdministrativeExpense,GrossProfit,ImpairmentOfInvestments,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,IncomeLossFromEquityMethodInvestments,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInAccruedTaxesPayable,IncreaseDecreaseInDeferredIncomeTaxes,IncreaseDecreaseInDeferredRevenue,IncreaseDecreaseInNotesReceivableCurrent,IncreaseDecreaseInNotesReceivableRelatedPartiesCurrent,IncreaseDecreaseInNotesReceivables,IncreaseDecreaseInPrepaidExpense,IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,InterestAndDividendIncomeOperating,InterestIncomeOperating,InterestIncomeOther,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesNoncurrent,LicenseCosts,LoansPayableCurrent,LoansReceivableBasisSpreadOnVariableRate,MarketableSecuritiesCurrent,MarketableSecuritiesGainLoss,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAttributableToNoncontrollingInterest,NetIncomeLossAttributableToParentDiluted,NoninterestExpenseCommissionExpense,NonoperatingIncomeExpense,NotesAndLoansReceivableNetCurrent,NotesReceivableNet,OperatingExpenses,OperatingIncomeLoss,OtherAssets,OtherExpenses,OtherGeneralAndAdministrativeExpense,OtherIncome,OtherInterestAndDividendIncome,OtherNonoperatingIncome,PaymentsForBrokerageFees,PaymentsForProceedsFromLoansReceivable,PaymentsToAcquireOtherPropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PrepaidExpenseCurrent,ProceedsFromCollectionOfNotesReceivable,ProceedsFromContributedCapital,ProceedsFromContributionsFromParent,ProceedsFromIssuanceOfCommonStock,ProceedsFromLoanOriginations1,ProceedsFromMaturitiesPrepaymentsAndCallsOfShorttermInvestments,ProceedsFromRelatedPartyDebt,ProceedsFromSaleOfShortTermInvestments,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,ProvisionForDoubtfulAccounts,RelatedPartyTransactionRate,RepaymentOfNotesReceivableFromRelatedParties,RepaymentsOfNotesPayable,RepaymentsOfSubordinatedShortTermDebt,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerExcludingAssessedTax,Revenues,SaleOfStockNumberOfSharesIssuedInTransaction,SaleOfStockPercentageOfOwnershipAfterTransaction,SalesCommissionsAndFees,SharePrice,ShortTermInvestments,StockholdersEquity,StockholdersEquityAttributableToParentNotAllowableForNetCapital,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueNewIssues,TaxesPayableCurrent,TradingSecuritiesUnrealizedHoldingGainLoss,TreasuryStockCommonValue,TreasuryStockRetiredCostMethodAmount,TreasuryStockShares,TreasuryStockSharesRetired,UnrealizedGainLossOnCommodityContracts,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,OtherNonoperatingIncomeExpense,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,RepaymentsOfRelatedPartyDebt
2017-06-30,2017-08-04,10-Q,Achison Inc,ACHN,CIK0001672571,USD,,,3917.0,,277.0,,,3926.0,,,1856.0,221.0,,,250000.0,0.0,99900000000.0,0.0,0.0,,,,,136.0,,,,,,,,,,,,,,,,7.0,22.0,54.0,,,,,-246.0,,,,,,,,,,,,,,,,,,3926.0,2000.0,,82.0,2000.0,,2070.0,,277.0,,-56.0,-302.0,,,,,,,,-302.0,,,,,,,7.0,,,,,,,277.0,,2000.0,,,,,-166.0,,,,,,,,-1991.0,,,,,36.0,,2069.73,1926.0,,,,,,-159.0,,,,,,,,,,,,
2017-09-30,2017-10-30,10-Q,Achison Inc,ACHN,CIK0001672571,USD,,,3783.0,,25.0,,,13903.0,,,1856.0,10247.0,,,250000.0,0.0,99900000000.0,99900000000.0,99900000000.0,9990.0,,,,170.0,,,,,,,,,,,,,,,,3.0,264.0,141.0,,,,,-270.0,,,,,,,,,,,,,,,,,,13903.0,2000.0,,29.0,2000.0,,1800.0,,10015.0,,232.0,-38.0,,,,,,,,-38.0,,,,,,,,,,,,,,25.0,9990.0,,,,,,132.0,,,,,,,,-1870.0,,,,,135.0,,,11903.0,,,,9990.0,,,,,,,,,,,,,,
2017-12-31,2018-02-12,10-Q,Achison Inc,ACHN,CIK0001672571,USD,,,13935.0,,,,23378.0,13378.0,10000.0,,2199.0,,,,250000.0,0.001,9990000.0,9990000.0,9990000.0,9990.0,,,,54.0,,,,,,,,,,,,,,,,,,54.0,,,,,,,,,,,,,,,,,,,,75.0,,,23378.0,2000.0,,,2000.0,,11179.0,,,,,-518.0,,,,,,10000.0,,-518.0,,,,,,,,,,,,,,,,,,,,,-464.0,,,,,,,,-2547.0,,,,,460.0,,,21378.0,,,,,,-79.0,,,,,,,,,,,,
2018-03-31,2018-06-29,10-K,Achison Inc,ACHN,CIK0001672571,USD,,,13935.0,,10296.0,,25791.0,9791.0,,,1511.0,-124.0,,,250000.0,0.001,9990000.0,9990000.0,9990000.0,9990.0,,,,502.0,,,,,,,,,112.0,,,,,,,7.0,2983.0,390.0,,,,,5966.0,,,,,,,,,,,16000.0,,,,375.0,,,25791.0,2000.0,,,2000.0,,8280.0,,4286.0,,-4410.0,1556.0,,,,,,16000.0,,1556.0,16000.0,,,,,,8.0,,,,,,,10296.0,9990.0,,,,,,2058.0,,,,0.1,,,,-134.0,,,,,1200.0,,,23791.0,23791.0,,,9990.0,2000.0,-108.0,,,,,,,,,,,,
2018-06-30,2018-08-13,10-Q,Achison Inc,ACHN,CIK0001672571,USD,,,39035.0,,49100.0,,67091.0,42091.0,,,11849.0,10338.0,,,250000.0,0.001,9990000.0,9990000.0,9990000.0,9990.0,,,,6409.0,,,,,,,,,25.0,,,,,,25.0,,28689.0,109.0,,,,,21962.0,,,,,,,,,,,9000.0,,,,626.0,,,67091.0,2000.0,,,2000.0,,30242.0,,16100.0,,-5762.0,16200.0,,,,,,25000.0,,16200.0,25000.0,,,,,,,,,,,,,-24000.0,,,,,,6275.0,22609.0,,,,,,,,16066.0,,,,,300.0,,,65091.0,,,,,,-6406.0,,,,,,,,,,,,
2018-09-30,2018-11-21,10-Q,Achison Inc,ACHN,CIK0001672571,USD,,,39035.0,,,,100031.0,71831.0,,,12103.0,,,,250000.0,0.001,9990000.0,9990000.0,9990000.0,9990.0,,,,14519.0,,1669.0,,,,,,,,,,,,,688.0,,34970.0,161.0,,,13521.0,-575.0,,10998.0,,,,,,,,,,,,,,792.0,,,100031.0,19038.0,,,,,45509.0,,,,,12946.0,,,,,,28200.0,,31983.0,28200.0,,,,,,,,,,,,,,,,,,,13644.0,46502.0,,,,,,,,29587.0,,,,,265.0,,,80993.0,78612.0,2381.0,,,17369.0,11005.0,,,,,,,,,,,,
2018-12-31,2019-02-26,10-Q,Achison Inc,ACHN,CIK0001672571,USD,14161.0,,39035.0,,,,69862.0,41662.0,,,3139.0,,,,250000.0,0.001,9990000.0,9990000.0,9990000.0,9990.0,,,,19181.0,8151.0,,,,,,,,,,,,,,,,6090.0,87.0,,,-25878.0,-488.0,,-7527.0,,,,,,,,,,,,,,709.0,,,69862.0,14161.0,,,,,30372.0,,,,,-26366.0,,,,,,28200.0,,-39395.0,28200.0,,,,,,,,,,,,,,,,,,,19017.0,-20214.0,,,,,,,,3708.0,,,,,240.0,,,55701.0,52733.0,2968.0,,,,-26773.0,,,,,,,,,,,,
2019-03-31,2019-07-15,10-K,Achison Inc,ACHN,CIK0001672571,USD,,13383.0,80140.0,,49100.0,17100.0,32865.0,32865.0,,1511.0,4141.0,2630.0,4141.0,,250000.0,0.001,9990000.0,9985000.0,9985000.0,9985.0,66200.0,,,43365.0,10337.0,,,14835.0,129754.0,14835.0,,,327.0,18000.0,,,0.0,,,,2984.0,57063.0,,3000.0,,,-60756.0,10815.0,,,12166.0,,13383.0,-10337.0,,-19100.0,,19100.0,,,2877.0,3798.0,,13383.0,32865.0,13383.0,,,,,10724.0,740.0,-2000.0,41656.0,-37026.0,-76836.0,,4196.0,731.0,,,35100.0,57012.0,-67634.0,35100.0,114.0,,,,,,,,,,-19100.0,66200.0,25100.0,,-2000.0,60756.0,,,42499.0,38882.0,,,17100.0,,,2000.0,2000.0,-70643.0,,,,,1139.0,,,19482.0,,,,,13383.0,-45466.0,,,,5000.0,,9985000.0,,,,,,
2019-06-30,2019-09-26,10-Q,Achison Inc,ACHN,CIK0001672571,USD,,,39035.0,,,,57294.0,22194.0,,,8706.0,4565.0,,,250000.0,0.001,9990000.0,9990000.0,9990000.0,9990.0,,,,6057.0,10337.0,,,,,,,,1951.0,,,,0.0,,,,-1889.0,4120.0,,,,,-10573.0,,,,,,,,,,,,,,1.0,1.0,,,57294.0,12166.0,,,,,3151.0,-1889.0,,10573.0,-6008.0,-6008.0,,-7959.0,,-1888.0,,35100.0,4120.0,-7959.0,35100.0,,,,,,,,,,,,,,,,,,,4000.0,-1902.0,,,,,,,,-3897.0,,,,,14.0,,,13474.0,,,,,12166.0,,,,,,,9985000.0,,,,,,
2019-09-30,2019-11-15,10-Q,Achison Inc,ACHN,CIK0001672571,USD,,,72950.0,,,,271749.0,154649.0,,,141312.0,,141312.0,,250000.0,0.01,30000000.0,20010000.0,20010000.0,210090.0,,,,8355.0,10337.0,,,,,,,,1337.0,,,,0.0,,,,-34035.0,8142.0,,,,,,,,,,,,,,,,,,,,,,,271749.0,,,,,,3000.0,,,,,-8263.0,,,,-121.0,,17100.0,8142.0,-7395.0,17100.0,,,,,,,,,,,,,,,,,,,6958.0,960.0,100000.0,,,,,,,-11291.0,,36000.0,,,1005.0,,,105311.0,,,,100100.0,,,,,,,,14602692.0,,,,,,
