end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccountsReceivableRelatedPartiesCurrent,AdditionalPaidInCapital,AdministrativeFeesExpense,AllowanceForNotesAndLoansReceivableCurrent,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsFairValueDisclosure,CashCashEquivalentsAndShortTermInvestments,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashPeriodIncreaseDecrease,CashPeriodIncreaseDecreaseExcludingExchangeRateEffect,CommonStockOtherSharesOutstanding,CommonStockOtherValueOutstanding,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CommonStockValueOutstanding,CostsAndExpenses,CurrentIncomeTaxExpenseBenefit,DeferredIncomeTaxAssetsNet,DeferredIncomeTaxExpenseBenefit,DevelopmentInProcess,EarningsPerShareBasicAndDiluted,EmployeeRelatedLiabilitiesCurrent,FeesAndCommissionsMortgageBankingAndServicing,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesReceivable,IncomeTaxReceivable,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInDueFromRelatedPartiesCurrent,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInPrepaidExpense,IncreaseDecreaseInPrepaidReinsurancePremiums,IndefiniteLivedLicenseAgreements,InterestExpense,InterestPaid,LeaseAndRentalExpense,LegalFees,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesNoncurrent,LoanPortfolioExpense,LoansAndLeasesReceivableDeferredIncome,LoansAndLeasesReceivableGrossCarryingAmount,LoansAndLeasesReceivableLoansInProcess,LoansAndLeasesReceivableRelatedParties,LoansAndLeasesReceivableRelatedPartiesPeriodIncreaseDecrease,LoansPayableCurrent,LossContingencyLossInPeriod,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAllocatedToGeneralPartners,NetIncomeLossAllocatedToLimitedPartners,NetInvestmentIncome,OperatingIncomeLoss,OperatingLossCarryforwards,OperatingLossCarryforwardsValuationAllowance,PaymentsForProceedsFromLoansReceivable,PaymentsToAcquireLoansReceivable,PaymentsToDevelopSoftware,PrepaidExpenseCurrent,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromLicenseFeesReceived,ProfessionalFees,ProfitLoss,RelatedPartyTransactionDueFromToRelatedPartyCurrent,RetainedEarningsAccumulatedDeficit,SellingGeneralAndAdministrativeExpense,SharesIssued,SharesIssuedPricePerShare,SharesOutstanding,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesPeriodIncreaseDecrease,StockIssuedDuringPeriodValueNewIssues,TaxesAndLicenses,TreasuryStockCommonValue,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,IncomeLossFromContinuingOperationsBeforeInterestExpenseInterestIncomeIncomeTaxesExtraordinaryItemsNoncontrollingInterestsNet
2019-08-31,2019-10-11,10-Q,INKY INC,INKI,CIK0001753373,USD,0.0,,0.0,,8811.0,126.0,126.0,126.0,126.0,,,126.0,,,,,,75000000.0,4000.0,4000000.0,0.001,4000000.0,3510.0,,,,,0.0,14811.0,,3510.0,,-3510.0,0.0,,,,,,,,,,,,,,,,-14685.0,126.0,14811.0,14811.0,,,,,,,,,,,-3510.0,,,,,,,,,,0.0,,,,,-3510.0,,-18685.0,,,,,-14685.0,,,,,,,,4000000.0,,
2019-11-30,2020-02-28,10-K,INKY INC,INKI,CIK0001753373,USD,0.0,10676.0,0.0,,,391.0,391.0,391.0,391.0,391.0,,,-4759.0,,,,,75000000.0,4000.0,4000000.0,0.001,4000000.0,15385.0,4260.0,4260.0,4260.0,,0.0,16676.0,,15385.0,,-15385.0,0.0,0.0,20285.0,,-4260.0,,-2000.0,16676.0,0.0,1950.0,,,,0.0,,12030.0,-16285.0,391.0,16676.0,16676.0,10676.0,,,16676.0,,10676.0,,-15385.0,10676.0,-15435.0,-15385.0,,,,20285.0,20285.0,,10676.0,,,0.0,0.0,,,12030.0,-15385.0,,-20285.0,,4000000.0,,,-16285.0,,,,,21.0,4000000.0,-4260.0,4000000.0,,
2020-02-29,2020-04-03,10-Q,INKY INC,INKI,CIK0001753373,USD,,,0.0,,,188.0,188.0,188.0,188.0,,188.0,,-203.0,,,,,75000000.0,4000.0,4000000.0,0.001,4000000.0,6703.0,,,,,0.0,23176.0,,6703.0,,-6703.0,0.0,0.0,,,,0.0,,,,0.0,,,,0.0,,,-22988.0,188.0,23176.0,23176.0,6500.0,23176.0,,,,6500.0,,-6703.0,6500.0,-6703.0,-6703.0,,-6703.0,,-6703.0,,,-6500.0,,,,0.0,,,,-6703.0,,-26988.0,,,,,-22988.0,,,,,,,,4000000.0,,
2020-05-31,2020-07-15,10-Q,INKY INC,INKI,CIK0001753373,USD,3175.0,,2320.0,,,974.0,974.0,974.0,974.0,,974.0,,,,,,,75000000.0,4080.0,4080000.0,0.001,,6289.0,,,,,0.0,24676.0,,6289.0,-6289.0,-6289.0,0.0,,,,,,,,,,,,6289.0,,,,-26877.0,974.0,27851.0,27851.0,,,,,,,,,,,-6289.0,,,,,,,,,,,,,,,-6289.0,24676.0,-33277.0,6289.0,4080000.0,,,-26877.0,,2400.0,80000.0,2400.0,,,,4022609.0,4022609.0,
2020-08-31,2020-10-13,10-Q,INKY INC,INKI,CIK0001753373,USD,1500.0,,2320.0,,,542.0,542.0,0.0,0.0,,0.0,,,,,,,75000000.0,4080.0,4080000.0,0.001,,1626.0,,,,,0.0,27545.0,,1626.0,1626.0,1626.0,0.0,,,,,,,,,,,,1626.0,,,,-28503.0,542.0,29045.0,29045.0,,,,,10869.0,,,,,,-1626.0,,,,,,,,,,542.0,,,,,-1626.0,,-34903.0,,4080000.0,,4080000.0,-28503.0,,,,,,,,4080000.0,4080000.0,
2020-11-30,2021-02-02,10-K,INKY INC,INKI,CIK0001753373,USD,,27545.0,18972.0,,,11691.0,11691.0,11312.0,11312.0,11312.0,11312.0,,10921.0,-10921.0,,,0.001,75000000.0,4654200.0,4654200.0,4654.0,4654200.0,19195.0,,,8291.0,,0.0,27545.0,,19195.0,19195.0,19195.0,8291.0,0.0,,21.0,-8291.0,,0.0,,-379.0,379.0,,,19195.0,0.0,,17000.0,27545.0,11691.0,27545.0,27545.0,,,27545.0,,27545.0,10869.0,10869.0,-19195.0,30495.0,-19574.0,-19195.0,,,19195.0,39480.0,,39480.0,-10869.0,,,379.0,19626.0,19626.0,,,-19195.0,,39480.0,,4654200.0,19626.0,4654200.0,-15854.0,15854.0,19626.0,654200.0,19626.0,21.0,,8291.0,4111800.0,4111800.0,39480.0
2021-02-28,2021-04-09,10-Q,INKY INC,INKI,CIK0001753373,USD,,,29706.0,,,20297.0,20297.0,1118.0,1118.0,,1118.0,,-10194.0,,,,,75000000.0,5024.0,5024356.0,0.001,,2697.0,,,,18800.0,0.0,27744.0,,2697.0,,-2697.0,0.0,0.0,,,,,,,,-18800.0,,379.0,,0.0,,,-7447.0,20297.0,27744.0,27744.0,,,,,,,27744.0,-2697.0,11303.0,-21497.0,-2697.0,-2697.0,-2697.0,,,,,-199.0,,,19179.0,11104.0,,,,,,-42177.0,,,11104.0,5024356.0,-7447.0,,11104.0,370156.0,11104.0,,,,4821969.0,,
2021-05-31,2021-07-15,10-Q,INKY INC,INKI,CIK0001753373,USD,,,31668.0,,,20485.0,20485.0,,1631.0,,,,,,,5092023.0,,,,,,,,,,,,0.0,,,1842.0,-1842.0,-1842.0,,,,,,,,,,,,,1842.0,,,,27744.0,20485.0,27744.0,,,,,,27744.0,,,,,,-1842.0,-1842.0,,,,,,,,,18854.0,,,,,,,-44019.0,,,,,-7259.0,-7259.0,,67667.0,2030.0,,,,,5032996.0,
2021-08-31,2021-10-08,10-Q,INKY INC,INKI,CIK0001753373,USD,,,31668.0,,,19456.0,,,114.0,,,,,,,5092023.0,5092.0,,,,,,,,,,,0.0,,,1679.0,1679.0,1679.0,,,,,,,,,,,,,1679.0,,,,,19456.0,28394.0,,,,,,28394.0,,,,,,,-1679.0,,,,,,,,,19342.0,,,,,,,-45698.0,,,,,-8938.0,-8938.0,,,,,,,,5092023.0,
2021-11-30,2022-02-28,10-K,INKY INC,INKI,CIK0001753373,USD,1619.0,,31668.0,,,19456.0,19456.0,,114.0,,,,,11198.0,,,0.001,75000000.0,5092023.0,5092023.0,5092.0,5092023.0,,,,,,0.0,,,17837.0,17837.0,17837.0,12037.0,,,,,1619.0,,,19342.0,18963.0,,,17837.0,,,,40013.0,19456.0,40013.0,,,,,,38394.0,10849.0,,,23983.0,-35181.0,17837.0,,,17837.0,,,,,,18800.0,19342.0,,13134.0,542.0,,,,57317.0,,,,,-20557.0,20557.0,,437823.0,13134.0,,,12037.0,,5092023.0,57317.0
