end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndOtherAccruedLiabilitiesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AccumulatedDistributionsInExcessOfNetIncome,AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalOther,AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,AdvertisingExpense,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,Assets,AssetsCurrent,AssetsNoncurrent,AssetsOfDisposalGroupIncludingDiscontinuedOperation,AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsAtCarryingValueIncludingDiscontinuedOperations,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsAndShortTermInvestments,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashPeriodIncreaseDecrease,CashProvidedByUsedInFinancingActivitiesDiscontinuedOperations,CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStocksIncludingAdditionalPaidInCapital,CommonStockValue,CostOfGoodsSold,CostOfRevenue,CostsAndExpenses,CustomerDepositsCurrent,DeferredTaxAssetsGross,DeferredTaxAssetsNet,DeferredTaxAssetsNetCurrent,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,Depreciation,DepreciationAndAmortization,DepreciationAndAmortizationDiscontinuedOperations,DiscontinuedOperationTaxEffectOfAdjustmentToPriorPeriodGainLossOnDisposal,DisposalGroupIncludingDiscontinuedOperationDepreciationAndAmortization,DisposalGroupIncludingDiscontinuedOperationRevenue,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EmployeeRelatedLiabilitiesCurrent,ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,ExtinguishmentOfDebtGainLossNetOfTax,GeneralAndAdministrativeExpense,GrossInvestmentIncomeOperating,GrossProfit,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,IncomeLossFromContinuingOperationsPerBasicShare,IncomeLossFromDiscontinuedOperationsNetOfTax,IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare,IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,IncomeLossFromEquityMethodInvestments,IncomeLossFromEquityMethodInvestmentsNetOfDividendsOrDistributions,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefitContinuingOperationsAdjustmentOfDeferredTaxAssetLiability,IncomeTaxesPaid,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncreaseDecreaseInCustomerDeposits,IncreaseDecreaseInDepositOtherAssets,IncreaseDecreaseInDeposits,IncreaseDecreaseInInventories,IncreaseDecreaseInOperatingLiabilities,IncreaseDecreaseInOtherAccruedLiabilities,IncreaseDecreaseInOtherOperatingAssets,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInPrepaidExpense,IncreaseDecreaseInRestrictedCashForOperatingActivities,InterestPaid,InterestPaidNet,InvestmentIncomeNet,LeaseholdImprovementsGross,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesNoncurrent,LiabilitiesOfDisposalGroupIncludingDiscontinuedOperation,LiabilitiesOfDisposalGroupIncludingDiscontinuedOperationCurrent,LiabilitiesSubjectToCompromiseDebtAndAccruedInterest,LoansPayableCurrent,LossContingencyLossInPeriod,NetCashProvidedByUsedInContinuingOperations,NetCashProvidedByUsedInDiscontinuedOperations,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NetIncomeLossAllocatedToLimitedPartners,OperatingCostsAndExpenses,OperatingExpenses,OperatingIncomeLoss,OperatingLeasesFutureMinimumPaymentsDue,OperatingLeasesRentExpenseContingentRentals,OperatingLossCarryforwards,OtherAccruedLiabilitiesCurrent,OtherAssetsCurrent,OtherCommitment,OtherPrepaidExpenseCurrent,OtherSellingGeneralAndAdministrativeExpense,PaymentsForProceedsFromProductiveAssets,PaymentsToAcquireLoansReceivable,PaymentsToAcquireMortgageBackedSecuritiesMBSCategorizedAsAvailableForSale,PrepaidExpenseCurrent,ProceedsFromIssuanceOfCommonStock,ProceedsFromRelatedPartyDebt,ProceedsFromSaleOfLoansHeldForInvestment,ProfitLoss,PublicUtilitiesInventory,PublicUtilitiesPropertyPlantAndEquipmentAccumulatedDepreciation,RealEstateInvestmentPropertyAccumulatedDepreciation,RealizedInvestmentGainsLosses,RegulatedOperatingRevenue,RelatedPartyDepositLiabilities,RelatedPartyTransactionAmountsOfTransaction,RelatedPartyTransactionDueFromToRelatedPartyCurrent,RetainedEarningsAccumulatedDeficit,Revenues,StockholdersEquity,StockIssuedDuringPeriodValueNewIssues,UnrecognizedTaxBenefits,ValuationAllowanceDeferredTaxAssetChangeInAmount,ValuationAllowancesAndReservesBalance,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,CommonUnitIssued,CommonUnitOutstanding,IncreaseDecreaseInCustomerAdvances
2017-10-31,2017-11-30,10-Q,Yijia Group Corp.,YJGJ,CIK0001699709,USD,,280.0,,8175.0,45054.0,,,,,17281.0,47419.0,64700.0,,,,13443.0,,,,,,,,,,75000000.0,5871.0,,,0.001,28400.0,,-1498.0,0.0,,,,,,,,,-12652.0,,,,0.0,5600.0,,,12652.0,0.0,19930.0,-12652.0,,,,18432.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,1378.0,64700.0,,5600.0,5600.0,,,,,,,,,,,,,,5780.0,,-1498.0,-12652.0,5780.0,,,,,,,,1498.0,,,,21616.0,,,,,12360.0,2121.0,15160.0,,,,,,,0.0,59100.0,,,,,4136508.0,,,,
2018-01-31,2018-02-22,10-Q,Yijia Group Corp.,YJGJ,CIK0001699709,USD,,4028.0,,-4575.0,45054.0,,,,,33427.0,18523.0,51950.0,,,487.0,487.0,,,,,,,,,,75000000.0,5871.0,5871250.0,,,2404.0,,1230.0,0.0,,,,,,,,,,,,,0.0,,,,14866.0,,0.0,-14866.0,,,0.0,2116.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,1838.0,51950.0,,5600.0,5600.0,,,,5600.0,,,,,,,,,,-12750.0,,2116.0,-14866.0,,,,,,,,,1230.0,,,,8080.0,,,,-12750.0,9956.0,14699.0,14700.0,,,,,,,0.0,46350.0,,,,,5871250.0,,,,
2018-04-30,2018-07-17,10-K,Yijia Group Corp.,YJGJ,CIK0001699709,USD,,3816.0,,-8770.0,45054.0,,,16252.0,,47755.0,4421.0,31061.0,43334.0,43334.0,4421.0,4421.0,4421.0,4216.0,,,4216.0,,-33914.0,-7700.0,0.001,75000000.0,5871250.0,5871250.0,,5871.0,36826.0,0.0,,0.0,1842.0,0.0,-1842.0,8770.0,1842.0,0.0,,,,5214.0,83880.0,0.0,0.0,0.0,-1842.0,,48649.0,,0.0,-48649.0,,,,47054.0,,,,,,0.0,,0.0,0.0,1842.0,-1842.0,0.0,,-6000.0,0.0,,,,,0.0,-2344.0,0.0,,,3215.0,5600.0,47755.0,0.0,5600.0,5600.0,5600.0,,,-1595.0,,,47425.0,,-33914.0,0.0,-9295.0,-1595.0,-1595.0,0.0,,48649.0,-48649.0,,,,,12273.0,,5440.0,,-13136.0,,-4240.0,5440.0,47425.0,0.0,0.0,-1595.0,6833.0,13922.0,13323.0,-1595.0,,,,,-8770.0,0.0,42155.0,47425.0,,1842.0,,4836315.0,4836315.0,,,
2018-07-31,2018-08-17,10-Q,Yijia Group Corp.,YJGJ,CIK0001699709,USD,,3604.0,,-24596.0,45054.0,,,,,28693.0,10236.0,38929.0,,,,602.0,,-3819.0,,,-3819.0,,,,,75000000.0,5871.0,5871250.0,,0.001,0.0,,,,5165.0,0.0,,24596.0,5165.0,2367.0,,,,2367.0,,,0.0,12600.0,,,15826.0,,0.0,,,,,,,,,,,0.0,,,0.0,5165.0,-5165.0,,,0.0,,,,,,-2640.0,,0.0,0.0,,4594.0,38929.0,,12600.0,12600.0,,,,,,,,7000.0,,,,-10819.0,,-15826.0,,,15826.0,-15826.0,,,,,,,,,,7000.0,,2800.0,,7000.0,,-15826.0,6834.0,13145.0,11944.0,,,,,,,0.0,26329.0,,,,,5871250.0,5871250.0,,,
2018-10-31,2018-12-14,10-Q,Yijia Group Corp.,YJGJ,CIK0001699709,USD,,,64645.0,,58824.0,13770.0,,,,50.0,50.0,,,0.0,,0.0,50.0,,,,,,,,,75000000.0,5871.0,5871250.0,5871250.0,0.001,,,-37879.0,,13575.0,0.0,,64645.0,13575.0,,,,-8060.0,2367.0,,,,,,,8060.0,0.0,5890.0,-8060.0,-8060.0,0.0,,-31989.0,-0.01,-0.01,,,,0.0,-0.01,,,,,,,,,,,,,,,,,,,50.0,,,0.0,,0.0,,,,,,,,,,,,-40049.0,,-37879.0,8060.0,-8060.0,,,,,,,0.0,37879.0,,,,,,,,,,,,,,13770.0,,,-64645.0,0.0,50.0,,,,,5871250.0,5871250.0,,,
2019-01-31,2019-03-15,10-Q,Yijia Group Corp.,YJGJ,CIK0001699709,USD,,,101341.0,,58824.0,,,,,50.0,50.0,,,0.0,50.0,50.0,50.0,,,,,,,,,75000000.0,5871.0,5871250.0,5871250.0,0.001,,,,,21282.0,0.0,,101341.0,21282.0,,,,,,,,,36696.0,,,36696.0,,0.0,-36696.0,-36696.0,-0.01,-0.01,0.0,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,50.0,,36696.0,,,0.0,,,,,,,,,,,,-36696.0,,,36696.0,-36696.0,,,,,,,0.0,,,,,,,,,,,,,,,,,36696.0,-101341.0,0.0,-36646.0,,,,,5871250.0,5871250.0,,,
2019-04-30,2019-07-30,10-K,Yijia Group Corp.,YJGJ,CIK0001699709,USD,,,,,58824.0,13770.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,-4421.0,,,,,0.0,57054.0,0.001,75000000.0,5871250.0,5871250.0,,5871.0,,0.0,,,24136.0,0.0,,114937.0,24136.0,0.0,,,,4734.0,11210.0,50242.0,0.0,,,,71811.0,,0.0,-71811.0,-71811.0,,,-34356.0,,,,,,0.0,,0.0,0.0,24136.0,-24136.0,0.0,,,0.0,,0.0,,,0.0,,0.0,0.0,,,50242.0,0.0,50242.0,,0.0,,,,,,,44692.0,,0.0,0.0,-49113.0,-106167.0,-106167.0,,,71811.0,-71811.0,0.0,,,0.0,,0.0,,,,,,,0.0,44692.0,,,,,,,,,,,-114937.0,0.0,-50242.0,,,22294.0,24136.0,,5871250.0,,,
2019-07-31,2019-09-12,10-Q,Yijia Group Corp.,YJGJ,CIK0001699709,USD,,,,,58824.0,,,,0.0,0.0,0.0,,,,,0.0,,0.0,,,,,,,0.001,75000000.0,5871250.0,5871250.0,,5871.0,,,,,28312.0,0.0,,134821.0,28312.0,0.0,,,,0.0,,70126.0,0.0,,,,19884.0,,,,,,,,,,,,,0.0,,,0.0,28312.0,-28312.0,,,,,,0.0,,,0.0,,,0.0,,,70126.0,0.0,70126.0,,,,0.0,,,,,19884.0,,,,-19884.0,,-19884.0,,,19884.0,-19884.0,0.0,,134821.0,,,,,,,,,,,19884.0,,,,,,,,,,,-134821.0,0.0,-70126.0,,,,,,5871250.0,,,
2019-10-31,2019-12-06,10-Q,Yijia Group Corp.,YJGJ,CIK0001699709,USD,,,,,58824.0,,,,,0.0,0.0,,,,,0.0,,,,,,,,,0.001,75000000.0,5871250.0,5871250.0,,5871.0,,,,,32411.0,0.0,,154340.0,32411.0,,,,,0.0,,81809.0,0.0,,,,19519.0,,,,-19519.0,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,89645.0,0.0,89645.0,,,,0.0,,,,,,,,,,,-19519.0,,,19519.0,-19519.0,,,154340.0,7836.0,,0.0,,,,,,,,,,,,,,,,,,,-154340.0,0.0,-89645.0,,,4099.0,,,5871250.0,,,
2020-01-31,2020-03-20,10-Q,Yijia Group Corp.,YJGJ,CIK0001699709,USD,,,,,58824.0,,,,,0.0,0.0,,,,,0.0,,,,,,,,,0.001,75000000.0,5871250.0,5871250.0,,5871.0,,,,,33796.0,0.0,,160934.0,33796.0,,,,,,,89024.0,0.0,,,,6594.0,,,,-6594.0,0.0,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,96239.0,0.0,96239.0,,,,0.0,,,,,,,,,,,-6594.0,,,6594.0,-6594.0,,,160934.0,7215.0,,0.0,,,,,,,,,,,,,,,,,,,-160934.0,0.0,-92239.0,,,1385.0,,,5871250.0,,,
