end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AdditionalPaidInCapital,AmortizationOfIntangibleAssets,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CommonStockCapitalSharesReservedForFutureIssuance,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,DebtConversionConvertedInstrumentAmount1,DebtConversionConvertedInstrumentSharesIssued1,DeferredTaxAssetsOperatingLossCarryforwards,DueToRelatedPartiesCurrent,DueToRelatedPartiesCurrentAndNoncurrent,EarningsPerShareBasicAndDiluted,FiniteLivedPatentsGross,GeneralAndAdministrativeExpense,GoodwillImpairmentLoss,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OperatingLossCarryforwardsValuationAllowance,OtherAssetsNoncurrent,PaymentsToAcquireIntangibleAssets,PreferredStockCapitalSharesReservedForFutureIssuance,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,Revenues,SharePrice,SharesIssuedPricePerShare,StockholdersEquity,StockIssuedDuringPeriodSharesAcquisitions,StockIssuedDuringPeriodValueAcquisitions,StockIssuedDuringPeriodValueConversionOfConvertibleSecuritiesNetOfAdjustments,StockIssuedDuringPeriodValueNewIssues,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,FairValueOptionChangesInFairValueGainLoss1,FiniteLivedIntangibleAssetsFairValueDisclosure,InterestExpense,NonoperatingIncomeExpense,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,ProceedsFromRepaymentOfLoansToPurchaseCommonStock,ResearchAndDevelopmentExpense,SaleOfStockNumberOfSharesIssuedInTransaction,SharesIssued,StockIssuedDuringPeriodSharesOther
2021-03-31,2021-06-21,10-Q,GHST World Inc.,GHST,CIK0001121795,USD,9986.0,8656124.0,,212387.0,55576.0,55576.0,0.0,,,0.001,700000000.0,523908071.0,523908071.0,523909.0,23316.0,10137183.0,2500000.0,13687.0,13687.0,0.0,41811.0,46777.0,,,,212387.0,241457.0,,,,-46777.0,46777.0,,,900000.0,115000.0,,,,,,-9209111.0,,0.0023,,-29070.0,,,,,514601805.0,,,,,,,,,,,
2021-06-30,2021-09-28,10-K,GHST World Inc.,GHST,CIK0001121795,USD,14528.0,9174792.0,0.0,161531.0,7350.0,7350.0,0.0,7058.0,,0.001,300000000.0,5239832.0,5239832.0,5240.0,,,2700000.0,16241.0,16241.0,0.0,39181.0,151366.0,0.0,7436.0,,161531.0,248553.0,158383.0,-7395.0,-143930.0,-151366.0,151366.0,,151000.0,700000.0,115000.0,7395.0,,148478.0,148478.0,7905.0,-9267062.0,,0.001,0.0015,-87022.0,,,24931.0,148478.0,476053434.0,,,,,0.001,10000000.0,,,,,
2021-09-30,2021-11-15,10-Q,GHST World Inc.,GHST,CIK0001121795,USD,16393.0,9191461.0,0.0,158280.0,4099.0,4099.0,0.0,-3251.0,,,,,,5296.0,,,2700000.0,38022.0,38022.0,-0.01,39181.0,58955.0,0.0,1865.0,,158280.0,287532.0,53839.0,,-57090.0,-58955.0,58955.0,48385.0,,700000.0,115000.0,0.0,,,32058.0,21781.0,-9326017.0,,0.3,,-129252.0,,,,,5245478.0,,,,,,,,,,,
2021-12-31,2022-02-14,10-Q,GHST World Inc.,GHST,CIK0001121795,USD,12453.0,9246631.0,,155184.0,1003.0,1003.0,0.0,,,0.001,300000000.0,54137647.0,54137647.0,54138.0,,,2700000.0,62878.0,62878.0,-0.01,39181.0,31863.0,,,,155184.0,214137.0,,,,-33713.0,31863.0,,,700000.0,115000.0,,,,,,-9359730.0,,0.00197,,-58953.0,,,,,5900640.0,-1700.0,3700.0,150.0,-1850.0,0.001,10000000.0,,,,,
