end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndOtherAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsPayableCurrentAndNoncurrent,AccountsPayableOtherCurrent,AccountsPayableRelatedPartiesCurrent,AccountsPayableRelatedPartiesCurrentAndNoncurrent,AccountsReceivableNet,AccountsReceivableNetCurrent,AccruedIncomeTaxesCurrent,AccruedIncomeTaxesPayable,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentForAmortization,AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,AdjustmentsToAdditionalPaidInCapitalOther,AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,AllowanceForDoubtfulAccountsReceivable,AmortizationOfIntangibleAssets,Assets,AssetsCurrent,AssetsNoncurrent,Cash,CashAcquiredFromAcquisition,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommonStockNoParValue,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,ContractWithCustomerLiabilityCurrent,CostOfGoodsAndServicesSold,CostOfGoodsSold,CostOfRevenue,CurrentIncomeTaxExpenseBenefit,DebtInstrumentPeriodicPayment,DeferredTaxAssetsCapitalLossCarryforwards,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAccruedLiabilities,DeferredTaxAssetsValuationAllowance,DeferredTaxAssetsValuationAllowanceCurrent,DepositsAssetsCurrent,Depreciation,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueFromRelatedPartiesCurrent,DueToAffiliateCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,FederalIncomeTaxExpenseBenefitContinuingOperations,FinanceLeasePrincipalPayments,FiniteLivedIntangibleAssetsNet,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefitContinuingOperations,IncomeTaxesPaid,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncomeTaxReconciliationNondeductibleExpense,IncomeTaxReconciliationStateAndLocalIncomeTaxes,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedIncomeTaxesPayable,IncreaseDecreaseInContractWithCustomerLiability,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInInventories,IncreaseDecreaseInOtherAccountsPayable,IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestExpenseRelatedParty,InterestIncomeExpenseNet,InterestPaid,InterestPayableCurrent,InventoryFinishedGoodsNetOfReserves,InventoryNet,InventoryRawMaterialsNetOfReserves,InvestmentIncomeInterest,LeaseCost,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesNoncurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,NonoperatingIncomeExpense,NotesPayableRelatedPartiesClassifiedCurrent,NotesPayableRelatedPartiesCurrent,NotesPayableRelatedPartiesCurrentAndNoncurrent,NotesPayableRelatedPartiesNoncurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLeaseLiability,OperatingLeaseLiabilityCurrent,OperatingLeaseLiabilityNoncurrent,OperatingLeasePayments,OperatingLeaseRightOfUseAsset,OperatingLossCarryforwardsValuationAllowance,OtherAdditionalCapital,OtherAssets,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToParent,OtherIncome,OtherNonoperatingIncome,OtherNonoperatingIncomeExpense,OtherOperatingIncomeExpenseNet,OtherReceivablesNetCurrent,PaymentsToAcquireIntangibleAssets,PaymentsToAcquirePropertyPlantAndEquipment,PrepaidExpense,PrepaidExpenseAndOtherAssets,PrepaidExpenseCurrent,PrepaidExpenseCurrentAndNoncurrent,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromPaymentsForLongTermLoansForRelatedParties,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,RelatedPartyTransactionAmountsOfTransaction,RelatedPartyTransactionRate,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerExcludingAssessedTax,Revenues,SellingAndMarketingExpense,StateAndLocalIncomeTaxExpenseBenefitContinuingOperations,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesPeriodIncreaseDecrease,StockIssuedDuringPeriodValueAcquisitions,StockIssuedDuringPeriodValueNewIssues,TaxCreditCarryforwardValuationAllowance,TaxesPayableCurrent,UnrecognizedTaxBenefitsResultingInNetOperatingLossCarryforward,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,WeightedAverageNumberOfSharesOutstandingBasicAndDiluted
2009-09-30,2009-12-29,10-K,China Foods Holdings Ltd.,CFOO,CIK0001310630,USD,,,,,,,,,,,,,,,,,,,,,,,,,,10961.0,,,,,,,,5250929.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13832.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-30037.0,,,,,,,,,,,,
2010-06-30,2010-08-13,10-Q,China Foods Holdings Ltd.,CFOO,CIK0001310630,USD,,,,,,,,,,,,,,,,,,,,,,,,,,9018.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,2503.0,0.0,,-3065.0,,0.0,,,,,,,,,,,,,,,,,,,562.0,,,,,,,,,,,,,,,,,-3065.0,,,,,,,2503.0,,,,,,,,,,,,,,-562.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,5250929.0
2010-09-30,2011-01-04,10-K,China Foods Holdings Ltd.,CFOO,CIK0001310630,USD,,450.0,,,,,,,,100.0,,,,,,,,,,,4466.0,4466.0,,,,9980.0,-6495.0,,,0.0,,100000000.0,,5250929.0,137413.0,,,,0.0,,,,,,,,,,,,83500.0,,,,0.0,,,,,,16545.0,0.0,,-19875.0,,100.0,,100.0,,,,,,150.0,,,0.0,,,3330.0,,,,,3330.0,,,0.0,3928.0,,,,,,54478.0,4466.0,24478.0,,10000.0,,-16495.0,-19975.0,,,,20000.0,,30000.0,16545.0,,,,,,,,,,,0.0,,,-3330.0,,,,,,,,0.0,,,10000.0,,,,,,,,,-103925.0,,0.0,,,-50012.0,,,,,,,,,,,5250929.0,
2011-03-31,2011-05-09,10-Q,China Foods Holdings Ltd.,CFOO,CIK0001310630,USD,,,,,,,,,,,,,,,,,,,,,,,,,,16224.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,5592.0,0.0,,-6842.0,,0.0,,,,,,,,,,,,,,,,,,,1250.0,,,,,,,,,,,,,,,,,-6842.0,,,,,,,5592.0,,,,,,,,,,,0.0,,,-1250.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,5251309.0,
2011-06-30,2011-08-11,10-Q,China Foods Holdings Ltd.,CFOO,CIK0001310630,USD,,0.0,,,,,,,,0.0,,,,,,,,,,,13683.0,13683.0,,,,13683.0,,,,0.0,,100000000.0,,5250929.0,137413.0,,,,0.0,,,,,,,,,,,,97358.0,,,,0.0,,,,,,2541.0,0.0,,-4016.0,,0.0,,,,,,,,,,,,,,,,,,,1475.0,,,,7553.0,,,,,,77553.0,13683.0,27553.0,,,,,-4016.0,,,,20000.0,,50000.0,2541.0,,,,,,,,,,,0.0,,,-1475.0,,,,,,,,,,,,,,,,,,,,-103925.0,,0.0,,,-63870.0,,,,,,,,,,,5251309.0,5250929.0
2011-09-30,2011-12-23,10-K,China Foods Holdings Ltd.,CFOO,CIK0001310630,USD,,450.0,,,,,,,,100.0,,,,,,,,,,,9980.0,9980.0,,,,9980.0,5514.0,,,0.0,,100000000.0,,5250929.0,137413.0,,,,0.0,,-6814.0,,,,,,,,,,102968.0,,,,0.0,,,,,,14386.0,0.0,,-19368.0,,100.0,100.0,100.0,,,,,,0.0,,,0.0,,,4982.0,,,,0.0,4982.0,4982.0,,0.0,8910.0,,,,,,79460.0,9980.0,29460.0,,20000.0,,-14486.0,-19468.0,,,,20000.0,,50000.0,14386.0,,,,,,,,,,,0.0,,,-4982.0,,,,0.0,,,,0.0,,,20000.0,,,,,,,,,-103925.0,,0.0,,100.0,-69480.0,,,,,,,,,6814.0,,5250929.0,
2011-12-31,2012-02-13,10-Q,China Foods Holdings Ltd.,CFOO,CIK0001310630,USD,,,,,,,,,,,,,,,,,,,,,,,,,,5871.0,-4109.0,,,,,,,,,,,,0.0,,-1972.0,,,,,,,,,,,,,,0.0,,,,,,4159.0,0.0,,-5634.0,,,100.0,100.0,,1972.0,,,,150.0,,,-100.0,,,1475.0,,,,0.0,,1475.0,,0.0,,,,,,,,,,,0.0,,-4109.0,-5634.0,,,,,,,4159.0,,,,,,,,,,,0.0,,,-1475.0,,,,,,,,0.0,,,0.0,,,,,,,,,,,0.0,,100.0,,,,,,,,,,,,5251309.0,
2012-03-31,2012-05-07,10-Q,China Foods Holdings Ltd.,CFOO,CIK0001310630,USD,,0.0,,,,,,,,0.0,,,,,,,,,,,18768.0,18768.0,,,,18768.0,,,,0.0,,100000000.0,,5251309.0,137413.0,,,,0.0,,-2886.0,,,,,,,,,,116847.0,,,,0.0,,,,,,6503.0,0.0,,-8245.0,,0.0,0.0,,,2886.0,,,,,,,,,,,,,,,1742.0,,,,12127.0,,,,,,102127.0,18768.0,32127.0,,,,,-8245.0,,,,20000.0,,70000.0,6503.0,,,,,,,,,,,0.0,,,-1742.0,,,,,,,,,,,,,,,,,,,,-103925.0,,0.0,,,-83359.0,,,,,,,,,,,5251309.0,
2012-06-30,2012-08-07,10-Q,China Foods Holdings Ltd.,CFOO,CIK0001310630,USD,,0.0,,,,,,,,0.0,,,,,,,,,,,15993.0,15993.0,,,,15993.0,,,,0.0,,100000000.0,,5251309.0,137413.0,,,,0.0,,-1628.0,,43265.0,,,,-43265.0,,,,121497.0,,,,0.0,,,,,,2775.0,0.0,,-4650.0,,0.0,0.0,,,1628.0,,,,,,,,,,,,,,,1875.0,,,,14002.0,,,,,,104002.0,15993.0,34002.0,,,,,-4650.0,,,,20000.0,,70000.0,2775.0,,,,,,,,,,,0.0,,,-1875.0,,,,,,,,,,,,,,,,,,,,-103925.0,,0.0,,,-88009.0,,,,,,,,,,,5251309.0,
2012-09-30,2012-12-19,10-K,China Foods Holdings Ltd.,CFOO,CIK0001310630,USD,,0.0,,,,,,,100.0,100.0,,,,,,,,,,,11269.0,9069.0,,,,9069.0,-911.0,,,0.0,,100000000.0,5251309.0,5251309.0,137413.0,,,,0.0,,-8830.0,,36039.0,,,,-36039.0,0.0,,,128196.0,,,,0.0,,,,,,18161.0,0.0,,-25128.0,,100.0,100.0,100.0,,,,,,-450.0,,,0.0,,,6967.0,,,,-2200.0,,6967.0,,0.0,15877.0,,,,,,105977.0,11269.0,35977.0,,20000.0,,-20911.0,-25228.0,,,20000.0,20000.0,,70000.0,18161.0,,,,,,,,,2200.0,,0.0,,,-6967.0,,,,2200.0,,,2200.0,0.0,,,20000.0,,,,,,,,,-103925.0,,0.0,,100.0,-94708.0,,,0.0,,,8830.0,,,8830.0,,5251309.0,
