end,filed,form,Name,Ticker,CIK,Currency,AccountsReceivableNetCurrent,AccruedLiabilitiesForCommissionsExpenseAndTaxes,AdditionalPaidInCapital,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CommonStockValueOutstanding,CurrentFederalTaxExpenseBenefit,DebtInstrumentUnusedBorrowingCapacityAmount,DebtIssuanceCostsLineOfCreditArrangementsNet,DeferredFederalIncomeTaxExpenseBenefit,DeferredTaxAssetsGross,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsNet,DeferredTaxAssetsNetCurrent,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsOtherLossCarryforwards,DeferredTaxAssetsValuationAllowance,DeferredTaxAssetsValuationAllowanceNoncurrent,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueToOfficersOrStockholdersCurrent,DueToOtherRelatedPartiesClassifiedCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationChangeInEnactedTaxRate,EffectiveIncomeTaxRateReconciliationOtherAdjustments,EffectiveIncomeTaxRateReconciliationOtherReconcilingItemsPercent,FederalIncomeTaxExpenseBenefitContinuingOperations,GainLossOnInvestments,GainLossOnSaleOfPropertiesBeforeApplicableIncomeTaxes,GeneralAndAdministrativeExpense,ImpairmentOfInvestments,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities,InventoryRealEstate,InvestmentCompanyDistributableEarningsLossAccumulatedAppreciationDepreciation,InvestmentCompanyDistributableEarningsLossAccumulatedOrdinaryIncomeLoss,IssuanceOfStockAndWarrantsForServicesOrClaims,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LineOfCredit,LineOfCreditFacilityAverageOutstandingAmount,LineOfCreditFacilityFairValueOfAmountOutstanding,LineOfCreditFacilityInterestRateAtPeriodEnd,LineOfCreditFacilityInterestRateDuringPeriod,LineOfCreditFacilityMaximumBorrowingCapacity,LoansAndLeasesReceivableAllowance,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetInvestmentIncome,NetInvestmentIncomeInsuranceEntity,OperatingIncomeLoss,OperatingLossCarryforwards,OperatingLossCarryforwardsValuationAllowance,OtherIncome,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,ProceedsFromIssuanceOfCommonStock,ProfitLoss,RealEstateInsurance,ReceivableFromShareholdersOrAffiliatesForIssuanceOfCapitalStock,RetainedEarningsAccumulatedDeficit,Revenues,SECScheduleIIIRealEstateInvestmentPropertyNet,SharesIssued,StockholdersEquity,StockholdersEquityNoteSubscriptionsReceivable,StockIssuedDuringPeriodValueAcquisitions,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,StockIssuedDuringPeriodValuePurchaseOfAssets,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,AccountsReceivableNet
2012-03-31,2012-05-15,10-Q,Vanjia Corporation,VNJA,CIK0001532383,USD,,,34650.0,28900.0,3900.0,,3900.0,,,,0.0001,,9999999999.0,,,,350.0,,,,,,,,,,,,,-6100.0,,,0.0,,,,,,,,,2234.0,,,,,,-3866.0,,25000.0,,,,28900.0,,,,,,,,,,-6100.0,-2234.0,,,,,,,0.0001,8888888888.0,,,,,,,,,,,28900.0,,,,,,,3500000.0,
2012-06-30,2012-08-10,10-Q,Vanjia Corporation,VNJA,CIK0001532383,USD,,,84400.0,27749.0,2749.0,,2749.0,,,,0.0001,,9999999999.0,,,,600.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,1151.0,,,,0.0,,,,25000.0,,,,27749.0,,,,,,,,,,,-1151.0,,,,,,,0.0001,8888888888.0,,,,,,,,,,,27749.0,-50000.0,,,,,,3939560.0,
2012-09-30,2012-10-31,10-Q,Vanjia Corporation,VNJA,CIK0001532383,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,1496.0,,,,0.0,,,,,,,,,,,,,,,,,,,-1496.0,,,,,,,,,,,,,,,,,,,,,,,,,,6000000.0,
2012-12-31,2013-03-28,10-K,Vanjia Corporation,VNJA,CIK0001532383,USD,,,84400.0,75545.0,50545.0,,50545.0,,,,0.0001,,9999999999.0,6000000.0,6000000.0,600.0,,,,,,,,,,,,,,-9455.0,,,0.0,,,,,,,,,5589.0,,,,,,-3866.0,-3866.0,25000.0,,,,75545.0,,,,,,,,,50000.0,-9455.0,-5589.0,,,-5589.0,,,,0.0001,8888888888.0,0.0,0.0,50000.0,-5589.0,,,,,,75545.0,75545.0,,,,50000.0,,,4869863.0,
2013-03-31,2013-05-14,10-Q,Vanjia Corporation,VNJA,CIK0001532383,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,976.0,,,,0.0,,,,,,,,,,,,,,,,,,-976.0,-976.0,,,,,,,,,,,,,,,,,,,,,,,,,,6000000.0,
2013-06-30,2013-08-09,10-Q,Vanjia Corporation,VNJA,CIK0001532383,USD,,,84400.0,71769.0,46769.0,,46769.0,,,,0.0001,,9999999999.0,6000000.0,6000000.0,600.0,,,,,,,,,,,,,,-13231.0,,,0.0,,,,,,,,,2800.0,,,,0.0,,,,,,,,71769.0,,,,,,,,,,,-2800.0,,,,,,,0.0001,8888888888.0,0.0,0.0,,,,,,,,,71769.0,,,,,,,6000000.0,
2013-09-30,2013-10-29,10-Q,Vanjia Corporation,VNJA,CIK0001532383,USD,,,84400.0,70969.0,45969.0,,45969.0,,,,0.0001,,9999999999.0,6000000.0,6000000.0,600.0,,,,,,,,,,,,,,-14031.0,,,0.0,,,,,,,,,800.0,,,,0.0,,,,,,,,70969.0,,,,,,,,,,,-800.0,,,,,,,0.0001,8888888888.0,0.0,0.0,,,,,,,,,70969.0,,,,,,,6000000.0,
2013-12-31,2014-03-28,10-K,Vanjia Corporation,VNJA,CIK0001532383,USD,,,84400.0,67169.0,42169.0,42169.0,42169.0,,,-8376.0,0.0001,,9999999999.0,6000000.0,6000000.0,600.0,,,,,0.0,,,,0.0,6063.0,,,6063.0,17831.0,,,0.0,,,,,,2848.0,,,8376.0,,,,,-2848.0,,,,,,,67169.0,,,,,,0.0,,,,-8376.0,-8376.0,,,-8376.0,,,,0.0001,8888888888.0,0.0,0.0,,-8376.0,,,,,25000.0,67169.0,67169.0,,,,,,,6000000.0,
2014-03-31,2014-05-09,10-Q,Vanjia Corporation,VNJA,CIK0001532383,USD,,,84400.0,66498.0,41498.0,41498.0,41498.0,,,-671.0,0.0001,,9999999999.0,6000000.0,6000000.0,600.0,,,,,,,,,,,,,,-18502.0,,,0.0,,,,,,,,,671.0,,,,0.0,,,,,,,,66498.0,,,,,,,,,,-671.0,-671.0,,,,,,,0.0001,8888888888.0,0.0,0.0,,,,,,,,,66498.0,,,,,,,6000000.0,
2014-06-30,2014-08-08,10-Q,Vanjia Corporation,VNJA,CIK0001532383,USD,,,84400.0,59697.0,34697.0,34697.0,34697.0,,,,0.0001,,9999999999.0,6000000.0,3500000.0,600.0,,,,,,,,,,,,,,25303.0,,,0.0,,,,,,,,,6801.0,,,,,,,,,,,,59697.0,,,,,,,,,,,-6801.0,,,,,25300.0,,0.0001,8888888888.0,0.0,0.0,,,,,25303.0,,25000.0,,59697.0,,,,,,,6000000.0,
